,BCKDHB (594)
ACH-000004,-0.264293655284
ACH-000007,-0.118554180753
ACH-000009,0.19012444313000001
ACH-000011,-0.245451422152
ACH-000012,-0.242189140733
ACH-000013,-0.18870113313700002
ACH-000014,-0.126725112954
ACH-000015,-0.0212645665547
ACH-000017,0.112582146208
ACH-000018,-0.19961785518800002
ACH-000019,-0.0963228432436
ACH-000021,-0.286440345752
ACH-000022,-0.16343945478900002
ACH-000025,-0.302173016881
ACH-000028,-0.161227559981
ACH-000030,-0.0854213496534
ACH-000035,0.015947390956
ACH-000036,-0.22200771027199998
ACH-000037,-0.152011495867
ACH-000039,-0.15127873263299998
ACH-000040,-0.413858813163
ACH-000041,-0.209327878258
ACH-000042,-0.201824758735
ACH-000045,-0.18681808101199998
ACH-000047,-0.292231435573
ACH-000052,-0.306378525781
ACH-000053,-0.052604950168
ACH-000054,-0.21659493455200002
ACH-000055,-0.307515272947
ACH-000060,-0.127074984156
ACH-000067,-0.264052739865
ACH-000070,-0.205457690107
ACH-000075,-0.163082985558
ACH-000078,-0.138432199401
ACH-000082,-0.09212575418230001
ACH-000085,-0.0700360475676
ACH-000086,-0.276933073282
ACH-000087,0.23247939930599998
ACH-000092,-0.236321174777
ACH-000095,-0.247030422704
ACH-000097,-0.21385677980700002
ACH-000098,-0.259328491051
ACH-000099,-0.178876973721
ACH-000108,-0.163064470105
ACH-000113,-0.23174272505
ACH-000115,-0.204981617304
ACH-000116,-0.16501488789899998
ACH-000118,-0.0726613136692
ACH-000120,-0.0951897468021
ACH-000123,-0.114738587298
ACH-000127,-0.13737337057600002
ACH-000128,-0.193258776666
ACH-000132,-0.169142918023
ACH-000133,-0.350569475864
ACH-000137,-0.268510949333
ACH-000138,-0.0622771148975
ACH-000142,-0.351786849184
ACH-000143,-0.16046593375499998
ACH-000146,-0.0703620936787
ACH-000148,-0.118262628523
ACH-000150,-0.1513705279
ACH-000152,-0.10991895740499999
ACH-000153,-0.10314529771099999
ACH-000159,-0.410831240916
ACH-000160,-0.23692772028099998
ACH-000163,-0.294205934908
ACH-000167,-0.559267396556
ACH-000168,-0.038510639738199993
ACH-000169,-0.092654201188
ACH-000178,-0.22301237598499998
ACH-000182,-0.185226443096
ACH-000183,-0.325680356449
ACH-000188,-0.09676421287010001
ACH-000189,-0.142781146405
ACH-000190,0.0488513248431
ACH-000198,-0.365943363442
ACH-000204,-0.33532024868
ACH-000206,-0.194936604914
ACH-000207,-0.0441826832547
ACH-000211,-0.0912828047446
ACH-000215,-0.14211556575200002
ACH-000221,-0.33414602821999995
ACH-000222,0.20645149879799998
ACH-000223,-0.3476161198800001
ACH-000226,-0.184590547689
ACH-000227,-0.21151448454
ACH-000228,-0.0660024545028
ACH-000231,-0.348910114047
ACH-000232,-0.204192242123
ACH-000233,-0.0481449914365
ACH-000234,-0.188690367749
ACH-000235,-0.0641829501528
ACH-000237,-0.05786418578480001
ACH-000238,-0.0764059497776
ACH-000243,-0.0604441553233
ACH-000244,-0.38923230965000005
ACH-000246,-0.11041829247000001
ACH-000248,-0.449055600562
ACH-000250,-0.13689362279
ACH-000251,-0.152319324325
ACH-000253,-0.114861681698
ACH-000255,-0.119080980473
ACH-000256,-0.25285550109
ACH-000257,-0.24839339826999998
ACH-000258,-0.08655786161660001
ACH-000259,-0.0733274079607
ACH-000260,-0.12833693477
ACH-000261,-0.250357896613
ACH-000262,-0.0467894058789
ACH-000263,-0.345024202531
ACH-000264,-0.249744208537
ACH-000265,-0.0709820197992
ACH-000266,-0.180179860486
ACH-000272,-0.101956540052
ACH-000273,-0.39101559139700004
ACH-000274,-0.20632467682
ACH-000277,-0.605889008014
ACH-000278,-0.16926908825800002
ACH-000279,-0.310206887908
ACH-000280,-0.10722592774
ACH-000281,0.0448162639054
ACH-000288,-0.16210667554400002
ACH-000291,0.0237887293813
ACH-000293,-0.13915225355900002
ACH-000294,0.19613480134199998
ACH-000295,-0.22673675094999998
ACH-000296,-0.46322233276
ACH-000302,-0.189726250959
ACH-000304,-0.22696471649799999
ACH-000307,0.0802270451227
ACH-000308,-0.19660192127099999
ACH-000310,-0.144550043583
ACH-000311,-0.12650261566600002
ACH-000312,0.0198947897925
ACH-000315,-0.23149681529399999
ACH-000316,-0.1549419144
ACH-000317,-0.254953318843
ACH-000318,-0.13064232083799998
ACH-000319,-0.24646134131900002
ACH-000320,-0.12668144491299999
ACH-000322,-0.227411414811
ACH-000323,-0.17733242855300002
ACH-000324,-0.08774008018639999
ACH-000329,-0.170675723851
ACH-000330,-0.426892647967
ACH-000331,-0.06968377488760001
ACH-000332,-0.135903167016
ACH-000334,-0.35465907163099997
ACH-000335,-0.181603661556
ACH-000336,-0.256179380015
ACH-000337,0.06646608168740001
ACH-000339,-0.21037292362999999
ACH-000341,-0.0266763988425
ACH-000348,-0.230674625819
ACH-000350,-0.160939568599
ACH-000352,-0.11448600419800001
ACH-000356,-0.309719259703
ACH-000361,-0.346859322117
ACH-000362,-0.14970477104399998
ACH-000363,-0.14502855264599998
ACH-000364,-0.115492969073
