,MSS51 (118490)
ACH-000004,-0.363177697857
ACH-000007,-0.240205213788
ACH-000009,-0.111847430499
ACH-000011,-0.0217488998321
ACH-000012,0.018242494211400003
ACH-000013,-0.0395072983696
ACH-000014,-0.17087842334000003
ACH-000015,-0.20377242882100002
ACH-000017,-0.10558732663899999
ACH-000018,-0.110346894146
ACH-000019,-0.030970962253299997
ACH-000021,-0.0325420731217
ACH-000022,-0.153632452722
ACH-000025,-0.203402805293
ACH-000028,-0.20763724984700002
ACH-000030,-0.23412669365400002
ACH-000035,-0.103021512158
ACH-000036,-0.23867163429699997
ACH-000037,-0.233470580352
ACH-000039,-0.223887609894
ACH-000040,-0.221966132877
ACH-000041,-0.082731651801
ACH-000042,-0.300834336318
ACH-000045,-0.0181942093036
ACH-000047,0.0029154103166799997
ACH-000052,-0.14209464709
ACH-000053,0.0143242512506
ACH-000054,-0.223910578296
ACH-000055,-0.258855234996
ACH-000060,-0.237712651571
ACH-000067,-0.241575739326
ACH-000070,-0.0744916887472
ACH-000075,-0.58954716802
ACH-000078,-0.197135227966
ACH-000082,-0.163272862491
ACH-000085,-0.20533063388199999
ACH-000086,-0.257635709782
ACH-000087,-0.169419708182
ACH-000092,-0.210952031743
ACH-000095,-0.223684727156
ACH-000097,-0.0344351906362
ACH-000098,-0.18237554122299998
ACH-000099,-0.101473006093
ACH-000108,-0.13018938810900002
ACH-000113,-0.135508666765
ACH-000115,-0.214064559299
ACH-000116,-0.27176042466600003
ACH-000118,-0.149754848784
ACH-000120,-0.133870673019
ACH-000123,-0.37532127955300004
ACH-000127,-0.16540709625999997
ACH-000128,0.0438408053985
ACH-000132,-0.252607585428
ACH-000133,-0.38676667044600005
ACH-000137,-0.154643302405
ACH-000138,-0.00667671945146
ACH-000142,-0.222649601032
ACH-000143,-0.118822952227
ACH-000146,0.0601361022299
ACH-000148,-0.28902507829999996
ACH-000150,-0.11390097478
ACH-000152,-0.168322069646
ACH-000153,-0.314827686386
ACH-000159,-0.171334764045
ACH-000160,-0.0566748613814
ACH-000163,-0.417678186933
ACH-000167,-0.03745431285090001
ACH-000168,-0.228148257746
ACH-000169,-0.251564332919
ACH-000178,-0.177060180025
ACH-000182,-0.157164513482
ACH-000183,0.0346706928653
ACH-000188,-0.14363141602399998
ACH-000189,-0.481487709485
ACH-000190,-0.309336561701
ACH-000198,-0.300618695376
ACH-000204,-0.371412043407
ACH-000206,-0.467591809292
ACH-000207,-0.37796081845299995
ACH-000211,-0.22390427000100002
ACH-000215,-0.17207941075199998
ACH-000221,-0.130340781919
ACH-000222,0.00743136862385
ACH-000223,-0.291746810292
ACH-000226,-0.161983692344
ACH-000227,-0.45495407256000003
ACH-000228,-0.35711972473000003
ACH-000231,-0.195434682672
ACH-000232,-0.144114312469
ACH-000233,-0.027888633139599998
ACH-000234,-0.19098218674000003
ACH-000235,-0.20421641175900002
ACH-000237,-0.221181933095
ACH-000238,-0.104022917906
ACH-000243,-0.179236855866
ACH-000244,-0.227819932832
ACH-000246,-0.10980974870999999
ACH-000248,-0.38209852074199996
ACH-000250,-0.247359057727
ACH-000251,-0.0418252928588
ACH-000253,-0.125330877414
ACH-000255,-0.235908453507
ACH-000256,-0.30622058040399996
ACH-000257,-0.447320883747
ACH-000258,0.107616682327
ACH-000259,-0.311386101867
ACH-000260,-0.0666897891301
ACH-000261,-0.139579256369
ACH-000262,0.125362355865
ACH-000263,-0.37764270381399995
ACH-000264,-0.132677205091
ACH-000265,-0.0951381659791
ACH-000266,-0.12454201845599999
ACH-000272,-0.20112767234700002
ACH-000273,-0.249311205753
ACH-000274,-0.365423724485
ACH-000277,-0.320952674153
ACH-000278,-0.231776884282
ACH-000279,-0.0890064617816
ACH-000280,-0.199355337107
ACH-000281,0.047006387063499994
ACH-000288,-0.216636312833
ACH-000291,-0.23844713870200002
ACH-000293,-0.377617883716
ACH-000294,-0.153127232516
ACH-000295,-0.23163336858300002
ACH-000296,-0.19898218018
ACH-000302,-0.17963625310400003
ACH-000304,-0.15287094975600002
ACH-000307,-0.251870133493
ACH-000308,-0.143724611563
ACH-000310,-0.265623236622
ACH-000311,-0.147914412114
ACH-000312,0.00478601908685
ACH-000315,-0.131195181922
ACH-000316,-0.191176229989
ACH-000317,-0.248494701628
ACH-000318,-0.10651267813899999
ACH-000319,0.0256474844973
ACH-000320,-0.136219653473
ACH-000322,-0.0882317839802
ACH-000323,-0.31376305212
ACH-000324,-0.180920267693
ACH-000329,-0.41133017807800004
ACH-000330,-0.015915707100500002
ACH-000331,-0.21001452327700001
ACH-000332,-0.147178804712
ACH-000334,-0.267140861878
ACH-000335,-0.41497329986299997
ACH-000336,-0.537202892203
ACH-000337,-0.0359155683371
ACH-000339,-0.0722508704711
ACH-000341,0.168268273886
ACH-000348,-0.229958400085
ACH-000350,-0.07053027738989999
ACH-000352,-0.10327750710200001
ACH-000356,-0.089132078733
ACH-000361,-0.119200634177
ACH-000362,-0.219071154833
ACH-000363,-0.124003849744
ACH-000364,-0.0680496964573
ACH-000365,-0.249101379304
ACH-000366,-0.210531257322
ACH-000368,-0.345910210542
ACH-000374,-0.314328622139
ACH-000375,-0.25233970906500003
ACH-000376,-0.08135202612110001
ACH-000381,-0.0446653154976
ACH-000383,-0.03832148575469999
ACH-000387,-0.14094118848200002
ACH-000389,0.0769207462699
ACH-000390,-0.220487373092
ACH-000393,-0.186059411783
ACH-000395,-0.046484276382099995
ACH-000397,-0.18300780178599999
ACH-000401,-0.286973774814
ACH-000402,-0.0274711526583
ACH-000403,-0.156489703741
ACH-000404,-0.104088990483
ACH-000406,-0.08558851424979999
ACH-000407,-0.0730090946738
ACH-000408,0.0840127857986
ACH-000410,-0.17039381063700001
ACH-000411,-0.269229355495
ACH-000414,-0.25642040825199997
ACH-000415,-0.322025660444
ACH-000416,-0.16432248934000002
ACH-000420,-0.341486884462
ACH-000421,-0.17477968413699999
ACH-000424,-0.28967072626699997
ACH-000425,-0.151292563556
ACH-000426,-0.32226114624499996
ACH-000427,-0.327019165176
ACH-000433,-0.16084935074599999
ACH-000436,-0.09674307494699999
ACH-000444,0.0633022946618
ACH-000445,-0.232644813843
ACH-000448,-0.0512001675947
ACH-000450,-0.04971295714480001
ACH-000452,-0.10558598429999999
ACH-000454,-0.249101254163
ACH-000458,-0.234977968473
ACH-000459,0.0774897403332
ACH-000460,-0.06939134189860001
ACH-000461,-0.346957936222
ACH-000463,-0.14672547169199998
ACH-000464,-0.266599110882
ACH-000466,-0.08799955116239999
ACH-000467,-0.061757517055599995
ACH-000468,0.07766558636950001
ACH-000469,-0.310782756133
ACH-000470,-0.09849528018539999
ACH-000471,-0.253137719225
ACH-000472,-0.277621689522
ACH-000473,-0.21117715668099998
ACH-000475,-0.258153261946
ACH-000476,-0.203251272352
ACH-000477,-0.266347266425
ACH-000480,-0.04115204960069999
ACH-000481,-0.38377541511999996
ACH-000483,-0.151015571493
ACH-000484,0.17492114784499999
ACH-000485,-0.299031286545
ACH-000486,-0.11158158322100001
ACH-000487,-0.25397363535
ACH-000488,-0.259863183555
ACH-000490,-0.42277647259999995
