,DBNDD1 (79007)
ACH-000004,-0.06246857435380001
ACH-000007,-0.397704845049
ACH-000009,-0.162853056132
ACH-000011,-0.199384787619
ACH-000012,-0.248030147227
ACH-000013,-0.216703812303
ACH-000014,0.162898996893
ACH-000015,-0.131379572591
ACH-000017,-0.059436937412
ACH-000018,-0.0311792874139
ACH-000019,-0.232305127082
ACH-000021,-0.206370088515
ACH-000022,-0.293342486897
ACH-000025,-0.234022009057
ACH-000028,-0.310220292616
ACH-000030,-0.20723742501400003
ACH-000035,0.0514969637787
ACH-000036,-0.34912608208400003
ACH-000037,-0.41384190951600003
ACH-000039,-0.00882246711556
ACH-000040,-0.171441730881
ACH-000041,0.145012896742
ACH-000042,-0.12769307349700001
ACH-000045,-0.0455465484588
ACH-000047,-0.181665258503
ACH-000052,-0.126622579669
ACH-000053,-0.199328542178
ACH-000054,-0.355578896933
ACH-000055,-0.23245296761599998
ACH-000060,-0.13357978348400001
ACH-000067,-0.0968123911544
ACH-000070,-0.36076722653099996
ACH-000075,-0.49960307864500003
ACH-000078,-0.20962500255600003
ACH-000082,-0.438431334967
ACH-000085,-0.43316334654700006
ACH-000086,-0.147645659525
ACH-000087,-0.199757868958
ACH-000092,-0.255897225851
ACH-000095,-0.154205143914
ACH-000097,-0.211513129359
ACH-000098,-0.115331161627
ACH-000099,-0.15956548185799999
ACH-000108,-0.389604102543
ACH-000113,-0.178136052353
ACH-000115,0.0899530661927
ACH-000116,-0.21862090173300003
ACH-000118,-0.219178286514
ACH-000120,-0.25816024669300003
ACH-000123,-0.33989630216
ACH-000127,-0.146816089387
ACH-000128,0.00394689705941
ACH-000132,-0.07720958014280001
ACH-000133,-0.162559512603
ACH-000137,-0.16613679269200002
ACH-000138,-0.291177408875
ACH-000142,-0.311602482205
ACH-000143,0.0545361199533
ACH-000146,-0.149592054611
ACH-000148,-0.15047968826
ACH-000150,-0.0296720772272
ACH-000152,-0.27932639320700003
ACH-000153,0.019778169396299998
ACH-000159,-0.21989008031100002
ACH-000160,-0.0928510657925
ACH-000163,-0.08825435830110001
ACH-000167,-0.165947549694
ACH-000168,-0.264115871213
ACH-000169,-0.272503966112
ACH-000178,-0.300982049343
ACH-000182,-0.12495388131200001
ACH-000183,-0.234556750753
ACH-000188,-0.23949346263799998
ACH-000189,0.00794559234345
ACH-000190,-0.022227035778
ACH-000198,-0.0792265842325
ACH-000204,-0.252274336226
ACH-000206,-0.307934137141
ACH-000207,-0.637532412086
ACH-000211,-0.0919445815821
ACH-000215,-0.178248267086
ACH-000221,-0.282601506104
ACH-000222,-0.409954002675
ACH-000223,-0.12142761546599999
ACH-000226,-0.019495630002099997
ACH-000227,-0.20202279009399998
ACH-000228,-0.314639291138
ACH-000231,-0.174639516166
ACH-000232,-0.14271816159700002
ACH-000233,-0.194379082251
ACH-000234,-0.38345530583899995
ACH-000235,-0.274044601873
ACH-000237,-0.190187383228
ACH-000238,-0.223091336402
ACH-000243,-0.164609560802
ACH-000244,-0.605731074045
ACH-000246,-0.166539393634
ACH-000248,-0.278502958351
ACH-000250,-0.40026922173
ACH-000251,-0.0007367595853619999
ACH-000253,-0.31556737476
ACH-000255,-0.257744464331
ACH-000256,-0.0534466532044
ACH-000257,-0.0889722034935
ACH-000258,0.023212401066
ACH-000259,-0.28217034794
ACH-000260,-0.18153034144299998
ACH-000261,-0.17070639037799998
ACH-000262,-0.12471257629
ACH-000263,-0.35895740827699996
ACH-000264,-0.266714523853
ACH-000265,-0.135497399789
ACH-000266,-0.295207815811
ACH-000272,-0.15523279639
ACH-000273,-0.157505926694
ACH-000274,-0.231164209993
ACH-000277,-0.166359833914
ACH-000278,-0.379382325388
ACH-000279,-0.212527731552
ACH-000280,-0.607871905648
ACH-000281,-0.146863664157
ACH-000288,-0.12431409462099999
ACH-000291,-0.247119903516
ACH-000293,-0.149567887057
ACH-000294,-0.332730972761
ACH-000295,-0.049753907160400006
ACH-000296,-0.07178091909539999
ACH-000302,-0.099280866587
ACH-000304,-0.331920784102
ACH-000307,-0.286461679448
ACH-000308,-0.212384808084
ACH-000310,-0.07362769220260001
ACH-000311,-0.24579361238699998
ACH-000312,-0.249209776447
ACH-000315,0.178299484912
ACH-000316,-0.33733904831699996
ACH-000317,-0.0156961474661
ACH-000318,-0.0804338110613
ACH-000319,-0.121078203026
ACH-000320,-0.13453557579199998
ACH-000322,-0.26724962354000004
ACH-000323,0.0193662833935
ACH-000324,-0.312393193761
ACH-000329,-0.175117665439
ACH-000330,0.032783162124900005
ACH-000331,-0.151346361334
ACH-000332,-0.254974504043
ACH-000334,-0.0608059831016
ACH-000335,-0.100312181
ACH-000336,-0.129359976356
ACH-000337,-0.288412171385
ACH-000339,-0.0943498539654
ACH-000341,0.39174222933799996
ACH-000348,-0.0802735472332
ACH-000350,-0.144151466767
ACH-000352,-0.211233096779
ACH-000356,0.0318801762094
ACH-000361,-0.290100617565
ACH-000362,-0.234841605078
ACH-000363,-0.231387774303
ACH-000364,-0.023890344743
ACH-000365,-0.14832631747000002
ACH-000366,-0.390028351773
ACH-000368,-0.246894413587
ACH-000374,-0.106112025859
ACH-000375,-0.505776581929
ACH-000376,-0.12290617765900001
ACH-000381,-0.276920712645
ACH-000383,-0.18754214698
ACH-000387,-0.20650721363400001
ACH-000389,-0.477359487813
ACH-000390,-0.302352537437
ACH-000393,-0.31584367182399997
ACH-000395,-0.10389394101199999
ACH-000397,-0.162165035056
ACH-000401,-0.196582787536
ACH-000402,0.0761180046294
ACH-000403,-0.178260770376
ACH-000404,-0.262438901768
ACH-000406,-0.163077271592
ACH-000407,-0.23902293087499998
ACH-000408,-0.04227078774669999
ACH-000410,-0.166464270022
ACH-000411,-0.443584353371
ACH-000414,-0.357613485405
ACH-000415,0.0403243589627
ACH-000416,-0.149035412527
ACH-000420,-0.418834232705
ACH-000421,-0.220672163206
ACH-000424,-0.1311830057
ACH-000425,-0.18204311874899998
ACH-000426,-0.122045032816
ACH-000427,-0.236675394476
ACH-000433,-0.0777193693801
ACH-000436,-0.238355805528
ACH-000444,-0.255876490269
ACH-000445,-0.279519494664
ACH-000448,-0.296628154071
ACH-000450,0.085191288957
ACH-000452,-0.20438035071600003
ACH-000454,-0.289337771335
ACH-000458,-0.150087659023
ACH-000459,-0.377366508728
ACH-000460,-0.150198279087
