,DR1 (1810)
ACH-000004,-0.593849838472
ACH-000007,-0.767054002183
ACH-000009,-0.9064991408830001
ACH-000011,-1.03383575638
ACH-000012,-0.534796698851
ACH-000013,-0.5458355585119999
ACH-000014,-0.7513221522429999
ACH-000015,-0.866778264352
ACH-000017,-0.254925646288
ACH-000018,-0.922630387835
ACH-000019,-0.709948213159
ACH-000021,-0.5717395969
ACH-000022,-0.8734452154819999
ACH-000025,-1.0744767945799998
ACH-000028,-1.1375698783600001
ACH-000030,-0.771387356294
ACH-000035,-0.94013387198
ACH-000036,-0.7500707557430001
ACH-000037,-0.90051124919
ACH-000039,-0.8698975149439999
ACH-000040,-0.767091533431
ACH-000041,-0.972173966718
ACH-000042,-0.9519949330249999
ACH-000045,-0.935089743594
ACH-000047,-0.7151940031020001
ACH-000052,-0.935026519747
ACH-000053,-0.304527912155
ACH-000054,-0.23731802968899998
ACH-000055,-0.7944789533059999
ACH-000060,-1.00623159469
ACH-000067,-0.9797450413259999
ACH-000070,-0.615436382448
ACH-000075,-0.662419440984
ACH-000078,-0.705076838585
ACH-000082,-0.776814691983
ACH-000085,-0.792806942889
ACH-000086,-0.768131451271
ACH-000087,-0.9311457085989999
ACH-000092,-0.808582656795
ACH-000095,-0.859827617984
ACH-000097,-1.0647594447700002
ACH-000098,-0.839891654271
ACH-000099,-0.346104924539
ACH-000108,-0.697531508245
ACH-000113,-0.9064537971050001
ACH-000115,-0.930728647188
ACH-000116,-0.7697262371629999
ACH-000118,-0.793813323415
ACH-000120,-0.8507276483059999
ACH-000123,-0.943846432385
ACH-000127,-0.8016707713879999
ACH-000128,-0.979790171637
ACH-000132,-0.664714869709
ACH-000133,-1.13949349778
ACH-000137,-0.856532671867
ACH-000138,-0.8113809694149999
ACH-000142,-0.7000699372560001
ACH-000143,-0.894638139955
ACH-000146,-0.764196176568
ACH-000148,-0.8985479848289999
ACH-000150,-0.817603700619
ACH-000152,-0.889782903794
ACH-000153,-0.018473937034
ACH-000159,-0.7965517953710001
ACH-000160,-0.272643205636
ACH-000163,-0.805298501744
ACH-000167,-0.434905366758
ACH-000168,-1.01627806096
ACH-000169,-0.5966181061420001
ACH-000178,-0.801323505183
ACH-000182,-0.647638470045
ACH-000183,-1.03309493659
ACH-000188,-0.8416582607459999
ACH-000189,-1.00070858237
ACH-000190,-0.817313068007
ACH-000198,-0.959673567177
ACH-000204,-0.873609802247
ACH-000206,-1.2630387396
ACH-000207,-0.911077416066
ACH-000211,-0.707978983364
ACH-000215,-0.960588381215
ACH-000221,-0.6296821245009999
ACH-000222,-1.03761015983
ACH-000223,-0.902263572261
ACH-000226,-0.9533871278399999
ACH-000227,-0.712867706268
ACH-000228,-0.796798280834
ACH-000231,-1.14260907435
ACH-000232,-1.03625911301
ACH-000233,-0.534184464213
ACH-000234,-0.707967781639
ACH-000235,-1.0786557028100001
ACH-000237,-0.8716303241159999
ACH-000238,-0.888223323479
ACH-000243,-1.10083538096
ACH-000244,-0.887887357928
ACH-000246,-0.858145267086
ACH-000248,-0.7275489097069999
ACH-000250,-0.724516865643
ACH-000251,-1.01121566951
ACH-000253,-0.730856302351
ACH-000255,-0.907421069483
ACH-000256,-0.708242847764
ACH-000257,-0.42987039936800003
ACH-000258,-0.654681094565
ACH-000259,-0.53252089296
ACH-000260,-0.984363836654
ACH-000261,-0.906546075379
ACH-000262,-1.11243926068
ACH-000263,-0.532863678745
ACH-000264,-0.336951774831
ACH-000265,-0.7906736864589999
ACH-000266,-1.00530933704
ACH-000272,-1.01169825193
ACH-000273,-0.964270246691
ACH-000274,-0.386935395533
ACH-000277,-1.18934186484
ACH-000278,-1.01177221358
ACH-000279,-0.849541195404
ACH-000280,-0.975719636047
ACH-000281,-0.836419848977
ACH-000288,-0.598412415907
ACH-000291,-0.868288306108
ACH-000293,-0.9127392693269999
ACH-000294,-1.07333175627
ACH-000295,-0.9915690718410001
ACH-000296,-0.7929451662929999
ACH-000302,-0.30711506883699996
ACH-000304,-1.08015260704
ACH-000307,-0.941370064351
ACH-000308,-0.6744815203229999
ACH-000310,-0.960571486655
ACH-000311,-0.908823074227
ACH-000312,-0.8715511188480001
ACH-000315,-1.00995170882
ACH-000316,-1.01271808843
ACH-000317,-1.6835092029299998
ACH-000318,-0.7991315865199999
ACH-000319,-0.7378567452150001
ACH-000320,-0.989158987599
ACH-000322,-0.8968209974160001
ACH-000323,-0.666123164193
ACH-000324,-0.8092460159970001
ACH-000329,-0.774072402866
ACH-000330,-0.843679965844
ACH-000331,-1.08240653304
ACH-000332,-1.17750239446
ACH-000334,-1.00435448334
ACH-000335,-0.709281416496
ACH-000336,-0.659727173045
ACH-000337,-0.940342539667
ACH-000339,-0.8812331736040001
ACH-000341,-0.900793471661
ACH-000348,-0.503780093591
ACH-000350,-1.06688355573
ACH-000352,-0.9544873551899999
ACH-000356,-0.9506636460150001
ACH-000361,-0.275732928108
ACH-000362,-1.07382406403
ACH-000363,-0.6291325431139999
ACH-000364,-0.94832144061
ACH-000365,-1.01210507088
ACH-000366,-0.86021457195
ACH-000368,-0.956305650819
ACH-000374,-0.74740300258
ACH-000375,-0.5690136487340001
ACH-000376,-1.06904740393
ACH-000381,-1.20803895031
ACH-000383,-0.7904047909980001
ACH-000387,-0.7399961734270001
ACH-000389,-0.8985062358149999
ACH-000390,-1.02213637387
ACH-000393,-0.730073164463
ACH-000395,-1.00313263531
ACH-000397,-0.925691710056
ACH-000401,-0.737081605819
