,G6PC (2538)
ACH-000004,-0.160176392639
ACH-000007,-0.126655325518
ACH-000009,-0.37674714965800005
ACH-000011,-0.182877050216
ACH-000012,-0.353431824781
ACH-000013,-0.360061582214
ACH-000014,-0.278497192156
ACH-000015,-0.38802002130999996
ACH-000017,-0.25874210786699997
ACH-000018,-0.229873232865
ACH-000019,-0.295252669433
ACH-000021,-0.364909477795
ACH-000022,-0.124191365262
ACH-000025,-0.30387537191799996
ACH-000028,-0.35231783367700004
ACH-000030,-0.272548065535
ACH-000035,-0.35811565005900003
ACH-000036,-0.319469119555
ACH-000037,-0.234495397219
ACH-000039,-0.116684316903
ACH-000040,-0.22278506215500002
ACH-000041,-0.35657075369999996
ACH-000042,-0.298285592911
ACH-000045,-0.173082230466
ACH-000047,-0.323732534719
ACH-000052,-0.123131818378
ACH-000053,-0.284363908439
ACH-000054,-0.260584948178
ACH-000055,-0.22588938019299998
ACH-000060,-0.274386503984
ACH-000067,-0.412675139256
ACH-000070,-0.393761795549
ACH-000075,-0.213639534089
ACH-000078,-0.252862176632
ACH-000082,-0.246754935046
ACH-000085,-0.191863430036
ACH-000086,-0.343173282983
ACH-000087,-0.258890829146
ACH-000092,-0.277181129752
ACH-000095,-0.24186906959399998
ACH-000097,-0.260805380724
ACH-000098,-0.290342134782
ACH-000099,-0.231601424745
ACH-000108,-0.280707209671
ACH-000113,-0.302286038872
ACH-000115,-0.263682575109
ACH-000116,-0.28270230380399997
ACH-000118,-0.31665542965300003
ACH-000120,-0.482776365514
ACH-000123,-0.279847844244
ACH-000127,-0.218512421514
ACH-000128,-0.46930978078
ACH-000132,-0.433132912556
ACH-000133,-0.28046543571
ACH-000137,-0.346161158204
ACH-000138,-0.416180488871
ACH-000142,-0.409989188921
ACH-000143,-0.164616888462
ACH-000146,-0.223158806271
ACH-000148,-0.369778992646
ACH-000150,-0.370125597521
ACH-000152,-0.370943762578
ACH-000153,-0.446171224407
ACH-000159,-0.10720617076
ACH-000160,-0.19113863778499998
ACH-000163,-0.277164503997
ACH-000167,-0.18427611793200002
ACH-000168,-0.347405721754
ACH-000169,-0.33043891732700004
ACH-000178,-0.248573767621
ACH-000182,-0.144663300661
ACH-000183,-0.267079683414
ACH-000188,-0.339857462464
ACH-000189,0.108260718946
ACH-000190,-0.166325737248
ACH-000198,-0.0493862605929
ACH-000204,-0.400024535181
ACH-000206,-0.087251029451
ACH-000207,-0.197474049731
ACH-000211,-0.38800272114900003
ACH-000215,-0.22231085657699998
ACH-000221,-0.250882850872
ACH-000222,-0.239975654239
ACH-000223,-0.273637317309
ACH-000226,-0.17700160246
ACH-000227,-0.496967294948
ACH-000228,-0.536660923151
ACH-000231,-0.27188413903499997
ACH-000232,-0.233021324146
ACH-000233,-0.16470764195
ACH-000234,-0.411770819544
ACH-000235,-0.27750157799499997
ACH-000237,-0.254330708731
ACH-000238,-0.38324358969000005
ACH-000243,-0.45427358186399996
ACH-000244,-0.296584791498
ACH-000246,-0.265982341391
ACH-000248,-0.33665733956
ACH-000250,-0.404029858348
ACH-000251,-0.14252498066299998
ACH-000253,-0.200590553706
ACH-000255,-0.482014779244
ACH-000256,-0.306368682813
ACH-000257,-0.314974688114
ACH-000258,-0.104539291678
ACH-000259,-0.297719140143
ACH-000260,-0.240833124042
ACH-000261,-0.23732419017200002
ACH-000262,-0.218569303752
ACH-000263,-0.565065152296
ACH-000264,-0.327006959947
ACH-000265,-0.37185719591899996
ACH-000266,-0.33710406753300004
ACH-000272,-0.36251159841799996
ACH-000273,-0.399558303909
ACH-000274,-0.530433725248
ACH-000277,-0.270681627297
ACH-000278,-0.236904451585
ACH-000279,-0.242881605875
ACH-000280,-0.25772944587200003
ACH-000281,-0.21588502677299998
ACH-000288,-0.358631300679
ACH-000291,-0.23897526327799998
ACH-000293,-0.307282601516
ACH-000294,-0.267210190922
ACH-000295,-0.452778005332
ACH-000296,-0.210773136643
ACH-000302,-0.31696847731
ACH-000304,-0.47335028560099995
ACH-000307,-0.25101361317299997
ACH-000308,-0.309092325292
ACH-000310,-0.399954224581
ACH-000311,-0.29464506037
ACH-000312,-0.42583867005000003
ACH-000315,-0.208865302288
ACH-000316,-0.376514899469
ACH-000317,-0.256774908766
ACH-000318,-0.353926284192
ACH-000319,-0.42671962905199995
ACH-000320,-0.353676260805
ACH-000322,-0.310195798818
ACH-000323,-0.293558960371
ACH-000324,-0.49467903081799997
