,EVI5 (7813)
ACH-000004,0.0273364989475
ACH-000007,-0.304607773273
ACH-000009,-0.160222636086
ACH-000011,0.0243317017165
ACH-000012,-0.243860602367
ACH-000013,-0.178963682393
ACH-000014,0.028821778334499996
ACH-000015,-0.198743959789
ACH-000017,-0.12259100643
ACH-000018,-0.199176970192
ACH-000019,-0.321878118862
ACH-000021,-0.30157021051800004
ACH-000022,-0.0415661411908
ACH-000025,-0.49525482645900004
ACH-000028,-0.210311931249
ACH-000030,-0.15106603650699998
ACH-000035,-0.185419560265
ACH-000036,-0.24166429349500002
ACH-000037,-0.142063554413
ACH-000039,-0.23881624567499998
ACH-000040,-0.0628472969478
ACH-000041,-0.238940597842
ACH-000042,-0.257123699453
ACH-000045,-0.17413869827300002
ACH-000047,-0.179809206236
ACH-000052,-0.266434362903
ACH-000053,-0.132804227084
ACH-000054,-0.0761146005089
ACH-000055,-0.15969282648900002
ACH-000060,-0.19193901776099997
ACH-000067,-0.241053028696
ACH-000070,-0.0011859964563399998
ACH-000075,-0.00667311904713
ACH-000078,-0.322210242661
ACH-000082,-0.489317404634
ACH-000085,-0.0950590191227
ACH-000086,-0.195567729907
ACH-000087,-0.310462396436
ACH-000092,-0.449500784767
ACH-000095,-0.137653577338
ACH-000097,-0.374019675024
ACH-000098,-0.25165474113200004
ACH-000099,-0.28455019829
ACH-000108,-0.12019963172499999
ACH-000113,-0.29486152097
ACH-000115,0.12049391412
ACH-000116,-0.15260921264
ACH-000118,-0.22839909075399997
ACH-000120,0.16258647686
ACH-000123,-0.164291414677
ACH-000127,-0.0748046434073
ACH-000128,-0.31134278412599997
ACH-000132,-0.13298066156899999
ACH-000133,-0.37504023131499997
ACH-000137,-0.138859519574
ACH-000138,-0.13856506524499998
ACH-000142,-0.17461843640299998
ACH-000143,-0.10082207399
ACH-000146,-0.0162097317792
ACH-000148,-0.111639576999
ACH-000150,-0.29577410141399996
ACH-000152,-0.0437588682371
ACH-000153,-0.115004960528
ACH-000159,-0.221828217597
ACH-000160,-0.059859201585800006
ACH-000163,-0.0307646475684
ACH-000167,-0.20928486453899997
ACH-000168,-0.0249870554683
ACH-000169,-0.166158108437
ACH-000178,-0.10112747977299999
ACH-000182,-0.06783604438730001
ACH-000183,-0.21790647786800002
ACH-000188,-0.38045651163099997
ACH-000189,-0.105993658595
ACH-000190,-0.300753547696
ACH-000198,-0.184676685328
ACH-000204,-0.17185433975699999
