,CEND1 (51286)
ACH-000004,0.190590437326
ACH-000007,-0.0834942128081
ACH-000009,-0.318646439556
ACH-000011,-0.26437155368799997
ACH-000012,-0.22049061598
ACH-000013,-0.05732920333930001
ACH-000014,-0.249947456479
ACH-000015,-0.178230590879
ACH-000017,-0.0335182671741
ACH-000018,-0.21319810473499998
ACH-000019,0.080307553999
ACH-000021,-0.23966396216699998
ACH-000022,-0.059211410060999996
ACH-000025,-0.446496825796
ACH-000028,-0.043642218832099997
ACH-000030,-0.157278450249
ACH-000035,-0.221808363935
ACH-000036,-0.151294644728
ACH-000037,-0.199442140675
ACH-000039,-0.488312684731
ACH-000040,-0.216614207944
ACH-000041,-0.012266812711200002
ACH-000042,-0.30772988119100003
ACH-000045,-0.0987463533465
ACH-000047,-0.15272389234300002
ACH-000052,-0.27144915442
ACH-000053,-0.197683580966
ACH-000054,-0.200224685574
ACH-000055,-0.17668847369899998
ACH-000060,-0.285187129574
ACH-000067,-0.09393889218530001
ACH-000070,-0.462973607308
ACH-000075,-0.508596279753
ACH-000078,-0.356686383248
ACH-000082,-0.185046359146
ACH-000085,-0.246340998367
ACH-000086,-0.24073062644
ACH-000087,-0.265878804504
ACH-000092,-0.123824918304
ACH-000095,-0.302317817095
ACH-000097,-0.19468195168400002
ACH-000098,-0.260226290074
ACH-000099,-0.17930546019000002
ACH-000108,-0.10474039433900001
ACH-000113,-0.0391522281555
ACH-000115,-0.034422019725
ACH-000116,0.0663972449112
ACH-000118,-0.16827681214600002
ACH-000120,-0.171557990064
ACH-000123,0.0444089277256
ACH-000127,-0.114033329177
ACH-000128,-0.165065792296
ACH-000132,-0.288672012049
ACH-000133,-0.155946439898
ACH-000137,-0.201412799472
ACH-000138,-0.240366915444
ACH-000142,-0.272704333839
ACH-000143,-0.12495446338300001
ACH-000146,-0.218304564861
ACH-000148,-0.305315928843
ACH-000150,-0.41188627085100005
ACH-000152,-0.160131194585
ACH-000153,-0.055428981505
ACH-000159,-0.16922656932100003
ACH-000160,-0.0508217134509
ACH-000163,-0.13269274034000003
ACH-000167,-0.42453025986500004
ACH-000168,0.0699563193299
ACH-000169,-0.175783142793
ACH-000178,-0.16032491607899998
ACH-000182,-0.08499030594139999
ACH-000183,-0.150182830101
ACH-000188,-0.0832931097377
ACH-000189,-0.32283056508200003
ACH-000190,-0.08892632677089998
ACH-000198,-0.08958721645569999
ACH-000204,-0.11612185445499999
ACH-000206,-0.0475152979929
ACH-000207,-0.19594194857799999
ACH-000211,-0.11894289640599999
ACH-000215,-0.251169638603
ACH-000221,-0.219710381775
ACH-000222,-0.460174612352
ACH-000223,-0.19769942391800002
ACH-000226,-0.2620961814
ACH-000227,0.344792436552
ACH-000228,-0.163604495806
ACH-000231,-0.253529302602
ACH-000232,-0.19015402319400002
ACH-000233,-0.166959171351
ACH-000234,-0.175709338477
ACH-000235,-0.153219461252
ACH-000237,-0.0479744247691
ACH-000238,-0.289202173556
ACH-000243,-0.09055720135230001
ACH-000244,-0.0907295612748
ACH-000246,-0.12420376652699999
