,SEZ6 (124925)
ACH-000004,0.00366187815222
ACH-000007,-0.14879709597100002
ACH-000009,-0.39261578781999995
ACH-000011,-0.282939153623
ACH-000012,-0.328009306628
ACH-000013,-0.200961210117
ACH-000014,-0.40789476921400003
ACH-000015,-0.12583228442299998
ACH-000017,-0.453655690765
ACH-000018,-0.131820583328
ACH-000019,-0.383467701869
ACH-000021,-0.260899747475
ACH-000022,-0.276606927027
ACH-000025,-0.012391705087800001
ACH-000028,-0.255583445646
ACH-000030,-0.27492961173
ACH-000035,-0.205881741034
ACH-000036,-0.267079159242
ACH-000037,0.13242109005799999
ACH-000039,-0.567655123216
ACH-000040,-0.137514195259
ACH-000041,-0.294964187128
ACH-000042,-0.061138505051
ACH-000045,-0.127686632672
ACH-000047,-0.0668424254287
ACH-000052,-0.45420244873300003
ACH-000053,-0.330028777567
ACH-000054,-0.158168000863
ACH-000055,-0.450518990639
ACH-000060,-0.0745914091754
ACH-000067,-0.258488983462
ACH-000070,0.15598317385
ACH-000075,-0.195392443644
ACH-000078,-0.199166532108
ACH-000082,-0.00458682031801
ACH-000085,0.00853624979982
ACH-000086,-0.16328253869200002
ACH-000087,0.179052561848
ACH-000092,0.00739907500657
ACH-000095,-0.350876027971
ACH-000097,-0.270490669473
ACH-000098,-0.100765758089
ACH-000099,-0.250238359818
ACH-000108,-0.30936630995000003
ACH-000113,-0.145807571961
ACH-000115,-0.0316017844171
ACH-000116,-0.195134718462
ACH-000118,-0.13461129694399998
ACH-000120,-0.152771545547
ACH-000123,-0.24653682226799997
ACH-000127,-0.0319590151876
ACH-000128,-0.167393805122
ACH-000132,-0.130462774048
ACH-000133,0.014909791495299998
ACH-000137,-0.040291269023
ACH-000138,-0.16265287765
ACH-000142,-0.436478889261
ACH-000143,0.0576540432637
ACH-000146,-0.143821995125
ACH-000148,-0.144702861431
ACH-000150,-0.021809872496799998
ACH-000152,-0.0429474388024
ACH-000153,-0.315884993902
ACH-000159,-0.230038672123
ACH-000160,-0.24206834573199998
ACH-000163,-0.169357605603
ACH-000167,-0.304073451906
ACH-000168,-0.118580733869
ACH-000169,-0.09738701216050001
ACH-000178,-0.142739595741
ACH-000182,-0.213713033837
ACH-000183,-0.214115002004
ACH-000188,-0.0692295258544
ACH-000189,-0.166327762169
ACH-000190,-0.198867426188
ACH-000198,-0.228995263255
ACH-000204,-0.203301918408
ACH-000206,-0.0596188206598
ACH-000207,-0.348732408627
ACH-000211,-0.142907277713
ACH-000215,-0.14421906787799998
ACH-000221,-0.274104880756
ACH-000222,-0.25359756293
ACH-000223,-0.10345305143
ACH-000226,-0.365666641003
ACH-000227,-0.09162049148260001
ACH-000228,-0.303910144077
ACH-000231,-0.233852230862
ACH-000232,-0.10053970000700001
ACH-000233,-0.119219861909
ACH-000234,-0.0887729509109
ACH-000235,-0.145604415475
ACH-000237,-0.157222870954
ACH-000238,-0.09313438003689999
ACH-000243,-0.5085937499750001
ACH-000244,-0.015266421740399999
ACH-000246,-0.188363451975
ACH-000248,-0.187995301376
ACH-000250,-0.150384676912
ACH-000251,-0.12812770496
ACH-000253,-0.188662640464
ACH-000255,-0.39714597580300004
ACH-000256,-0.24545441207899998
ACH-000257,-0.0289850564905
ACH-000258,-0.272267013642
ACH-000259,-0.18535734511799998
ACH-000260,-0.179764694615
ACH-000261,-0.06397412525309999
ACH-000262,-0.09344774138869999
ACH-000263,-0.251663721197
ACH-000264,-0.228233561054
ACH-000265,-0.390155291432
ACH-000266,-0.0383762712859
ACH-000272,-0.336196150781
ACH-000273,-0.15888943893899998
ACH-000274,-0.235559351215
ACH-000277,-0.53062330523
ACH-000278,-0.121668489804
ACH-000279,-0.256262813539
ACH-000280,-0.395976199896
ACH-000281,-0.107529239769
ACH-000288,-0.198604513514
ACH-000291,-0.11857337913799999
ACH-000293,-0.157390250706
ACH-000294,-0.282977085504
ACH-000295,-0.118887267091
ACH-000296,-0.0879468720124
ACH-000302,-0.0333863325794
ACH-000304,-0.26804616845400003
ACH-000307,-0.200843869067
ACH-000308,-0.104028182871
ACH-000310,-0.46940989601099997
ACH-000311,-0.222580283957
ACH-000312,-0.210326810627
ACH-000315,-0.130330219203
ACH-000316,-0.349220145014
ACH-000317,-0.48968770680600004
ACH-000318,-0.0902245333204
ACH-000319,-0.337108394898
ACH-000320,-0.09474470257
ACH-000322,-0.147878113339
ACH-000323,-0.0388889121385
ACH-000324,-0.388958008938
ACH-000329,-0.114887439818
ACH-000330,-0.166951643769
ACH-000331,0.009440016373610001
ACH-000332,-0.11208074804700001
ACH-000334,-0.19497591181200002
ACH-000335,-0.270220057873
ACH-000336,-0.07547843568789998
ACH-000337,-0.063608311948
ACH-000339,-0.24223307008099998
ACH-000341,-0.16965759032000002
ACH-000348,-0.136754678369
ACH-000350,-0.39784303700499996
ACH-000352,-0.323727744221
ACH-000356,-0.500200340154
ACH-000361,-0.23898502859
ACH-000362,-0.13575179809000001
ACH-000363,-0.11915912782299999
ACH-000364,-0.17606710760699998
ACH-000365,-0.180124143263
ACH-000366,-0.19894886264400002
ACH-000368,0.0703378458122
ACH-000374,-0.0858708737964
ACH-000375,-0.36081893208800003
ACH-000376,-0.041688002836699996
ACH-000381,-0.450672878656
ACH-000383,-0.207643219405
ACH-000387,-0.349203236595
ACH-000389,-0.17026475420899997
ACH-000390,-0.571412787479
ACH-000393,-0.0037974062656100003
ACH-000395,0.00258241222521
ACH-000397,0.0020467654125
ACH-000401,-0.525363308295
ACH-000402,0.034978281593999995
ACH-000403,-0.164501826528
ACH-000404,-0.468246606681
ACH-000406,-0.2063903561
ACH-000407,-0.0279371217014
ACH-000408,-0.5929892941179999
ACH-000410,-0.234598052263
ACH-000411,-0.123809960846
ACH-000414,-0.141354051574
ACH-000415,-0.42882378106799995
ACH-000416,-0.0968304767482
ACH-000420,-0.330182004362
ACH-000421,-0.31257788109900003
ACH-000424,-0.208953000083
ACH-000425,-0.283482321487
ACH-000426,-0.158176073195
ACH-000427,-0.145424460926
ACH-000433,-0.21206899175500002
ACH-000436,-0.456375548729
ACH-000444,-0.349404142301
ACH-000445,-0.304180603563
ACH-000448,-0.210798920419
ACH-000450,0.0432408114482
ACH-000452,-0.114800968316
ACH-000454,0.0889447467405
ACH-000458,-0.328146750668
ACH-000459,-0.27572145086800004
ACH-000460,-0.218212682243
ACH-000461,-0.0669356754129
ACH-000463,-0.202726658506
ACH-000464,0.11465646428
ACH-000466,-0.146635089156
ACH-000467,-0.0745400873884
ACH-000468,-0.537660059023
ACH-000469,-0.0644012274674
ACH-000470,-0.056615424090400004
ACH-000471,-0.262306237176
ACH-000472,-0.0653127104827
ACH-000473,-0.145933780063
ACH-000475,-0.204819851762
ACH-000476,-0.0498714818787
ACH-000477,0.1572563666
ACH-000480,-0.326363928773
ACH-000481,-0.139527901414
ACH-000483,-0.23174735074
ACH-000484,-0.23744032440699997
ACH-000485,-0.09538371912139999
ACH-000486,-0.216395746545
ACH-000487,-0.10594944851299999
ACH-000488,-0.17055209515900002
ACH-000490,-0.167398538481
ACH-000491,0.055084873038099995
