,FOXD3 (27022)
ACH-000004,-0.384368447143
ACH-000007,-0.056048762655100004
ACH-000009,-0.303524811392
ACH-000011,-0.389748608948
ACH-000012,-0.20314643362100002
ACH-000013,-0.273525445606
ACH-000014,-0.271184152593
ACH-000015,-0.177648634452
ACH-000017,-0.340487243842
ACH-000018,-0.321569368551
ACH-000019,-0.243201655509
ACH-000021,-0.340734623004
ACH-000022,-0.450118966676
ACH-000025,-0.323887198174
ACH-000028,-0.0865223675162
ACH-000030,-0.26679682812399996
ACH-000035,-0.420054752237
ACH-000036,-0.288343810504
ACH-000037,-0.160116035471
ACH-000039,-0.407201646854
ACH-000040,-0.439948927105
ACH-000041,-0.327649948443
ACH-000042,-0.208061699782
ACH-000045,-0.37126423471299996
ACH-000047,-0.166088660202
ACH-000052,-0.6188409665860001
ACH-000053,-0.21351411060199998
ACH-000054,-0.279658389394
ACH-000055,-0.341039807949
ACH-000060,-0.656190994063
ACH-000067,-0.39066267208300004
ACH-000070,-0.212849562243
ACH-000075,-0.292446762035
ACH-000078,-0.438654607908
ACH-000082,-0.337418542887
ACH-000085,-0.581954839683
ACH-000086,-0.308771944839
ACH-000087,-0.166319892574
ACH-000092,-0.319796656429
ACH-000095,-0.341291684123
ACH-000097,-0.284295333245
ACH-000098,-0.232589054549
ACH-000099,-0.36351018514300004
ACH-000108,-0.18573150165
ACH-000113,-0.241573017553
ACH-000115,-0.396306068349
ACH-000116,-0.238078106382
ACH-000118,-0.345155004228
ACH-000120,-0.21003268271899997
ACH-000123,-0.349179294442
ACH-000127,-0.261808715601
ACH-000128,-0.24392859193799998
ACH-000132,-0.41097652886200003
ACH-000133,-0.276892551026
ACH-000137,-0.239268616356
ACH-000138,-0.297893375337
ACH-000142,-0.111522506139
ACH-000143,-0.229512194025
ACH-000146,-0.258208290125
ACH-000148,-0.259947809657
ACH-000150,-0.21737280825599997
ACH-000152,-0.096398219867
ACH-000153,-0.271463087354
ACH-000159,-0.217303858909
ACH-000160,-0.371429152684
ACH-000163,-0.533264930551
ACH-000167,-0.335093289854
ACH-000168,-0.308018435697
ACH-000169,-0.209291809523
ACH-000178,-0.398281480892
ACH-000182,0.0387539700426
ACH-000183,-0.247037306338
ACH-000188,-0.46660531967200003
ACH-000189,-0.112709234747
ACH-000190,-0.0665141582008
ACH-000198,-0.30851378151299996
ACH-000204,-0.013289672677
ACH-000206,-0.0896930332244
ACH-000207,-0.328866329625
ACH-000211,-0.171601389547
ACH-000215,-0.283680497372
ACH-000221,-0.373058674313
ACH-000222,-0.10722534745500001
ACH-000223,-0.305405876881
ACH-000226,-0.325799003958
ACH-000227,-0.114776617143
ACH-000228,-0.0676472311653
ACH-000231,-0.16927081724800003
ACH-000232,-0.283154227409
ACH-000233,-0.0490378709012
ACH-000234,-0.259846042595
ACH-000235,-0.265460999468
ACH-000237,-0.214195963442
ACH-000238,-0.41728340280599996
ACH-000243,-0.14388207855000001
ACH-000244,-0.466928212517
ACH-000246,-0.196587041563
ACH-000248,-0.441157754591
ACH-000250,-0.32977094069699997
ACH-000251,-0.295248271426
ACH-000253,-0.206977690563
ACH-000255,-0.41324200391000004
ACH-000256,-0.258474182516
ACH-000257,-0.393553496367
ACH-000258,-0.049565985791300005
ACH-000259,-0.296607944758
ACH-000260,-0.298153201623
ACH-000261,-0.28951949508200003
ACH-000262,-0.188304735008
ACH-000263,0.012062157802200001
ACH-000264,-0.360310064934
ACH-000265,-0.294300724067
ACH-000266,-0.107593301935
ACH-000272,-0.286345774359
ACH-000273,-0.16059931744699998
ACH-000274,-0.285921462989
ACH-000277,-0.12821076842
ACH-000278,-0.20522053162
ACH-000279,-0.275650629073
ACH-000280,-0.5435698137730001
ACH-000281,-0.112778112617
ACH-000288,-0.275302398706
ACH-000291,-0.45001601986199996
ACH-000293,-0.132433237039
ACH-000294,-0.419938971455
ACH-000295,0.23302236400100002
ACH-000296,-0.28591446622600003
ACH-000302,-0.233713350499
ACH-000304,-0.44924781613000003
ACH-000307,-0.270863741382
ACH-000308,-0.029678576478599998
ACH-000310,-0.33609275587399995
ACH-000311,-0.424259212118
ACH-000312,-0.278496849085
ACH-000315,-0.308208458801
ACH-000316,-0.308990845413
ACH-000317,-0.101553493621
ACH-000318,-0.314080267741
ACH-000319,-0.174145918275
ACH-000320,0.112613084092
ACH-000322,-0.0816410763046
ACH-000323,-0.17851634792399998
ACH-000324,-0.22665204192699998
ACH-000329,-0.046734026985300006
ACH-000330,-0.007779561448479999
ACH-000331,-0.384973456621
ACH-000332,-0.157178678522
ACH-000334,-0.223320867316
ACH-000335,-0.21243311571600001
ACH-000336,-0.192304886408
ACH-000337,-0.040353763873400006
ACH-000339,-0.34423219305
ACH-000341,-0.571471303076
ACH-000348,-0.201695027925
ACH-000350,-0.382159645501
ACH-000352,-0.304662925656
ACH-000356,-0.268021689535
ACH-000361,-0.320477660711
ACH-000362,-0.251117520852
ACH-000363,-0.13209294343800002
ACH-000364,-0.201361058121
ACH-000365,-0.139282158217
ACH-000366,-0.21757776876999996
ACH-000368,-0.256540967489
ACH-000374,-0.327536791551
ACH-000375,-0.152529637023
ACH-000376,-0.27914650947299996
ACH-000381,-0.379974543485
ACH-000383,-0.313800994695
ACH-000387,-0.0868060479002
ACH-000389,-0.18522528667500002
ACH-000390,-0.319879869258
ACH-000393,-0.285515808549
ACH-000395,-0.27154173664000003
ACH-000397,-0.17941775014800002
ACH-000401,-0.542749030255
ACH-000402,-0.144532010529
ACH-000403,-0.108588765245
ACH-000404,-0.424343002742
ACH-000406,-0.16840029036600002
ACH-000407,-0.24272156929699998
ACH-000408,-0.11379716784499999
ACH-000410,-0.39814860659400003
ACH-000411,-0.29132456945
ACH-000414,-0.20605871519900001
ACH-000415,-0.302791280844
ACH-000416,-0.21871848742400002
ACH-000420,-0.313482166945
ACH-000421,-0.308464740099
ACH-000424,-0.094388767653
ACH-000425,-0.248259634496
ACH-000426,-0.232305954875
ACH-000427,-0.126010675125
ACH-000433,-0.523504254647
ACH-000436,-0.118454736053
ACH-000444,-0.28903972008400003
ACH-000445,-0.32874344136100003
ACH-000448,-0.299626154069
ACH-000450,-0.6522611075779999
ACH-000452,-0.18366341416999998
ACH-000454,-0.309190293289
ACH-000458,-0.23481268628000002
ACH-000459,-0.469912818771
ACH-000460,-0.21319394209800002
ACH-000461,-0.346110018231
ACH-000463,-0.333094808174
ACH-000464,-0.485883107849
ACH-000466,-0.519520588569
ACH-000467,-0.149906014099
ACH-000468,-0.24434719525100002
ACH-000469,-0.348407910668
ACH-000470,-0.263435974946
ACH-000471,-0.291899586089
ACH-000472,-0.272497000288
ACH-000473,-0.305349827982
ACH-000475,-0.434542033865
ACH-000476,-0.270529883767
ACH-000477,-0.09434516292989999
ACH-000480,-0.522200318958
ACH-000481,-0.386723309594
ACH-000483,-0.09741089081630001
ACH-000484,-0.163936553347
ACH-000485,-0.14797872554400002
ACH-000486,-0.38113051373499995
ACH-000487,-0.34103108410099997
ACH-000488,-0.136311448453
ACH-000490,-0.121727168309
ACH-000491,-0.342039033442
ACH-000495,-0.186972072079
ACH-000496,-0.37960757635
ACH-000499,-0.44245137869199996
ACH-000500,0.185017467087
ACH-000502,-0.16987716102699998
ACH-000503,-0.0953077989294
ACH-000505,-0.138860262774
ACH-000507,-0.196971188657
ACH-000510,-0.37452055357600006
ACH-000511,-0.266461405589
ACH-000512,-0.32989497153999997
ACH-000516,-0.14156219958799998
ACH-000517,-0.216454503177
ACH-000518,-0.303164489609
ACH-000520,-0.305435991874
ACH-000521,-0.214168654847
ACH-000522,-0.25896638639499997
ACH-000524,-0.389087494083
ACH-000527,-0.187159197171
ACH-000528,-0.37108445166000004
ACH-000537,-0.0018091196935199998
ACH-000541,-0.14071219619300002
ACH-000542,-0.204207889638
ACH-000544,-0.366809113569
ACH-000545,-0.234141405285
ACH-000547,-0.18635117290300002
ACH-000548,-0.188375830077
ACH-000549,0.0197336281678
ACH-000550,-0.187180202843
ACH-000552,-0.256937775471
ACH-000556,-0.30652658878899997
ACH-000557,-0.309849811775
ACH-000570,-0.260818737755
ACH-000571,-0.452306714983
ACH-000573,-0.357916114895
ACH-000576,-0.0764006059382
ACH-000580,-0.538772591989
ACH-000584,-0.273880149996
ACH-000585,-0.206984574643
ACH-000588,-0.460051752346
ACH-000589,-0.302497637942
ACH-000591,-0.301491582093
ACH-000593,-0.27690400639400004
ACH-000600,-0.38451348476400005
ACH-000601,-0.08168238437999999
ACH-000604,-0.211013151433
