,MAPKAP1 (79109)
ACH-000004,-0.0596890216421
ACH-000007,-0.445745840457
ACH-000009,-0.5005306927350001
ACH-000011,-0.553401258685
ACH-000012,-0.0674701483763
ACH-000013,-0.691606172414
ACH-000014,-0.7948276971259999
ACH-000015,-0.201029490052
ACH-000017,-1.03255289276
ACH-000018,-0.22315306367499999
ACH-000019,-0.619587844266
ACH-000021,-0.323630743847
ACH-000022,-0.47732180311399997
ACH-000025,-0.37657156251400004
ACH-000028,-0.326115569509
ACH-000030,-0.262922677092
ACH-000035,-0.316010447125
ACH-000036,-0.393140954792
ACH-000037,-0.11822550284700001
ACH-000039,-0.635858591256
ACH-000040,-0.357872535255
ACH-000041,-0.605567080962
ACH-000042,-0.44176024586999996
ACH-000045,-0.187334407714
ACH-000047,-0.39433169521
ACH-000052,-0.382037652946
ACH-000053,-0.314740112949
ACH-000054,-0.42424000309199994
ACH-000055,-0.00762331694597
ACH-000060,-0.409715739384
ACH-000067,-0.44830899002499996
ACH-000070,-0.484118325336
ACH-000075,-0.265228040572
ACH-000078,-0.38513433086599996
ACH-000082,-0.506359630366
ACH-000085,-0.500442720484
ACH-000086,-0.536972471362
ACH-000087,-0.671758828565
ACH-000092,-0.341321938333
ACH-000095,-0.6395693999000001
ACH-000097,-0.645131116132
ACH-000098,-0.618800060541
ACH-000099,-0.417364791562
ACH-000108,-0.515663863327
ACH-000113,-0.314806687453
ACH-000115,-0.7142639131980001
ACH-000116,-0.145609338753
ACH-000118,-0.512261645927
ACH-000120,-0.490378596542
ACH-000123,-0.26055598149099995
ACH-000127,-0.26579914286
ACH-000128,-0.510891785169
ACH-000132,-0.19378144487100002
ACH-000133,-0.287250272662
ACH-000137,-0.182531675541
ACH-000138,-0.34504313278399995
ACH-000142,-0.476431064793
ACH-000143,-0.49525744651500003
ACH-000146,-0.465732637741
ACH-000148,-0.622343299884
ACH-000150,-0.422961310855
ACH-000152,-0.646445144763
ACH-000153,-0.241375413304
ACH-000159,-0.7746845657089999
ACH-000160,-0.266932794717
ACH-000163,-0.552036275188
ACH-000167,-0.660480990568
ACH-000168,-0.252261355455
ACH-000169,-0.19047265710900002
ACH-000178,-0.652529797127
ACH-000182,0.016980089871399998
ACH-000183,-0.6715949860179999
ACH-000188,-0.138563108711
ACH-000189,-0.408940402819
