,UQCC3 (790955)
ACH-000004,0.00147323080468
ACH-000007,-0.261980754629
ACH-000009,-0.11763199985200001
ACH-000011,-0.170944921994
ACH-000012,-0.406241610229
ACH-000013,-0.28506543391899997
ACH-000014,0.028297599018900003
ACH-000015,-0.40981934670599995
ACH-000017,-0.307364478557
ACH-000018,-0.425405282044
ACH-000019,-0.398005406171
ACH-000021,-0.26836836038199996
ACH-000022,-0.15086486694
ACH-000025,-0.255336821015
ACH-000028,-0.360344291461
ACH-000030,-0.449054933168
ACH-000035,-0.148134023073
ACH-000036,0.0136709857351
ACH-000037,-0.5152847054909999
ACH-000039,-0.313042980596
ACH-000040,-0.43915127694600004
ACH-000041,0.0422865006599
ACH-000042,-0.25660338488
ACH-000045,-0.42899630114
ACH-000047,-0.202283297666
ACH-000052,-0.031843210594200005
ACH-000053,-0.132707572804
ACH-000054,0.013423476663799998
ACH-000055,-0.22619838966699998
ACH-000060,-0.247187352928
ACH-000067,-0.0700157505466
ACH-000070,-0.22319666828899998
ACH-000075,-0.417484976024
ACH-000078,-0.208434326376
ACH-000082,-0.384667342059
ACH-000085,-0.222300938204
ACH-000086,-0.44286900707800003
ACH-000087,-0.116571478477
ACH-000092,-0.43495509402800003
ACH-000095,-0.18003233472
ACH-000097,-0.34366458314099996
ACH-000098,-0.224014273606
ACH-000099,-0.13610451586300001
ACH-000108,-0.125847714975
ACH-000113,-0.747058341988
ACH-000115,-0.117382985244
ACH-000116,-0.355156668465
ACH-000118,-0.346357417269
ACH-000120,-0.255115292353
ACH-000123,-0.338143172426
ACH-000127,-0.0936053401592
ACH-000128,-0.15377172363
ACH-000132,-0.42540747240500004
ACH-000133,-0.230729047257
ACH-000137,-0.374898241702
ACH-000138,-0.270468980758
ACH-000142,-0.259566576043
ACH-000143,-0.137945765019
ACH-000146,-0.124319207435
ACH-000148,-0.365182470968
ACH-000150,-0.41162064555100003
ACH-000152,-0.243692377603
ACH-000153,-0.151767515909
ACH-000159,-0.204948350783
ACH-000160,-0.22295123696199998
ACH-000163,-0.19939085388099997
ACH-000167,-0.162302154146
ACH-000168,-0.126183128215
ACH-000169,-0.198456591184
ACH-000178,-0.16884501522
ACH-000182,-0.16941794586300002
ACH-000183,-0.248905950137
ACH-000188,-0.24923113081599998
ACH-000189,-0.761278697976
ACH-000190,-0.351912323786
ACH-000198,-0.7034796587890001
ACH-000204,-0.316397750342
ACH-000206,-0.251395422053
ACH-000207,-0.579709405436
ACH-000211,-0.321125361425
ACH-000215,-0.24519880209199998
ACH-000221,-0.387079830256
ACH-000222,-0.29666404947299996
ACH-000223,-0.254044974025
ACH-000226,-0.325496248836
ACH-000227,-0.07672285498369999
ACH-000228,-0.48225896980599997
ACH-000231,-0.227984984617
ACH-000232,-0.232720794655
ACH-000233,-0.160784129441
ACH-000234,-0.269762684902
ACH-000235,-0.24554515571600002
ACH-000237,-0.0600781331443
ACH-000238,-0.140055918718
ACH-000243,-0.18540839012600002
ACH-000244,-0.124024911372
ACH-000246,-0.37451193099299995
ACH-000248,-0.208994110022
ACH-000250,-0.20642327085999998
ACH-000251,-0.253793109144
ACH-000253,-0.0286702636354
ACH-000255,-0.331213126149
ACH-000256,-0.436989134883
ACH-000257,-0.125117628374
ACH-000258,-0.0222584115716
ACH-000259,-0.336563688955
ACH-000260,-0.226716509831
ACH-000261,-0.196344941699
ACH-000262,-0.264165535664
ACH-000263,0.039958162721
ACH-000264,-0.286803806278
ACH-000265,-0.230900655569
ACH-000266,-0.30344641788000004
ACH-000272,-0.26549571041299996
ACH-000273,-0.285129615973
ACH-000274,-0.115328973806
ACH-000277,-0.376267320227
ACH-000278,0.06396144413919999
ACH-000279,-0.037461813319000004
ACH-000280,-0.13153408502800001
ACH-000281,-0.0344975291399
ACH-000288,-0.260209941796
ACH-000291,-0.164172874485
ACH-000293,-0.593732630458
ACH-000294,-0.0216433427208
ACH-000295,-0.290598091638
ACH-000296,-0.123281716787
ACH-000302,-0.167943748498
ACH-000304,-0.630650546357
ACH-000307,-0.25031525455
ACH-000308,-0.447604728494
ACH-000310,-0.17751990353799998
ACH-000311,-0.163789322014
ACH-000312,-0.328635642999
ACH-000315,-0.206930277959
ACH-000316,-0.280416554195
ACH-000317,-0.7294713256730001
ACH-000318,-0.750539153386
ACH-000319,-0.371442113324
ACH-000320,-0.411330812213
ACH-000322,-0.372556357541
ACH-000323,-0.304418896408
ACH-000324,-0.22932701548
ACH-000329,-0.247597487702
ACH-000330,-0.296748605368
ACH-000331,-0.197278125999
ACH-000332,-0.172332159997
ACH-000334,-0.593801690009
ACH-000335,-0.246891634649
ACH-000336,-0.37005485837200003
ACH-000337,-0.288692503367
ACH-000339,-0.297405529701
ACH-000341,-0.376468858089
ACH-000348,-0.18966322863600002
ACH-000350,-0.316275166605
ACH-000352,-0.34512145169
ACH-000356,-0.238103702454
ACH-000361,-0.29965987164999996
ACH-000362,-0.213842667306
ACH-000363,-0.232302172121
ACH-000364,-0.254869891417
ACH-000365,-0.24523597515599999
ACH-000366,-0.468490695128
ACH-000368,-0.21470158832400002
ACH-000374,-0.5380521810109999
ACH-000375,-0.295159609055
ACH-000376,-0.5048893468760001
ACH-000381,-0.19050980772999998
ACH-000383,-0.295704932294
ACH-000387,-0.131402912873
ACH-000389,-0.061078948871300005
ACH-000390,-0.27454832434099996
ACH-000393,-0.24606099333099998
ACH-000395,-0.277831779927
ACH-000397,-0.46495530181
ACH-000401,-0.299691216481
ACH-000402,-0.502490410306
ACH-000403,-0.159265564466
ACH-000404,-0.299573437115
ACH-000406,-0.341434707593
ACH-000407,-0.266484569529
ACH-000408,-0.232787383294
ACH-000410,-0.227333486123
ACH-000411,-0.296029780538
ACH-000414,-0.21528065772500002
ACH-000415,-0.291868598551
ACH-000416,-0.104789767761
ACH-000420,-0.297929314228
ACH-000421,-0.209813212881
ACH-000424,-0.24270026144999998
ACH-000425,-0.15247047783099998
ACH-000426,-0.32430900257899997
ACH-000427,-0.191388309675
ACH-000433,-0.610900838909
ACH-000436,-0.19853516624
ACH-000444,-0.0630141645684
ACH-000445,-0.15760668329500002
ACH-000448,-0.06453506895069999
ACH-000450,-0.31839139385000004
ACH-000452,-0.182494564992
ACH-000454,-0.189933416593
ACH-000458,-0.318398326101
ACH-000459,-0.476040349476
ACH-000460,-0.1453495859
ACH-000461,-0.58258294135
ACH-000463,-0.152609956655
ACH-000464,-0.15993060196699999
ACH-000466,-0.274190692661
ACH-000467,-0.249892308295
ACH-000468,-0.22315092126999997
ACH-000469,-0.28305682161699997
ACH-000470,-0.298986875118
ACH-000471,-0.248231780757
ACH-000472,-0.243327528851
ACH-000473,-0.301879444242
ACH-000475,-0.203961048585
ACH-000476,-0.352617015353
ACH-000477,-0.631564513735
ACH-000480,-0.20546094714899998
ACH-000481,-0.36429400748999996
ACH-000483,-0.58214515154
ACH-000484,-0.407115461508
ACH-000485,-0.102659706304
ACH-000486,-0.24895312011
ACH-000487,-0.20352928828800002
ACH-000488,-0.250670916121
ACH-000490,-0.19238410811
ACH-000491,-0.332082193043
