,CENPW (387103)
ACH-000004,-1.20761041208
ACH-000007,-1.43997159268
ACH-000009,-1.5338084645299999
ACH-000011,-1.7472401178599999
ACH-000012,-1.60018630912
ACH-000013,-1.7026946128600002
ACH-000014,-1.6791854768399999
ACH-000015,-1.5680389851700003
ACH-000017,-1.53443156727
ACH-000018,-1.17867550627
ACH-000019,-1.32120120267
ACH-000021,-1.38521420257
ACH-000022,-1.6595120732700002
ACH-000025,-1.5649738145899998
ACH-000028,-1.3897359839399999
ACH-000030,-1.86830883194
ACH-000035,-1.22404353285
ACH-000036,-1.52342006264
ACH-000037,-1.6887151129499998
ACH-000039,-1.7100768751100002
ACH-000040,-1.3804990567500002
ACH-000041,-1.59374933347
ACH-000042,-1.9616977003599998
ACH-000045,-1.4826175621000002
ACH-000047,-1.88925664955
ACH-000052,-1.0553704157100001
ACH-000053,-1.74719819055
ACH-000054,-1.54980437055
ACH-000055,-1.2703989261700002
ACH-000060,-1.7662986176900002
ACH-000067,-1.53284606232
ACH-000070,-1.7139271004499999
ACH-000075,-1.0568226532
ACH-000078,-1.7860078291900003
ACH-000082,-1.43814332278
ACH-000085,-1.8590309128799998
ACH-000086,-1.1647890596200001
ACH-000087,-1.6365215856200002
ACH-000092,-1.3917424941499998
ACH-000095,-1.5286473123500002
ACH-000097,-1.38213270366
ACH-000098,-1.1676967716700002
ACH-000099,-1.5954672524200002
ACH-000108,-1.7326287339
ACH-000113,-1.2238550732200002
ACH-000115,-2.37406970351
ACH-000116,-1.63146763621
ACH-000118,-1.7815241559400001
ACH-000120,-1.54620710141
ACH-000123,-1.5525371607299998
ACH-000127,-1.28275465454
ACH-000128,-1.32426895635
ACH-000132,-1.6761002780899998
ACH-000133,-1.5149077785
ACH-000137,-1.6843715234999999
ACH-000138,-1.75715354065
ACH-000142,-1.17499134588
ACH-000143,-1.41168864236
ACH-000146,-1.5818414730099999
ACH-000148,-1.6384071765000001
ACH-000150,-1.04557641861
ACH-000152,-1.2267323703
ACH-000153,-1.34080091474
ACH-000159,-1.05199844983
ACH-000160,-1.4236599240999999
ACH-000163,-1.36668256336
ACH-000167,-1.3505895082100001
ACH-000168,-1.65656107162
ACH-000169,-1.49623470426
ACH-000178,-1.43018758044
ACH-000182,-1.28495529912
ACH-000183,-1.7087143564899998
ACH-000188,-1.7528156475299999
ACH-000189,-1.1079533923
ACH-000190,-1.2512521196700002
ACH-000198,-1.65365813317
ACH-000204,-1.33000827375
ACH-000206,-1.96943882719
ACH-000207,-1.6040355845200003
ACH-000211,-1.77174171118
ACH-000215,-1.6679611780899999
ACH-000221,-1.54192444603
ACH-000222,-1.56184202128
ACH-000223,-1.4609605323600001
ACH-000226,-1.42543718943
