,ACTL7A (10881)
ACH-000004,-0.158732311795
ACH-000007,-0.434460072547
ACH-000009,-0.31454552172
ACH-000011,-0.175421904939
ACH-000012,-0.28263999019999997
ACH-000013,-0.321747021974
ACH-000014,-0.331192334077
ACH-000015,-0.389368276182
ACH-000017,-0.197455207954
ACH-000018,-0.29645212128000004
ACH-000019,0.0239612469504
ACH-000021,-0.327868464103
ACH-000022,-0.317008829592
ACH-000025,-0.35333526764600004
ACH-000028,-0.32914135996800004
ACH-000030,-0.29516542554200004
ACH-000035,-0.22798757800799999
ACH-000036,-0.26973232893599997
ACH-000037,-0.269938760528
ACH-000039,-0.376996253001
ACH-000040,-0.15382385880000002
ACH-000041,-0.170042596116
ACH-000042,-0.561954797747
ACH-000045,-0.309678726173
ACH-000047,-0.19185577734200002
ACH-000052,-0.660339678535
ACH-000053,-0.184443891699
ACH-000054,-0.253049308477
ACH-000055,-0.11728384390100001
ACH-000060,-0.258140781454
ACH-000067,0.047816457491
ACH-000070,0.0274173947683
ACH-000075,-0.12999510106599999
ACH-000078,-0.222060086236
ACH-000082,-0.0346619677066
ACH-000085,-0.299589614561
ACH-000086,-0.28996473691999997
ACH-000087,-0.543452883813
ACH-000092,-0.270355142442
ACH-000095,-0.319293136378
ACH-000097,-0.35131234423
ACH-000098,-0.301443062955
ACH-000099,-0.192485528055
ACH-000108,-0.225899687377
ACH-000113,-0.217286011364
ACH-000115,-0.365541928677
ACH-000116,-0.31234398145
ACH-000118,-0.5192215246949999
ACH-000120,-0.243330590608
ACH-000123,-0.310926756337
ACH-000127,-0.276005352895
ACH-000128,-0.277070374511
ACH-000132,-0.212190734303
ACH-000133,-0.499904944291
ACH-000137,-0.0552966337351
ACH-000138,-0.372742527862
ACH-000142,-0.445481112821
ACH-000143,-0.11773943927899999
ACH-000146,-0.19388299092300001
ACH-000148,-0.128361672456
ACH-000150,-0.041299952004900005
ACH-000152,-0.37625633193
ACH-000153,-0.0500639735188
ACH-000159,-0.379952813661
ACH-000160,-0.306765501223
ACH-000163,-0.45077987209700005
ACH-000167,-0.0959469849981
ACH-000168,-0.47038914940800003
ACH-000169,-0.300026361779
ACH-000178,-0.310646610687
ACH-000182,-0.42285686425700003
ACH-000183,-0.219169544811
ACH-000188,-0.541220623769
ACH-000189,-0.0104730620771
ACH-000190,-0.25241413773000004
ACH-000198,-0.168425285001
ACH-000204,-0.2871488287
ACH-000206,-0.40098098180299996
ACH-000207,-0.5176141020530001
ACH-000211,-0.331048695779
ACH-000215,-0.280371961869
ACH-000221,-0.41041391898
ACH-000222,-0.515718657559
ACH-000223,-0.196596270165
ACH-000226,-0.432947562775
ACH-000227,-0.19122732070700002
ACH-000228,-0.274763201781
ACH-000231,-0.338283641915
ACH-000232,-0.25118091586999997
ACH-000233,-0.24859208588000004
ACH-000234,-0.0381557800041
ACH-000235,-0.37168687897
ACH-000237,-0.35143427696699997
ACH-000238,-0.32565928608100003
ACH-000243,-0.365171947003
ACH-000244,-0.14443108597
ACH-000246,-0.218237421912
ACH-000248,-0.262640537345
ACH-000250,-0.310224392202
ACH-000251,0.238821626526
ACH-000253,-0.381150648521
ACH-000255,-0.448267620618
ACH-000256,-0.20602499673
ACH-000257,-0.127310179637
ACH-000258,-0.6184805969780001
ACH-000259,-0.29176903364100004
ACH-000260,-0.26825731436
ACH-000261,-0.158091183819
ACH-000262,-0.359498102773
ACH-000263,-0.25432730260200004
ACH-000264,-0.40256216779
ACH-000265,-0.280461183042
ACH-000266,-0.364612867605
ACH-000272,0.0042310840750999995
ACH-000273,-0.33878887521300005
ACH-000274,-0.361906040802
ACH-000277,-0.17068867181699998
ACH-000278,-0.111296324693
ACH-000279,-0.297314515532
ACH-000280,-0.307797828151
ACH-000281,-0.38911963733000005
ACH-000288,-0.0835455126605
ACH-000291,-0.190458056741
ACH-000293,-0.270160857258
ACH-000294,-0.303180764348
ACH-000295,-0.119614726015
ACH-000296,-0.332304791123
ACH-000302,-0.202806088831
