,HLA-C (3107)
ACH-000004,-0.791685051985
ACH-000007,-0.832004140167
ACH-000009,-0.546831003025
ACH-000011,-0.432997701123
ACH-000012,-0.805293330229
ACH-000013,-0.619443128071
ACH-000014,-0.956197046069
ACH-000015,-0.591172806783
ACH-000017,-0.5991066353450001
ACH-000018,-0.595236952178
ACH-000019,-0.330268103096
ACH-000021,-0.687686295257
ACH-000022,-0.6603929881480001
ACH-000025,-0.663762747196
ACH-000028,-0.266354263164
ACH-000030,-0.778828298424
ACH-000035,-0.648711631404
ACH-000036,-0.9131444701010001
ACH-000037,-1.03447056339
ACH-000039,-0.736339580167
ACH-000040,-1.0080138524200002
ACH-000041,-0.546295930723
ACH-000042,-0.601384803993
ACH-000045,-0.579887760735
ACH-000047,-0.76633042587
ACH-000052,-0.630804056195
ACH-000053,-0.882356408955
ACH-000054,-0.795820423492
ACH-000055,-0.498609651848
ACH-000060,-0.9070191997220001
ACH-000067,-0.76289381007
ACH-000070,-0.716173506389
ACH-000075,-0.624028415132
ACH-000078,-0.736979101024
ACH-000082,-0.941039027706
ACH-000085,-0.779163780805
ACH-000086,-0.442094446838
ACH-000087,-0.6761402719830001
ACH-000092,-0.628192078473
ACH-000095,-0.888653067968
ACH-000097,-0.487770698434
ACH-000098,-0.7030235497669999
ACH-000099,-0.674147088318
ACH-000108,-0.606359492593
ACH-000113,-0.7396366855519999
ACH-000115,-1.0116920402200003
ACH-000116,-0.726057089225
ACH-000118,-0.504953089397
ACH-000120,-0.777309484576
ACH-000123,-0.531575889564
ACH-000127,-0.7096752413420001
ACH-000128,-0.9696807245469999
ACH-000132,-0.433238666747
ACH-000133,-0.678005037649
ACH-000137,-0.897317702279
ACH-000138,-0.636012361705
ACH-000142,-0.809450568555
ACH-000143,-0.642975183096
ACH-000146,-0.535929122315
ACH-000148,-0.512298035971
ACH-000150,-0.6562986845800001
ACH-000152,-0.801588615466
ACH-000153,-0.716858299155
ACH-000159,-0.6645542721800001
ACH-000160,-0.49444272640299997
ACH-000163,-0.515096496277
ACH-000167,-0.933677730342
ACH-000168,-0.893997162243
ACH-000169,-0.7699103613889999
ACH-000178,-0.703290530977
ACH-000182,-0.37516662639200005
ACH-000183,-0.6577157254370001
ACH-000188,-0.669773607717
ACH-000189,-0.892509592338
ACH-000190,-0.612781147762
ACH-000198,-0.809436336617
ACH-000204,-0.526643048992
ACH-000206,-0.8579045593179999
ACH-000207,-0.834606973141
ACH-000211,-0.655323576797
ACH-000215,-0.726962011495
ACH-000221,-0.7882763596950001
ACH-000222,-0.687315677718
ACH-000223,-0.852419370154
ACH-000226,-0.7895483312039999
ACH-000227,-0.791413861058
ACH-000228,-0.9784244340389999
ACH-000231,-0.878723914036
ACH-000232,-0.861977127283
ACH-000233,-0.8285854590520001
ACH-000234,-0.789626978605
ACH-000235,-0.676290411493
ACH-000237,-0.7371868236049999
ACH-000238,-0.8216126494660001
ACH-000243,-0.6798723919699999
ACH-000244,-0.9087322657200001
ACH-000246,-0.570851888754
ACH-000248,-0.5931195286500001
ACH-000250,-0.832606544114
ACH-000251,-0.918955859883
ACH-000253,-0.975079726761
ACH-000255,-0.697487161108
ACH-000256,-0.7420190185
ACH-000257,-0.535782213253
ACH-000258,-0.43527583442100004
ACH-000259,-0.583024244211
ACH-000260,-0.504978286741
ACH-000261,-0.531519919152
ACH-000262,-0.500185893909
ACH-000263,-0.5415034027000001
ACH-000264,-0.688142528959
ACH-000265,-0.5525716849310001
ACH-000266,-0.615101870837
ACH-000272,-0.660356757707
ACH-000273,-0.9303184486299999
ACH-000274,-0.715911043783
ACH-000277,-0.6827806934199999
ACH-000278,-0.656059714604
ACH-000279,-0.675005530846
ACH-000280,-0.8394359115250001
ACH-000281,-0.865670143211
ACH-000288,-0.6891051578120001
ACH-000291,-0.387578002799
ACH-000293,-0.856441711528
ACH-000294,-0.597063736209
ACH-000295,-0.921529035199
ACH-000296,-0.7020258045919999
ACH-000302,-0.516102277946
ACH-000304,-0.668376835782
ACH-000307,-0.6124254944690001
ACH-000308,-0.5281062534100001
ACH-000310,-0.415720341966
ACH-000311,-0.8196313764659999
ACH-000312,-0.587679233534
ACH-000315,-0.751069486629
ACH-000316,-0.828082069764
ACH-000317,-0.471045449082
ACH-000318,-0.53169792673
ACH-000319,-0.681879370726
ACH-000320,-0.750538563511
ACH-000322,-0.648314338023
ACH-000323,-0.806104706611
ACH-000324,-0.7255887891580001
ACH-000329,-0.87770245707
ACH-000330,-0.710248753829
ACH-000331,-0.726160072145
ACH-000332,-0.5826256566529999
ACH-000334,-0.755577238944
ACH-000335,-0.608607990132
ACH-000336,-1.32427674896
ACH-000337,-0.635551850517
ACH-000339,-0.6243117987269999
ACH-000341,-0.568860194253
ACH-000348,-0.713569512551
ACH-000350,-0.6942672838259999
ACH-000352,-0.7407437449750001
ACH-000356,-0.340882221981
ACH-000361,-0.908659509434
ACH-000362,-0.9015218974700001
ACH-000363,-0.6715392023810001
ACH-000364,-0.740152451275
ACH-000365,-0.621932455107
ACH-000366,-0.514759381564
ACH-000368,-0.8329861082209999
ACH-000374,-0.7340930290809999
ACH-000375,-0.733341109326
ACH-000376,-0.617672990969
ACH-000381,-0.700037427368
ACH-000383,-0.818329342554
ACH-000387,-0.578115749133
ACH-000389,-0.599348264961
ACH-000390,-0.722905251901
ACH-000393,-0.952420966322
ACH-000395,-0.729889793589
ACH-000397,-0.836401824435
ACH-000401,-0.419226788867
ACH-000402,-0.491497200392
ACH-000403,-1.0776872214
ACH-000404,-1.08931069948
ACH-000406,-0.820888430569
ACH-000407,-0.606707880994
ACH-000408,-0.611999236668
ACH-000410,-0.5840646501210001
ACH-000411,-0.733739390438
ACH-000414,-0.874534980538
ACH-000415,-0.753413402145
ACH-000416,-0.619354256454
ACH-000420,-0.85638161125
ACH-000421,-0.657507201359
ACH-000424,-0.423428077801
ACH-000425,-0.670724865343
ACH-000426,-0.9372241574079999
ACH-000427,-0.7614239026719999
ACH-000433,-0.6584983039710001
ACH-000436,-0.9910084013079999
ACH-000444,-0.749140303883
ACH-000445,-0.871601272395
ACH-000448,-0.630697407556
ACH-000450,-1.0074153177
ACH-000452,-0.847020486235
ACH-000454,-0.639059154797
ACH-000458,-0.72015183904
ACH-000459,-0.55775127257
ACH-000460,-0.681486876542
ACH-000461,-0.6834561143889999
ACH-000463,-0.575575494437
ACH-000464,-0.431769118995
ACH-000466,-0.649215598328
ACH-000467,-0.491707119824
ACH-000468,-0.6468500447600001
ACH-000469,-0.784103300846
ACH-000470,-0.91959780479
ACH-000471,-0.714034897271
ACH-000472,-0.612956639768
ACH-000473,-0.8102223882680001
ACH-000475,-0.5311107806
ACH-000476,-0.496678418888
ACH-000477,-0.783437103906
ACH-000480,-0.502617570383
ACH-000481,-0.7748597315160001
ACH-000483,-0.5776568489639999
ACH-000484,-0.389413757061
ACH-000485,-0.73908980207
ACH-000486,-0.72205099907
ACH-000487,-0.6921687796320001
ACH-000488,-0.728292983722
ACH-000490,-0.723096060966
ACH-000491,-0.996166964202
ACH-000495,-0.651614625361
ACH-000496,-0.8661411257449999
ACH-000499,-0.846704424441
ACH-000500,-0.5831965308829999
ACH-000502,-0.6137629086949999
ACH-000503,-1.0371396284299998
