,PITX1 (5307)
ACH-000004,-0.148635992629
ACH-000007,-0.028737294497599996
ACH-000009,-0.209174050013
ACH-000011,-0.018806071803700003
ACH-000012,-0.187361155678
ACH-000013,-0.03733372854019999
ACH-000014,-0.256583965262
ACH-000015,-0.429841061457
ACH-000017,0.00226340851865
ACH-000018,-0.112863073003
ACH-000019,0.0894655665972
ACH-000021,-0.394863696715
ACH-000022,-0.0707382083127
ACH-000025,0.0142787547724
ACH-000028,-0.11312537517999999
ACH-000030,-0.199105326455
ACH-000035,0.0102793115015
ACH-000036,-0.127102592712
ACH-000037,-0.114434178496
ACH-000039,-0.161518133086
ACH-000040,-0.0531699197239
ACH-000041,0.057093651545699994
ACH-000042,-0.157841065219
ACH-000045,-0.420014395731
ACH-000047,-0.0775075990499
ACH-000052,-0.457835590598
ACH-000053,-0.320447300841
ACH-000054,-0.054414596980699996
ACH-000055,-0.10381504500600001
ACH-000060,-0.236638315528
ACH-000067,-0.157626819999
ACH-000070,-0.11156310199899999
ACH-000075,-0.201562690834
ACH-000078,-0.163776371468
ACH-000082,-0.357978843327
ACH-000085,0.0914646530561
ACH-000086,-0.0967926332368
ACH-000087,-0.141834786636
ACH-000092,-0.146370829796
ACH-000095,-0.124141988392
ACH-000097,0.09705741645430001
ACH-000098,-0.0588188625097
ACH-000099,-0.24990702187
ACH-000108,-0.256571187776
ACH-000113,-0.36254117422
ACH-000115,-2.56612542059e-05
ACH-000116,-0.237360265658
ACH-000118,-0.18138552461399998
ACH-000120,-0.366566857347
ACH-000123,-0.058037287732300005
ACH-000127,-0.0895259299392
ACH-000128,-0.6247404847720001
ACH-000132,-0.0716098496226
ACH-000133,-0.145372210651
ACH-000137,-0.309829098148
ACH-000138,0.0410465871655
ACH-000142,-0.08378425252
ACH-000143,0.162854715671
ACH-000146,-0.159869181818
ACH-000148,-0.06542837018280001
ACH-000150,-0.209061314113
ACH-000152,-0.220990741988
ACH-000153,-0.15035111884000002
ACH-000159,-0.17327301204999998
ACH-000160,-0.0825082475808
ACH-000163,-0.233771522018
ACH-000167,-0.386451492254
ACH-000168,-0.21263385661200002
ACH-000169,-0.16964757664500002
ACH-000178,-0.207642712498
ACH-000182,-0.310015017126
ACH-000183,-0.22442153405999998
ACH-000188,-0.166154866984
ACH-000189,-0.019757030872799997
ACH-000190,-0.20994379384599998
ACH-000198,-0.09086462239319999
ACH-000204,-0.26621169481199997
ACH-000206,-0.367307712335
ACH-000207,0.251995246603
ACH-000211,-0.178919201715
ACH-000215,-0.465927882498
ACH-000221,-0.0124070884625
ACH-000222,-0.162976382511
ACH-000223,-0.13529271951400001
ACH-000226,-0.151001902629
ACH-000227,-0.13062608088400002
ACH-000228,0.13014599037
ACH-000231,-0.168315753559
ACH-000232,-0.197073198756
ACH-000233,-0.00121905086185
ACH-000234,-0.04447345366830001
ACH-000235,-0.0262592874364
ACH-000237,-0.20133368479699998
ACH-000238,-0.144316218219
ACH-000243,-0.13460248498400001
ACH-000244,-0.267587707891
ACH-000246,-0.194628152198
ACH-000248,-0.07015508648230001
ACH-000250,-0.17425968128400002
ACH-000251,-0.566171434961
ACH-000253,-0.118205306445
ACH-000255,-0.0518545606722
ACH-000256,-0.0208146331906
ACH-000257,-0.11548527621600001
ACH-000258,-0.322213445504
ACH-000259,-0.150325914235
ACH-000260,-0.132714080262
ACH-000261,-0.112207705536
ACH-000262,-0.187547515539
ACH-000263,0.0032763722521
ACH-000264,-0.19146034362199998
ACH-000265,-0.129638336679
ACH-000266,-0.23486745048000002
ACH-000272,-0.271363521151
ACH-000273,-0.21175877222
ACH-000274,-0.23392054953400002
ACH-000277,-0.31549894565000003
ACH-000278,0.0112104648585
ACH-000279,-0.19983051888599998
ACH-000280,0.0445430340881
ACH-000281,0.0344796894841
ACH-000288,-0.0739816935728
ACH-000291,-0.233398500907
ACH-000293,0.0251504310481
ACH-000294,-0.049903902199599996
ACH-000295,-0.16195919789000002
ACH-000296,-0.5160491513490001
ACH-000302,-0.098268235807
ACH-000304,-0.155674937782
ACH-000307,-0.33349229664700003
ACH-000308,-0.144315164671
ACH-000310,-0.165535836708
ACH-000311,0.126103673446
ACH-000312,-0.236829555217
ACH-000315,-0.199582645317
ACH-000316,-0.167758430248
ACH-000317,-0.0992247886489
ACH-000318,-0.07574302970499999
ACH-000319,-0.300436860727
ACH-000320,-0.368493480712
ACH-000322,-0.006830200869649999
ACH-000323,-0.340767890507
ACH-000324,0.0562264927463
ACH-000329,-0.24904493114
ACH-000330,-0.662375587833
ACH-000331,-0.0202114804645
ACH-000332,-0.209955668219
ACH-000334,-0.247244527974
ACH-000335,0.11450059794399998
ACH-000336,0.0483453421736
ACH-000337,-0.298845186662
ACH-000339,-0.12268525972100001
ACH-000341,-0.381739399286
ACH-000348,-0.26690968225
ACH-000350,-0.455643337883
ACH-000352,-0.019126593177599998
ACH-000356,-0.034024136752499996
ACH-000361,0.31215316705699997
ACH-000362,-0.08906327540860001
ACH-000363,-0.029556172677500003
ACH-000364,-0.010863322161999998
ACH-000365,0.160422091953
ACH-000366,-0.101500422969
ACH-000368,-0.00322703844491
ACH-000374,-0.306357311378
ACH-000375,-0.222713639839
ACH-000376,-0.306541539749
ACH-000381,-0.292933793735
ACH-000383,-0.13001686256
ACH-000387,-0.0436064023051
ACH-000389,-0.25324140853
ACH-000390,0.0501409582883
ACH-000393,-0.302917485059
ACH-000395,-0.23520733223200002
ACH-000397,-0.19056852308
ACH-000401,-0.344763346405
ACH-000402,0.275449675359
ACH-000403,-0.0905406727612
ACH-000404,-0.09526193942870001
ACH-000406,-0.13655836836
ACH-000407,-0.23080832455800002
ACH-000408,-0.04413507173330001
ACH-000410,-0.276851519642
ACH-000411,-0.0102205787826
ACH-000414,-0.0647718862383
ACH-000415,0.0524808202615
ACH-000416,-0.16494598876299998
ACH-000420,0.13916905491599998
ACH-000421,-0.0900005481838
ACH-000424,-0.018042387651099997
ACH-000425,-0.22599688657400002
ACH-000426,-0.12326201302
ACH-000427,-0.10438099245799999
ACH-000433,-0.0212379044599
ACH-000436,-0.212026850961
ACH-000444,-0.341087586546
