,ERAL1 (26284)
ACH-000004,-0.477840544215
ACH-000007,-0.46788929613499997
ACH-000009,-0.480648941553
ACH-000011,-0.32427963025600004
ACH-000012,-0.513801877663
ACH-000013,-0.6974305307950001
ACH-000014,-0.719452452295
ACH-000015,-0.539726659138
ACH-000017,-0.367310436497
ACH-000018,-0.27580677120700003
ACH-000019,-0.704553472456
ACH-000021,-0.5174344560899999
ACH-000022,-0.726347193923
ACH-000025,-0.511118155612
ACH-000028,-0.6481946271760001
ACH-000030,-0.408584788423
ACH-000035,-0.960546309535
ACH-000036,-0.24717749763900002
ACH-000037,-0.389845751541
ACH-000039,-0.302947098526
ACH-000040,-0.571294846891
ACH-000041,-0.5027943292539999
ACH-000042,-0.458089279392
ACH-000045,-0.543430722857
ACH-000047,-0.704657601839
ACH-000052,-0.24507124509599998
ACH-000053,-0.366577221644
ACH-000054,-0.45176598458899997
ACH-000055,-0.5006060395440001
ACH-000060,-0.39294973050099996
ACH-000067,-0.364202441674
ACH-000070,-0.8124796220980001
ACH-000075,-0.316267324773
ACH-000078,-0.48798924770900004
ACH-000082,-0.368359753579
ACH-000085,-0.47226461870499997
ACH-000086,-0.71820423131
ACH-000087,-0.510277824875
ACH-000092,-0.22246030465999997
ACH-000095,-0.378200565789
ACH-000097,-0.526833973574
ACH-000098,-0.530198862515
ACH-000099,-0.440303744022
ACH-000108,-0.39852280660800005
ACH-000113,-0.5937323424809999
ACH-000115,-0.70039126484
ACH-000116,-0.537789943314
ACH-000118,-0.853305313795
ACH-000120,-0.370018874987
ACH-000123,-0.632248479447
ACH-000127,-0.514571509445
ACH-000128,-0.44620222207099997
ACH-000132,-0.43877668092
ACH-000133,-0.354360871823
ACH-000137,-0.500037066954
ACH-000138,-0.405637400189
ACH-000142,-0.233167074726
ACH-000143,-0.55153589774
ACH-000146,-0.398617607908
ACH-000148,-0.7015802622
ACH-000150,-0.7927317347130001
ACH-000152,-0.494362903046
ACH-000153,-0.439956185358
ACH-000159,-0.406257635539
ACH-000160,-0.764198626839
ACH-000163,-0.630737849671
ACH-000167,-0.156574240491
ACH-000168,0.0277417933373
ACH-000169,-0.566905658328
ACH-000178,-0.63096780225
ACH-000182,-0.7545822883059999
ACH-000183,-0.446187799322
ACH-000188,-0.49146469113200003
ACH-000189,-0.676548762162
ACH-000190,-0.890553586961
ACH-000198,-0.421772314094
ACH-000204,-0.6724313120469999
ACH-000206,-0.49312902517800006
ACH-000207,-0.7827213245300001
ACH-000211,-0.533874943459
ACH-000215,-0.567290050256
ACH-000221,-0.758894436394
ACH-000222,-0.36837396784800003
ACH-000223,-0.404031066553
ACH-000226,-0.578286900677
ACH-000227,-0.169987298172
ACH-000228,-0.250351896935
ACH-000231,-0.425331606709
ACH-000232,-0.504210718283
ACH-000233,-0.479985037096
ACH-000234,-0.324491204353
ACH-000235,-0.48535646086999995
ACH-000237,-0.352062387271
ACH-000238,-0.6472233036999999
ACH-000243,-0.48038794524899997
ACH-000244,-0.33747009487499996
ACH-000246,-0.588839896044
ACH-000248,-0.682395800582
ACH-000250,-0.325565330737
ACH-000251,-0.518218824896
ACH-000253,-0.15126926427999998
ACH-000255,-0.6821786761390001
ACH-000256,-0.461581538551
ACH-000257,-0.587320423921
ACH-000258,-0.570305426341
ACH-000259,-0.571181371598
ACH-000260,-0.508679400743
ACH-000261,-0.37963637890100005
ACH-000262,-0.402549753132
ACH-000263,-0.60340895447
ACH-000264,-0.544326751507
ACH-000265,-0.46511534024499995
ACH-000266,-0.39311418073
ACH-000272,-0.47961048168000003
ACH-000273,-0.266079512822
ACH-000274,-0.48829537653300004
ACH-000277,-0.554335363979
ACH-000278,-0.234368544104
ACH-000279,-0.665268044625
ACH-000280,-0.4120529943
ACH-000281,-0.172290766545
ACH-000288,-0.70964440808
ACH-000291,-0.326460909754
ACH-000293,-0.973628879346
ACH-000294,-0.29721303345899996
