,KPNB1 (3837)
ACH-000004,-2.11845451776
ACH-000007,-1.95496459122
ACH-000009,-1.4984228600999998
ACH-000011,-2.03406887645
ACH-000012,-1.89186936353
ACH-000013,-1.9480844779299997
ACH-000014,-1.8917275683099997
ACH-000015,-1.68242639193
ACH-000017,-2.0023978701
ACH-000018,-1.68835935461
ACH-000019,-1.8540472537400001
ACH-000021,-1.60937740564
ACH-000022,-2.16008792604
ACH-000025,-1.7682790896
ACH-000028,-1.65766507614
ACH-000030,-1.9449695606900002
ACH-000035,-1.69975378491
ACH-000036,-1.8602776653
ACH-000037,-2.39111600156
ACH-000039,-1.6876690087700001
ACH-000040,-1.7015122576800001
ACH-000041,-1.86495879104
ACH-000042,-1.7497724750499999
ACH-000045,-2.1108311937599997
ACH-000047,-1.7148485005399998
ACH-000052,-2.0099986279
ACH-000053,-2.0218649427
ACH-000054,-2.01225463271
ACH-000055,-1.69689819671
ACH-000060,-1.5881297029399999
ACH-000067,-1.7605029592099997
ACH-000070,-2.12045837173
ACH-000075,-1.50084719629
ACH-000078,-1.7766515129799998
ACH-000082,-2.2837049248
ACH-000085,-1.84370469692
ACH-000086,-1.61699943516
ACH-000087,-1.9202613713499999
ACH-000092,-1.70183684855
ACH-000095,-1.8532471559400001
ACH-000097,-1.8883263266900003
ACH-000098,-1.9301921992
ACH-000099,-2.1055122870500003
ACH-000108,-2.07538064842
ACH-000113,-2.11928995344
ACH-000115,-2.54658347026
ACH-000116,-1.7386530659200001
ACH-000118,-1.7110425495700001
ACH-000120,-1.7615881907099997
ACH-000123,-1.6679552038999998
ACH-000127,-1.8252640236000002
ACH-000128,-1.67562058465
ACH-000132,-1.8943880582599997
ACH-000133,-1.69841156088
ACH-000137,-1.85166087768
ACH-000138,-1.82830676309
ACH-000142,-1.79910831412
ACH-000143,-1.8232564759599998
ACH-000146,-2.30027526223
ACH-000148,-2.03700415214
ACH-000150,-1.9221662364400003
ACH-000152,-1.6314319321000001
ACH-000153,-2.28872740542
ACH-000159,-1.78594252718
ACH-000160,-2.24341553542
ACH-000163,-2.08860614079
ACH-000167,-2.19878928488
ACH-000168,-1.8688006716299999
ACH-000169,-1.9412902028
ACH-000178,-1.92137125228
ACH-000182,-1.96252552907
ACH-000183,-1.9358161756599999
ACH-000188,-1.46988599844
ACH-000189,-1.51175829318
ACH-000190,-1.5020919979299998
ACH-000198,-2.01374625271
ACH-000204,-1.98243803613
ACH-000206,-1.8413860369400001
ACH-000207,-2.70833332312
ACH-000211,-1.7551167111400001
ACH-000215,-1.8031098965099999
ACH-000221,-1.9429298162900002
ACH-000222,-2.2358147145299996
ACH-000223,-2.1224022082
ACH-000226,-1.92404213949
ACH-000227,-2.2696538143700002
ACH-000228,-1.8673636135299998
ACH-000231,-1.8701367733
ACH-000232,-1.92408902504
ACH-000233,-2.01246463939
ACH-000234,-2.1077528367400005
ACH-000235,-1.8681320320700001
ACH-000237,-1.8002672343900001
ACH-000238,-1.87139073455
ACH-000243,-1.96692227127
ACH-000244,-1.88554160646
ACH-000246,-1.8659063162799998
ACH-000248,-1.81754029347
ACH-000250,-1.77453776772
ACH-000251,-1.85524225718
ACH-000253,-1.8617392465400002
ACH-000255,-1.59066810025
ACH-000256,-1.94472503743
ACH-000257,-1.98625244509
ACH-000258,-1.3829368407
ACH-000259,-1.8372221267400002
ACH-000260,-1.69183407768
ACH-000261,-1.88814269479
ACH-000262,-1.71292719107
ACH-000263,-2.0652855841799997
ACH-000264,-1.9763312683200003
ACH-000265,-2.0370393125799997
ACH-000266,-1.75802403103
ACH-000272,-1.88054795498
ACH-000273,-1.85328507814
ACH-000274,-1.9712766422299999
ACH-000277,-2.23879754315
ACH-000278,-1.92043884093
ACH-000279,-2.0625827995500003
ACH-000280,-1.7222861836
ACH-000281,-2.01965227073
ACH-000288,-1.8889147312
ACH-000291,-1.90736046723
ACH-000293,-2.1007506979499997
ACH-000294,-2.46477755165
ACH-000295,-1.8798409988599998
ACH-000296,-1.8676232357799998
ACH-000302,-1.9899004995099998
ACH-000304,-1.68487819651
ACH-000307,-1.7810921575099998
ACH-000308,-1.91745462531
ACH-000310,-1.8131742852900001
ACH-000311,-1.9142808401599998
ACH-000312,-1.8822681635900003
ACH-000315,-1.77373559808
ACH-000316,-2.22466214481
ACH-000317,-1.7823744298599997
ACH-000318,-1.55620297555
ACH-000319,-2.0156244449400003
ACH-000320,-1.82118569406
ACH-000322,-1.9178210046400002
ACH-000323,-1.7005508624799999
ACH-000324,-1.87874198227
ACH-000329,-2.2526067823
ACH-000330,-2.14376324989
ACH-000331,-1.6145328262099998
ACH-000332,-1.90372208988
ACH-000334,-3.2961273010100003
ACH-000335,-1.69087502241
ACH-000336,-2.1276832627
ACH-000337,-2.23353024067
ACH-000339,-1.97089946971
ACH-000341,-1.5633652000799998
ACH-000348,-2.25365897058
ACH-000350,-2.18223310067
ACH-000352,-1.8895404755400003
ACH-000356,-2.00705778066
ACH-000361,-1.6760700322600002
ACH-000362,-2.07962636935
ACH-000363,-2.02293252235
ACH-000364,-2.0213762244
ACH-000365,-2.12542107637
ACH-000366,-1.74339897444
ACH-000368,-1.8045011356599998
ACH-000374,-1.86237237967
ACH-000375,-1.8816762845599997
ACH-000376,-1.7979868282700002
ACH-000381,-1.7977951708500002
ACH-000383,-2.15912415245
ACH-000387,-2.04509780194
ACH-000389,-1.84319251708
ACH-000390,-2.00850564478
ACH-000393,-1.70120502692
ACH-000395,-1.87259102629
ACH-000397,-1.9354949092700002
ACH-000401,-2.08636435141
ACH-000402,-2.49218575032
ACH-000403,-2.19518356931
ACH-000404,-2.19773690464
ACH-000406,-2.01542784877
ACH-000407,-1.69718489749
ACH-000408,-1.80239815248
ACH-000410,-1.7312488892299998
ACH-000411,-1.68169613229
ACH-000414,-2.2112455852400004
ACH-000415,-1.98762926605
ACH-000416,-1.7373485535900002
ACH-000420,-1.9291867519900001
ACH-000421,-1.8564323364200002
ACH-000424,-1.76735513759
ACH-000425,-1.94483637662
ACH-000426,-2.14072239816
ACH-000427,-2.13688115226
ACH-000433,-1.7636028120299998
ACH-000436,-2.2371191095599996
ACH-000444,-1.7439222907499998
ACH-000445,-1.52190372139
ACH-000448,-1.99258638741
ACH-000450,-1.936898349
ACH-000452,-2.0026965523199998
ACH-000454,-1.45783258012
ACH-000458,-1.88039343475
ACH-000459,-1.64662704067
ACH-000460,-1.7367450599599998
ACH-000461,-1.8887592321000002
ACH-000463,-1.5916587250100003
ACH-000464,-1.90959414449
ACH-000466,-1.62081324182
ACH-000467,-1.7430265820500002
ACH-000468,-2.04766614235
ACH-000469,-1.96710235399
ACH-000470,-2.16040219518
ACH-000471,-1.89908407535
ACH-000472,-2.14792998414
ACH-000473,-1.7799626642500002
ACH-000475,-1.9488970207
ACH-000476,-1.7027946957799998
ACH-000477,-2.0418633986200003
ACH-000480,-1.6991124746700002
ACH-000481,-2.0659121167400003
ACH-000483,-2.10792664164
ACH-000484,-2.00071889617
ACH-000485,-2.12291831203
ACH-000486,-1.95644613758
ACH-000487,-1.76141422287
ACH-000488,-1.9284550835299998
ACH-000490,-1.82042562292
ACH-000491,-2.27585996097
ACH-000495,-1.8842767586400002
ACH-000496,-1.8365398106400002
ACH-000499,-1.4720859584200001
ACH-000500,-1.7927981654900003
ACH-000502,-1.9952657908099998
ACH-000503,-1.6292837021200002
ACH-000505,-2.13392624258
ACH-000507,-1.92564466939
ACH-000510,-2.1088393646
ACH-000511,-1.69767278546
ACH-000512,-2.2307943365700003
ACH-000516,-1.87309899538
ACH-000517,-1.90343150444
ACH-000518,-1.92169863351
ACH-000520,-1.84317469005
ACH-000521,-1.8282301623599997
ACH-000522,-1.8761273545400003
ACH-000524,-2.05280032066
ACH-000527,-1.72972057926
ACH-000528,-1.71393389558
ACH-000537,-1.9258000830200002
ACH-000541,-2.19650442286
ACH-000542,-1.85959693409
ACH-000544,-1.80853293467
ACH-000545,-1.7386063723400003
ACH-000547,-1.8414998273199998
ACH-000548,-1.73693935237
ACH-000549,-1.65827629915
ACH-000550,-2.02642307106
ACH-000552,-1.9558652254599997
ACH-000556,-2.0494604204
ACH-000557,-2.21205995541
ACH-000570,-1.81339393162
ACH-000571,-2.22340310619
ACH-000573,-2.1854015045299997
ACH-000576,-1.95314045162
ACH-000580,-1.9405581812000001
ACH-000584,-1.93635910629
ACH-000585,-1.82684665713
ACH-000588,-2.0251688646400003
ACH-000589,-1.8730645066900002
ACH-000591,-1.77381561652
ACH-000593,-1.82228727128
ACH-000600,-1.9758853619
ACH-000601,-1.89385974492
ACH-000604,-2.4391450932
ACH-000605,-1.7853272838799998
ACH-000606,-1.50963696322
ACH-000608,-2.57677511324
ACH-000614,-1.9847414785900002
ACH-000616,-1.9188583641900003
ACH-000618,-1.68690793815
ACH-000619,-1.62749340261
ACH-000620,-1.9553151593400002
ACH-000621,-2.1713651204700004
ACH-000622,-1.9373258828
ACH-000623,-1.85690520979
ACH-000624,-1.8360649557700002
ACH-000627,-1.82868738073
