,KLHL36 (79786)
ACH-000004,0.289551099381
ACH-000007,0.339766627782
ACH-000009,0.311344378302
ACH-000011,0.256977059727
ACH-000012,0.0140745900671
ACH-000013,0.136823950605
ACH-000014,0.102936774536
ACH-000015,0.273219405511
ACH-000017,0.259746431886
ACH-000018,0.15051111744100001
ACH-000019,0.0692780925428
ACH-000021,0.112556612224
ACH-000022,0.22870940206300003
ACH-000025,0.0826228574308
ACH-000028,0.33126396377399997
ACH-000030,0.260384834053
ACH-000035,0.301675454336
ACH-000036,0.0690205005658
ACH-000037,0.0717694866528
ACH-000039,0.20512130718
ACH-000040,0.111005965055
ACH-000041,0.29859368834399996
ACH-000042,0.120035143226
ACH-000045,0.358797364008
ACH-000047,0.030427687105900002
ACH-000052,0.496045227517
ACH-000053,0.20933774630999996
ACH-000054,-0.0123554668652
ACH-000055,0.13182400911599998
ACH-000060,0.389453699871
ACH-000067,0.57075960774
ACH-000070,0.380766882724
ACH-000075,0.050832572187
ACH-000078,0.240472126199
ACH-000082,0.212932469746
ACH-000085,0.0419251489506
ACH-000086,0.062114009981
ACH-000087,0.47586821038099997
ACH-000092,0.128111857781
ACH-000095,0.0318447812757
ACH-000097,0.212749775654
ACH-000098,0.163123831554
ACH-000099,0.253095799642
ACH-000108,0.0824866066528
ACH-000113,0.212870342055
ACH-000115,0.16526331854
ACH-000116,0.38427710119400005
ACH-000118,0.281808672749
ACH-000120,0.0622373182047
ACH-000123,0.101547271077
ACH-000127,0.120346069547
ACH-000128,0.362049681994
ACH-000132,0.29182766378499997
ACH-000133,0.19601772477
ACH-000137,0.342025522333
ACH-000138,0.24047013984700003
ACH-000142,0.0741252586162
ACH-000143,0.20589857604400003
ACH-000146,0.214161649342
ACH-000148,0.12937077102800001
ACH-000150,0.190198347014
ACH-000152,0.15491624135600002
ACH-000153,0.222050800101
ACH-000159,0.278862485515
ACH-000160,0.363647741256
ACH-000163,0.15386222801
ACH-000167,0.12206668165
ACH-000168,0.502601502952
ACH-000169,0.049412081769000006
ACH-000178,0.14592306130000002
ACH-000182,0.26224870056
ACH-000183,0.262591491653
ACH-000188,0.09132029079939999
ACH-000189,0.11339069005499999
ACH-000190,0.26759227006499997
ACH-000198,0.24372189030900002
ACH-000204,-0.04295110463330001
ACH-000206,0.35470065329800005
ACH-000207,0.28472773303000004
ACH-000211,0.206655114665
ACH-000215,0.327243730784
ACH-000221,0.124220616336
ACH-000222,-0.0015325978262099998
ACH-000223,0.325046549308
ACH-000226,0.310333452316
ACH-000227,0.314283366294
ACH-000228,0.347493504993
ACH-000231,0.150319169567
ACH-000232,0.306575209621
ACH-000233,0.134092890825
ACH-000234,0.317999111995
ACH-000235,0.149161304607
ACH-000237,0.351474796923
ACH-000238,0.222063160177
ACH-000243,0.20111498344700002
ACH-000244,-0.33218360820500004
ACH-000246,0.19566705300700002
ACH-000248,0.055268006088
ACH-000250,0.21227134408
ACH-000251,0.316896346135
ACH-000253,0.189375344916
ACH-000255,0.263831689543
ACH-000256,-0.127102958293
ACH-000257,0.6355851400670001
ACH-000258,0.0608881866474
ACH-000259,0.178121777157
ACH-000260,0.16517223912100001
ACH-000261,0.23022318988200002
ACH-000262,0.029128664350099996
ACH-000263,0.568661667372
ACH-000264,0.16143334802
ACH-000265,0.327047818884
ACH-000266,0.0577456773111
ACH-000272,0.16672477814300002
ACH-000273,0.317150962361
ACH-000274,0.19026857148899998
ACH-000277,0.31003396008
ACH-000278,0.221387227029
ACH-000279,0.135188346648
ACH-000280,0.120174952975
ACH-000281,0.028054732355900003
ACH-000288,0.08992292422550001
ACH-000291,0.136390418855
ACH-000293,0.142816948137
ACH-000294,0.14730059445000002
ACH-000295,0.15756720241
ACH-000296,0.375999964934
ACH-000302,0.304891841836
ACH-000304,0.30767708739
ACH-000307,0.302841904209
ACH-000308,0.169345744292
ACH-000310,0.396946132701
ACH-000311,0.0371630624356
ACH-000312,0.16732238756599999
ACH-000315,-0.166372713295
ACH-000316,0.16395690532999999
ACH-000317,0.248653988007
ACH-000318,0.5087991854680001
ACH-000319,0.026762483204900003
ACH-000320,0.24488048696800002
ACH-000322,0.358862773797
ACH-000323,0.0939559261723
ACH-000324,0.0815649224283
ACH-000329,-0.050474586300099995
ACH-000330,0.253895681765
ACH-000331,0.361231800454
ACH-000332,0.35821114026999995
ACH-000334,0.165554595531
ACH-000335,0.41611689210299996
ACH-000336,0.291496603741
ACH-000337,0.37086006580799996
ACH-000339,0.200475001985
ACH-000341,0.260010444736
ACH-000348,0.159651017343
ACH-000350,0.122029773882
ACH-000352,-0.0101453326456
ACH-000356,0.034820760069
ACH-000361,-0.032561743489999996
ACH-000362,0.119802511311
ACH-000363,0.373674262282
ACH-000364,-0.0321670083698
ACH-000365,0.157051352981
ACH-000366,0.259660385044
ACH-000368,0.14484099880100001
ACH-000374,0.421385505548
ACH-000375,0.253127625656
ACH-000376,0.105691218312
ACH-000381,0.14672517887
ACH-000383,0.11336226634600001
ACH-000387,0.042695266311
ACH-000389,0.407880982896
ACH-000390,0.217303656309
ACH-000393,0.190629822968
ACH-000395,0.133537879898
ACH-000397,0.227266384874
ACH-000401,0.111954584285
ACH-000402,0.507186092434
ACH-000403,0.333501939929
ACH-000404,0.188759049171
ACH-000406,0.14869541250600002
ACH-000407,0.141922986932
ACH-000408,0.181409136717
ACH-000410,0.252277557115
ACH-000411,0.30103918908000005
ACH-000414,0.15725857458599998
ACH-000415,0.355831892976
ACH-000416,0.18514852469999998
ACH-000420,0.137096758736
ACH-000421,0.143706133181
ACH-000424,0.370437076633
ACH-000425,0.225574104632
ACH-000426,0.0629903075637
ACH-000427,0.197345129474
ACH-000433,0.116771298528
ACH-000436,0.372319707645
ACH-000444,0.15761980292799999
ACH-000445,0.32882168661
ACH-000448,0.212822043904
ACH-000450,0.011001697046299998
ACH-000452,0.26306577977400003
ACH-000454,0.146423409908
ACH-000458,0.332937165298
ACH-000459,0.458004110831
ACH-000460,0.224505666801
ACH-000461,0.328935910814
ACH-000463,0.054502149487500005
ACH-000464,0.192753010033
ACH-000466,-0.0449472424864
ACH-000467,0.24972779024
ACH-000468,0.165835366117
ACH-000469,0.13834635033
ACH-000470,0.0871120463463
ACH-000471,0.24982088824700002
ACH-000472,0.0671721847475
ACH-000473,0.131466223656
ACH-000475,0.156325054526
ACH-000476,0.225932399345
ACH-000477,0.18509278843
ACH-000480,0.209742864023
ACH-000481,0.18747149309500002
ACH-000483,0.061733294825800006
ACH-000484,0.203056580532
ACH-000485,0.290408845874
ACH-000486,0.236824487101
ACH-000487,0.329413524499
ACH-000488,0.202453721309
ACH-000490,0.260348088237
ACH-000491,-0.0197793715179
ACH-000495,0.279128523648
ACH-000496,0.191931379647
ACH-000499,0.230046868036
ACH-000500,0.0197473934108
ACH-000502,0.0532689765725
ACH-000503,0.31271994417
ACH-000505,0.315438329591
ACH-000507,0.28637765035
ACH-000510,0.377323883086
ACH-000511,0.308338702789
ACH-000512,0.230342703251
ACH-000516,0.016115550545
ACH-000517,0.0802527183564
ACH-000518,0.304465134112
ACH-000520,-0.0948306462798
ACH-000521,-0.008097218904050001
ACH-000522,0.144430119424
ACH-000524,0.138259040223
ACH-000527,0.111370706203
ACH-000528,0.09554656945790001
ACH-000537,0.255356535979
ACH-000541,0.05037073737409999
ACH-000542,0.14652569783299998
ACH-000544,0.17046720187199998
ACH-000545,0.38709933865099994
ACH-000547,0.247777616334
ACH-000548,0.20719137916400002
ACH-000549,0.17134320212200002
ACH-000550,0.19602449234000002
ACH-000552,0.31643431286699997
ACH-000556,0.10180375181
ACH-000557,0.127913707825
ACH-000570,0.22007505626200002
ACH-000571,0.402740951975
ACH-000573,0.273656983325
ACH-000576,0.193916948015
ACH-000580,0.25481624863
ACH-000584,0.165429359115
ACH-000585,0.170486100365
ACH-000588,0.463535668294
ACH-000589,0.226361020047
ACH-000591,0.139037091598
ACH-000593,0.107994692304
ACH-000600,0.23336199913000003
ACH-000601,0.126854186215
ACH-000604,0.08736142816780001
ACH-000605,0.25460692871199997
ACH-000606,0.294444368282
ACH-000608,0.0080077321426
ACH-000614,0.02629027494
ACH-000616,0.233975467024
ACH-000618,0.11760286711899999
ACH-000619,0.240728417014
ACH-000620,0.0816404030653
ACH-000621,0.11858668637499999
ACH-000622,0.129899397962
ACH-000623,0.195175937749
ACH-000624,0.279870953569
ACH-000627,0.19569360537799999
ACH-000630,0.226324683877
ACH-000632,0.25188695255800003
ACH-000633,0.121959039798
ACH-000637,0.238361047445
ACH-000638,0.240286393861
ACH-000646,0.210983844722
ACH-000647,0.155788241529
ACH-000648,0.0327784256382
ACH-000649,0.26568461284
ACH-000651,0.194231781503
ACH-000652,0.005412349297270001
ACH-000653,0.167004124956
ACH-000657,0.223445816725
ACH-000658,0.22786925537900002
ACH-000661,0.21278128435600002
ACH-000662,0.20323774333
ACH-000663,0.152562453807
ACH-000665,0.26929479786
ACH-000671,0.323544726092
ACH-000673,0.19566440758200002
ACH-000676,0.233240747942
ACH-000677,0.199875414114
ACH-000681,0.151394199311
ACH-000682,0.0864527281591
ACH-000683,0.15637709549599998
ACH-000684,0.340045159217
ACH-000688,0.0248042847847
ACH-000693,0.332262490793
ACH-000694,0.211334799276
ACH-000695,-0.24404037262400002
ACH-000696,0.184452660591
ACH-000697,0.252497566525
ACH-000699,0.21222879148600002
ACH-000701,0.00212103139323
ACH-000706,0.29734709093600004
ACH-000711,0.163384626721
ACH-000713,0.144732820158
ACH-000714,0.05790197389980001
ACH-000718,-0.056759090988600006
ACH-000720,-0.0339346225709
ACH-000721,0.23197138195099998
ACH-000724,0.23753078955499998
ACH-000725,0.11486392158299999
ACH-000732,0.44978193954400003
ACH-000734,0.25931851010400003
ACH-000735,0.155705129024
ACH-000736,0.24070186795499998
ACH-000738,0.0905447692218
ACH-000746,0.321984009104
ACH-000747,0.234235581501
ACH-000748,0.140412197233
ACH-000753,0.151788061789
ACH-000756,0.190361123483
ACH-000757,0.230396734403
ACH-000758,0.23386046608000002
ACH-000760,0.209699748885
ACH-000763,0.280319276056
ACH-000764,-0.0091056817386
ACH-000765,0.25250356774
ACH-000766,0.08227665999419999
ACH-000767,0.024470494567400004
ACH-000768,0.293761010724
ACH-000769,0.133555230779
ACH-000770,0.162206972409
ACH-000771,0.130613545073
ACH-000773,0.101104992361
ACH-000776,0.13120540964500002
ACH-000777,0.131112267543
ACH-000778,0.231418881307
ACH-000781,0.15867348210100002
ACH-000782,0.0184708704795
ACH-000783,0.31157048956300004
ACH-000784,0.112836509791
ACH-000785,0.144191961032
ACH-000787,0.12826568558700002
ACH-000788,0.09374872278480001
ACH-000791,0.275484081105
ACH-000792,0.121359746602
ACH-000794,0.19754708366999998
ACH-000796,0.197972012982
ACH-000799,0.402053237559
ACH-000800,0.19506751377700002
ACH-000802,0.178419930907
ACH-000804,0.378311445298
ACH-000805,0.330260672523
ACH-000809,0.286837852126
ACH-000810,0.218556907365
ACH-000811,0.163929619384
ACH-000817,0.36144382354800003
ACH-000819,0.217348983924
ACH-000820,0.450152377776
ACH-000821,0.370775531585
ACH-000822,0.334695081718
ACH-000823,0.23887608215199999
ACH-000824,0.0792311436598
ACH-000827,0.21151644063499997
ACH-000829,0.0149577746364
ACH-000831,0.18564573196800002
ACH-000832,0.41805331944300006
ACH-000833,0.18982853164000002
ACH-000834,0.010348906760899999
ACH-000835,0.229694631268
ACH-000836,0.157297490185
ACH-000837,0.16646511530400002
ACH-000838,0.36731937762500005
ACH-000839,0.112044477647
ACH-000840,-0.0979510474901
ACH-000841,0.21133989156
ACH-000843,0.210134376932
ACH-000846,0.049462273498300006
ACH-000847,0.105846882857
ACH-000848,0.103648911123
ACH-000849,0.243465560087
ACH-000851,0.245790104241
ACH-000855,0.38909870990199996
ACH-000856,0.196732111808
ACH-000858,0.315309675015
ACH-000859,0.212623481644
ACH-000861,0.23920271911200003
ACH-000862,0.24082764697099998
ACH-000865,0.296287408594
ACH-000866,0.239065061451
ACH-000867,0.305586363046
ACH-000869,0.195768201912
ACH-000872,0.28164081695300003
ACH-000873,0.267901779749
ACH-000876,0.12230213109200001
