,RMND5A (64795)
ACH-000004,-0.136998473032
ACH-000007,-0.533835899286
ACH-000009,-0.191251555121
ACH-000011,-0.278537935096
ACH-000012,-0.488912720536
ACH-000013,-0.472966712007
ACH-000014,-0.4895124598100001
ACH-000015,-0.45371965111900003
ACH-000017,-0.205243574549
ACH-000018,-0.667234326384
ACH-000019,-0.30190033871800004
ACH-000021,-0.188107963732
ACH-000022,-0.256219126927
ACH-000025,-0.522229197311
ACH-000028,-0.208134412494
ACH-000030,-0.516871489369
ACH-000035,-0.261120533521
ACH-000036,-0.36088638095
ACH-000037,-1.02251293744
ACH-000039,-0.37037429364
ACH-000040,-0.523247103525
ACH-000041,-0.266178391353
ACH-000042,-0.22096126949099998
ACH-000045,-0.684513333181
ACH-000047,-0.63955637966
ACH-000052,-0.648322765106
ACH-000053,0.059156891235300005
ACH-000054,-0.651937400156
ACH-000055,-0.379771106596
ACH-000060,-0.1844482736
ACH-000067,-0.13808164751399998
ACH-000070,-0.400167497948
ACH-000075,-0.0916807878057
ACH-000078,-0.604362883309
ACH-000082,-0.725371513434
ACH-000085,-0.320974198547
ACH-000086,-0.4956234191100001
ACH-000087,-0.178147287115
ACH-000092,-0.499842455568
ACH-000095,-0.14379480527799998
ACH-000097,-0.344238003415
ACH-000098,-0.36921154872199996
ACH-000099,-0.19119276766899998
ACH-000108,-0.32128546305399996
ACH-000113,-0.7074180388169999
ACH-000115,-0.206382366795
ACH-000116,-0.313994275995
ACH-000118,-0.648423490094
ACH-000120,-0.06887568870239999
ACH-000123,-0.345484070397
ACH-000127,-0.330799873283
ACH-000128,-0.153303167864
ACH-000132,-0.304841870827
ACH-000133,-0.816140191777
ACH-000137,-0.749367939433
ACH-000138,-0.247462981373
ACH-000142,-0.386668129859
ACH-000143,-0.354106777759
ACH-000146,-0.364996011061
ACH-000148,-0.25400560656300003
ACH-000150,-0.20280110610500002
ACH-000152,-0.360423063856
ACH-000153,-0.821737620941
ACH-000159,-0.288026948866
ACH-000160,-0.0942650126145
ACH-000163,-0.490679294425
ACH-000167,-0.36799123974
ACH-000168,-0.518390039868
ACH-000169,-0.14257028951
ACH-000178,-0.158329145936
ACH-000182,-0.18356568092099998
ACH-000183,-0.447772620032
ACH-000188,-0.523822782273
ACH-000189,-0.756458453194
ACH-000190,-0.349590355327
ACH-000198,-0.0715906133188
ACH-000204,-0.286404868701
ACH-000206,-0.399975442142
ACH-000207,-0.9466975111939999
ACH-000211,-0.283258484458
ACH-000215,-0.263555463966
ACH-000221,-0.102888182048
ACH-000222,-0.501487107569
ACH-000223,-0.280979398394
ACH-000226,-0.358771411475
ACH-000227,0.06749784364900001
ACH-000228,-0.632974411702
ACH-000231,-0.428239109133
ACH-000232,-0.23384308935800002
ACH-000233,-0.335405075662
ACH-000234,-0.287175893187
ACH-000235,-0.39032303170500005
ACH-000237,-0.485159077174
ACH-000238,-0.387622032127
ACH-000243,-0.553909759995
ACH-000244,-0.408034781104
ACH-000246,-0.434248969759
ACH-000248,-0.266908267835
ACH-000250,-0.141711989873
ACH-000251,-0.229757210253
