,KDM4C (23081)
ACH-000004,-0.9224348931820001
ACH-000007,-0.06831530404939999
ACH-000009,-0.08259620060489999
ACH-000011,-0.12983275091
ACH-000012,0.054688934066699994
ACH-000013,-0.0066187440987500006
ACH-000014,-0.175481029194
ACH-000015,-0.12092411355699999
ACH-000017,-0.202953087489
ACH-000018,-0.144815088619
ACH-000019,-0.0642381547728
ACH-000021,-0.103750839958
ACH-000022,-0.0435631370208
ACH-000025,0.09855765715880001
ACH-000028,-0.0547216300306
ACH-000030,-0.0338266599938
ACH-000035,0.0418338399159
ACH-000036,-0.00263655224767
ACH-000037,-0.057272743832800004
ACH-000039,-0.021415719128200002
ACH-000040,-0.027916951058099996
ACH-000041,-0.0747411139667
ACH-000042,-0.0478854999769
ACH-000045,0.014380290262899999
ACH-000047,0.000896472956015
ACH-000052,0.218760634763
ACH-000053,-0.210581730298
ACH-000054,-0.0816727145806
ACH-000055,0.026764722176700003
ACH-000060,-0.0408514521426
ACH-000067,0.02214877156
ACH-000070,-0.10236220183700001
ACH-000075,-0.0351891409933
ACH-000078,0.0805859150725
ACH-000082,-0.128570460196
ACH-000085,0.00704886408512
ACH-000086,0.0747667190843
ACH-000087,-0.145403961501
ACH-000092,0.0177490972033
ACH-000095,-0.190803277168
ACH-000097,-0.027614845587800002
ACH-000098,-0.06894073654060001
ACH-000099,-0.0490553967748
ACH-000108,0.249024097568
ACH-000113,-0.222612934377
ACH-000115,-0.10362969628900001
ACH-000116,0.0623513480061
ACH-000118,-0.115066232055
ACH-000120,-0.15812458160499998
ACH-000123,-0.149596145063
ACH-000127,0.0632201772946
ACH-000128,-0.14729198023099999
ACH-000132,0.0197594254727
ACH-000133,-0.0066590003471599995
ACH-000137,0.17988389939
ACH-000138,-0.123143569043
ACH-000142,0.14171977300000002
ACH-000143,0.015181073113
ACH-000146,-0.0148069589386
ACH-000148,-0.0895856837124
ACH-000150,-0.0417650170509
ACH-000152,0.11503346079500001
ACH-000153,-0.20375025707000002
ACH-000159,0.0443405061207
ACH-000160,0.300110557831
ACH-000163,-0.0384872903306
ACH-000167,0.476955067056
ACH-000168,-0.27841358898
