,PUF60 (22827)
ACH-000004,-1.64184825025
ACH-000007,-1.3862950173299997
ACH-000009,-1.64600725019
ACH-000011,-1.8465689952900002
ACH-000012,-1.8620636820200003
ACH-000013,-1.48539108135
ACH-000014,-1.54291693196
ACH-000015,-1.41431012687
ACH-000017,-1.9488085699900002
ACH-000018,-1.54503356769
ACH-000019,-1.80912249443
ACH-000021,-1.61895470268
ACH-000022,-1.67097521455
ACH-000025,-1.3440045392
ACH-000028,-1.4918974621599999
ACH-000030,-1.60178577282
ACH-000035,-1.2703374948100001
ACH-000036,-1.53756825155
ACH-000037,-2.22921086979
ACH-000039,-1.67772282609
ACH-000040,-1.4787849885100002
ACH-000041,-1.47372249412
ACH-000042,-1.55869523685
ACH-000045,-1.4834024869999998
ACH-000047,-1.6873495802
ACH-000052,-1.30028714499
ACH-000053,-1.66854713033
ACH-000054,-1.8565634345700002
ACH-000055,-1.7354780320900003
ACH-000060,-1.6217578752200001
ACH-000067,-1.5563918465
ACH-000070,-1.9424500729499998
ACH-000075,-1.19396889827
ACH-000078,-1.53225344924
ACH-000082,-1.8616253932599998
ACH-000085,-1.9125032897
ACH-000086,-1.70909355652
ACH-000087,-1.3690774335299998
ACH-000092,-1.72877104658
ACH-000095,-1.6713721847799998
ACH-000097,-1.58345457449
ACH-000098,-1.7949634226499998
ACH-000099,-1.72276107118
ACH-000108,-1.5655708650799998
ACH-000113,-1.70022937386
ACH-000115,-2.24294450197
ACH-000116,-1.42615804044
ACH-000118,-1.49573099354
ACH-000120,-1.7791074763900003
ACH-000123,-1.4036903914899999
ACH-000127,-1.7081200138100001
ACH-000128,-1.71442243628
ACH-000132,-1.76819692768
ACH-000133,-1.7933478085900003
ACH-000137,-1.5330523301899999
ACH-000138,-1.71047507808
ACH-000142,-1.6024075644799998
ACH-000143,-1.65203681731
ACH-000146,-1.82494301788
ACH-000148,-1.46179083019
ACH-000150,-1.56462159027
ACH-000152,-1.79582703159
ACH-000153,-1.56938462754
ACH-000159,-1.5949549467500002
ACH-000160,-2.3556792069599997
ACH-000163,-1.67991058787
ACH-000167,-1.8345226220900002
ACH-000168,-1.46910168789
ACH-000169,-1.56392052545
ACH-000178,-1.61182377722
ACH-000182,-1.5992782016
ACH-000183,-1.77947221191
ACH-000188,-1.64667088474
ACH-000189,-1.59370295345
ACH-000190,-1.58045801396
ACH-000198,-1.80500476502
ACH-000204,-1.5717575724500001
ACH-000206,-1.64078073788
ACH-000207,-1.9017270026400004
ACH-000211,-1.7827410817099998
ACH-000215,-1.79532914944
ACH-000221,-1.8057785073599997
ACH-000222,-1.61330940348
ACH-000223,-1.62928649421
ACH-000226,-1.71916208745
ACH-000227,-1.7218551041900003
ACH-000228,-1.6783947357299998
ACH-000231,-1.6853794547999998
ACH-000232,-2.12365888583
ACH-000233,-2.12173876134
ACH-000234,-1.64636066745
ACH-000235,-1.76421528256
ACH-000237,-1.48434331465
ACH-000238,-1.6148102079
ACH-000243,-1.43164734199
ACH-000244,-1.80376301282
ACH-000246,-1.39989131885
ACH-000248,-1.7637653895599996
ACH-000250,-1.6827169746700001
ACH-000251,-1.69831956598
ACH-000253,-1.66785235386
ACH-000255,-1.32385654766
ACH-000256,-2.13486936979
ACH-000257,-1.9431507630000002
ACH-000258,-1.98752164893
ACH-000259,-1.72453521963
ACH-000260,-1.5385661934700001
ACH-000261,-1.66696156943
ACH-000262,-1.8079015527400002
ACH-000263,-1.48126132661
ACH-000264,-1.92158409838
ACH-000265,-1.6358020761399998
ACH-000266,-1.6148869679299998
ACH-000272,-1.81533454972
ACH-000273,-1.7973588891499999
ACH-000274,-1.93295399464
ACH-000277,-1.6405990563600001
ACH-000278,-1.33614514647
ACH-000279,-1.59168630419
ACH-000280,-1.4968424119600001
ACH-000281,-1.5213233423199999
ACH-000288,-1.6932947271799998
ACH-000291,-1.41426246792
ACH-000293,-1.6633872581400002
ACH-000294,-1.8012153889700002
ACH-000295,-1.6981063179299998
ACH-000296,-1.5713308642299997
ACH-000302,-1.79269687176
ACH-000304,-2.0723045719799997
ACH-000307,-1.7036039495
ACH-000308,-1.72571382344
ACH-000310,-1.80669148574
ACH-000311,-1.73762759905
ACH-000312,-1.41017571192
ACH-000315,-1.69729739197
ACH-000316,-1.60098105995
ACH-000317,-1.3093533528899999
ACH-000318,-1.5077916632799997
ACH-000319,-1.4261641077399998
ACH-000320,-1.72786029897
ACH-000322,-1.86053943104
ACH-000323,-1.59673138842
ACH-000324,-1.67703282129
ACH-000329,-1.78403805303
ACH-000330,-1.5760160592899999
ACH-000331,-1.49429159033
ACH-000332,-1.50937064028
ACH-000334,-2.59619754982
ACH-000335,-1.51618528265
ACH-000336,-1.87165930256
ACH-000337,-1.75238097551
ACH-000339,-1.65048781826
ACH-000341,-1.77520755898
ACH-000348,-1.70799905239
ACH-000350,-1.8389044555
ACH-000352,-1.93708945315
ACH-000356,-1.3896764055500002
ACH-000361,-1.82365054729
ACH-000362,-1.4847164580599999
ACH-000363,-1.76527396592
ACH-000364,-1.6444431606099998
ACH-000365,-2.01158215307
ACH-000366,-1.7344122395
