,DNLZ (728489)
ACH-000004,-0.6358743465460001
ACH-000007,-0.475734269385
ACH-000009,-0.6918175866859999
ACH-000011,-0.498741344446
ACH-000012,-0.51810040817
ACH-000013,-0.599509449945
ACH-000014,-0.8983435940729999
ACH-000015,-0.6426984257980001
ACH-000017,-0.463655838729
ACH-000018,-0.76255444213
ACH-000019,-0.03813637312919999
ACH-000021,-0.46525915820299996
ACH-000022,-0.762170786055
ACH-000025,-0.5980297980870001
ACH-000028,-0.419137235219
ACH-000030,-0.639505704157
ACH-000035,-0.3887853986
ACH-000036,-0.46192065128999993
ACH-000037,-0.6084361826560001
ACH-000039,-0.611467829649
ACH-000040,-0.762802153259
ACH-000041,-0.688473697866
ACH-000042,-0.333909441944
ACH-000045,-0.656431732611
ACH-000047,-0.539759013003
ACH-000052,-0.696746596631
ACH-000053,-0.315307801526
ACH-000054,-0.321304164981
ACH-000055,-0.20200593337
ACH-000060,-0.504143220805
ACH-000067,-0.33555741554499996
ACH-000070,-0.125806706744
ACH-000075,-0.536400447943
ACH-000078,-0.313984824203
ACH-000082,-0.3169159829
ACH-000085,-0.219721521423
ACH-000086,-0.635830516584
ACH-000087,-0.275604349478
ACH-000092,-0.311570929162
ACH-000095,-0.615198829441
ACH-000097,-0.272160302432
ACH-000098,-0.56206648544
ACH-000099,-0.314858445924
ACH-000108,-0.460927676105
ACH-000113,-0.519948279138
ACH-000115,-0.41242477411899997
ACH-000116,-0.225968250026
ACH-000118,-0.37980441009099997
ACH-000120,-0.40445820339599997
ACH-000123,-0.43200472842500004
ACH-000127,-0.623308934795
ACH-000128,-0.36027358227300005
ACH-000132,-0.21851044842300002
ACH-000133,-0.689766232447
ACH-000137,-0.534581610799
ACH-000138,-0.5200880740339999
ACH-000142,-1.0916155864700001
ACH-000143,-0.371600806264
ACH-000146,-0.338956947777
ACH-000148,-0.896638623419
ACH-000150,-0.466899860505
ACH-000152,-0.544293564543
ACH-000153,-0.38363635798900003
ACH-000159,-0.49635394738899996
ACH-000160,-0.55436616767
ACH-000163,-0.6536147151789999
ACH-000167,-0.427589581191
ACH-000168,-0.41681707833000003
ACH-000169,-0.604043922343
ACH-000178,-0.299127077354
ACH-000182,-0.314658052599
ACH-000183,-0.644968095239
ACH-000188,-0.5446793506000001
ACH-000189,-0.818094157079
ACH-000190,-0.9252891345440001
ACH-000198,-0.46289724455700004
ACH-000204,-0.822594043231
ACH-000206,-0.861353878865
ACH-000207,-0.959843163526
ACH-000211,-0.294719101727
ACH-000215,-0.801803913829
ACH-000221,-0.585550322742
ACH-000222,-0.29545534045899996
ACH-000223,-0.262558755539
ACH-000226,-0.6191792594759999
ACH-000227,-0.261824056309
ACH-000228,-0.649946744511
ACH-000231,-0.6329741240860001
ACH-000232,-0.54052028555
ACH-000233,-0.43047901891
ACH-000234,-0.561859946379
ACH-000235,-0.524305194713
ACH-000237,-0.447354354001
ACH-000238,-0.814759676832
ACH-000243,-0.545919144732
ACH-000244,-0.404382767921
ACH-000246,-0.45420062380099996
ACH-000248,-0.6914383065109999
ACH-000250,-0.29669595285100003
ACH-000251,-0.581470185151
ACH-000253,-0.168979944732
ACH-000255,-0.7260933726659999
ACH-000256,-0.625262879289
ACH-000257,-0.41394221297899997
ACH-000258,-0.492332969652
ACH-000259,-0.453475861388
ACH-000260,-0.578515910492
ACH-000261,-0.136101624329
ACH-000262,-0.47365732226199997
ACH-000263,-0.219278142312
ACH-000264,-0.276864011989
ACH-000265,-0.54816764952
ACH-000266,-0.424207165997
ACH-000272,-0.110771098073
ACH-000273,-0.485073541778
ACH-000274,-0.34010499853299997
ACH-000277,-0.381411298947
ACH-000278,-0.182281013929
ACH-000279,-0.6407813041570001
ACH-000280,-0.531178168652
ACH-000281,-0.583928867995
ACH-000288,-0.554607378226
ACH-000291,-0.309841011047
ACH-000293,-0.22604849922200002
ACH-000294,-1.21671420374
ACH-000295,-0.5574858964989999
ACH-000296,-0.7184999033439999
ACH-000302,-0.613984608135
ACH-000304,-0.426503056214
ACH-000307,-0.7628064937919999
ACH-000308,-0.21788504943599998
ACH-000310,-0.328301266389
ACH-000311,-0.379664481297
ACH-000312,-0.304417963427
ACH-000315,-0.509268511645
ACH-000316,-0.740147220856
ACH-000317,-0.535793584287
ACH-000318,-0.8990205296860001
ACH-000319,-0.394275866803
ACH-000320,-0.49125538275799996
ACH-000322,-0.575708494077
ACH-000323,-0.636872817632
ACH-000324,-0.5411465239769999
ACH-000329,-0.62545374058
ACH-000330,-0.603580117991
ACH-000331,-0.50043481433
ACH-000332,-0.334842613982
ACH-000334,-0.657016473279
ACH-000335,-0.740290918988
ACH-000336,-0.427829424474
ACH-000337,-0.551120535855
ACH-000339,-0.288880657235
ACH-000341,-0.560593108668
ACH-000348,-0.676960654851
ACH-000350,-0.0487007558796
ACH-000352,-0.09391225165580001
ACH-000356,-0.562397131539
ACH-000361,-0.45456599501
ACH-000362,-0.365465600019
ACH-000363,-0.281864048212
ACH-000364,-0.604551273721
ACH-000365,-0.6976827166390001
ACH-000366,-0.7308579590090001
ACH-000368,-0.808074177854
ACH-000374,-0.559728662835
ACH-000375,-0.593474046652
ACH-000376,-0.5687047793
ACH-000381,-0.384539839421
ACH-000383,-0.559687025377
ACH-000387,-0.47692663924999995
ACH-000389,-0.595369555305
ACH-000390,-0.29206157268800004
ACH-000393,-0.274211907981
ACH-000395,-0.216422985638
ACH-000397,-0.139420976154
ACH-000401,-0.386909173222
ACH-000402,-0.6615509806600001
ACH-000403,-0.314349713441
ACH-000404,-0.403651496188
ACH-000406,-0.734490610229
ACH-000407,-0.47719316211499996
ACH-000408,-0.76854225285
ACH-000410,-0.359010610542
ACH-000411,-0.27333281829399997
ACH-000414,-0.194158875426
ACH-000415,-0.6064200953459999
ACH-000416,-0.313437856464
ACH-000420,-0.30366118160100003
ACH-000421,-0.322275849494
ACH-000424,-0.512206264379
ACH-000425,-0.260944536173
