,GIGYF1 (64599)
ACH-000004,-0.350919970157
ACH-000007,-0.39944140752499996
ACH-000009,-0.317729125998
ACH-000011,-0.219348543638
ACH-000012,-0.21740700914099997
ACH-000013,-0.132968301116
ACH-000014,-0.376980375075
ACH-000015,-0.271526795756
ACH-000017,-0.19089326127999998
ACH-000018,-0.436396163638
ACH-000019,-0.145016541311
ACH-000021,-0.504850238041
ACH-000022,-0.31207679095199997
ACH-000025,-0.24271081591600002
ACH-000028,-0.0412133348678
ACH-000030,-0.145093723572
ACH-000035,-0.40876962278000006
ACH-000036,-0.6266925946540001
ACH-000037,-0.263264996911
ACH-000039,-0.405196078147
ACH-000040,-0.349361406679
ACH-000041,-0.10334211270400001
ACH-000042,-0.388837104016
ACH-000045,-0.274032285029
ACH-000047,-0.311504097311
ACH-000052,-0.20794839296599998
ACH-000053,-0.344347653649
ACH-000054,-0.312138348074
ACH-000055,-0.0408065322034
ACH-000060,-0.2213525988
ACH-000067,-0.431285320234
ACH-000070,-0.26303375047600003
ACH-000075,-0.39451186779200004
ACH-000078,-0.15219097755799998
ACH-000082,-0.579380475338
ACH-000085,-0.41071881959299994
ACH-000086,0.0005360652979519999
ACH-000087,-0.15471397275
ACH-000092,-0.254910797202
ACH-000095,-0.329049976169
ACH-000097,-0.09181909298720001
ACH-000098,-0.532683927405
ACH-000099,-0.27010007664
ACH-000108,-0.207291027987
ACH-000113,-0.304449233389
ACH-000115,0.220794522569
ACH-000116,-0.19920784211
ACH-000118,-0.16395519476
ACH-000120,-0.180151258271
ACH-000123,-0.006924729087479999
ACH-000127,-0.213072836009
ACH-000128,-0.228879363413
ACH-000132,-0.194206111479
ACH-000133,-0.25508524341600003
ACH-000137,-0.283484823878
ACH-000138,-0.145508194482
ACH-000142,-0.37444538797700005
ACH-000143,-0.0204262399465
ACH-000146,-0.410664687162
ACH-000148,-0.238062154567
ACH-000150,-0.343554908053
ACH-000152,-0.49151546704300003
ACH-000153,-0.011615836625700001
ACH-000159,-0.40231265456500004
ACH-000160,-0.380200355345
ACH-000163,-0.307888645382
ACH-000167,-0.41294135106299995
