,SPOCD1 (90853)
ACH-000004,-0.214086260559
ACH-000007,-0.491352323005
ACH-000009,-0.20708566945999998
ACH-000011,-0.23747158871399998
ACH-000012,-0.34557005863799994
ACH-000013,-0.34853307688100005
ACH-000014,-0.255690523174
ACH-000015,-0.30536975022
ACH-000017,-0.20468799225200002
ACH-000018,-0.22294834863200003
ACH-000019,-0.15183592579299998
ACH-000021,-0.342443017332
ACH-000022,-0.289016419881
ACH-000025,-0.387000388307
ACH-000028,-0.151490075112
ACH-000030,-0.36953824739600005
ACH-000035,-0.39909662999799994
ACH-000036,-0.18180941204
ACH-000037,-0.209492316875
ACH-000039,-0.264020835358
ACH-000040,-0.49793705291999996
ACH-000041,-0.43045405294
ACH-000042,-0.28308603660799997
ACH-000045,-0.324848193408
ACH-000047,-0.253622318092
ACH-000052,-0.17511403769099998
ACH-000053,-0.17976537480500002
ACH-000054,-0.248103497588
ACH-000055,-0.14547403560900002
ACH-000060,-0.447885356716
ACH-000067,-0.156371438503
ACH-000070,-0.302478864196
ACH-000075,-0.22068340898699998
ACH-000078,0.019389047654900002
ACH-000082,-0.172690256462
ACH-000085,-0.273591074729
ACH-000086,-0.378749245572
ACH-000087,-0.420495422728
ACH-000092,-0.478475697909
ACH-000095,-0.09424450911
ACH-000097,-0.280629306819
ACH-000098,-0.289510502032
ACH-000099,-0.107499105594
ACH-000108,-0.5400507505009999
ACH-000113,-0.189014880087
ACH-000115,-0.15588898219900002
ACH-000116,-0.05236161462259999
ACH-000118,-0.224218898019
ACH-000120,-0.319661546277
ACH-000123,-0.23384334659699998
ACH-000127,-0.21182282805799998
ACH-000128,-0.310312472557
ACH-000132,-0.44696298819499997
ACH-000133,-0.48678388010799994
ACH-000137,-0.58395114233
ACH-000138,-0.388049468851
ACH-000142,-0.421967554709
ACH-000143,0.023942229630400002
ACH-000146,-0.196693866686
ACH-000148,-0.333894065445
ACH-000150,-0.465087646622
ACH-000152,-0.40152692923
ACH-000153,-0.325324307271
ACH-000159,-0.383194413457
ACH-000160,-0.232119284551
ACH-000163,-0.49572351751599997
ACH-000167,-0.26372194882399996
ACH-000168,-0.104153070416
ACH-000169,-0.35871165415399997
ACH-000178,-0.369772979836
ACH-000182,-0.361296109414
ACH-000183,-0.242477350032
ACH-000188,-0.39716656587800003
ACH-000189,-0.198551135884
ACH-000190,-0.299362699926
ACH-000198,-0.246302408595
ACH-000204,-0.330873776685
ACH-000206,-0.30333737693
ACH-000207,-0.0222475075725
ACH-000211,-0.21049434068300002
ACH-000215,-0.437544226598
ACH-000221,-0.270508035724
ACH-000222,-0.332181884635
ACH-000223,-0.385961327021
ACH-000226,-0.200989705086
ACH-000227,-0.256004343724
ACH-000228,-0.11174140465999999
ACH-000231,-0.33605390557
ACH-000232,-0.224999319508
ACH-000233,-0.20432122014600002
ACH-000234,-0.230671909573
ACH-000235,-0.255598592057
ACH-000237,-0.20690127482700002
ACH-000238,-0.225543940246
ACH-000243,-0.26992629505
ACH-000244,-0.470600525396
ACH-000246,-0.219979541636
ACH-000248,-0.251631317536
ACH-000250,-0.260459408635
ACH-000251,-0.21406946944699998
ACH-000253,-0.31181410738299997
ACH-000255,-0.351385076826
ACH-000256,-0.226818910911
ACH-000257,-0.47711825533200003
ACH-000258,-0.568000178094
ACH-000259,-0.270435603235
ACH-000260,-0.306572143721
ACH-000261,-0.351852676294
ACH-000262,-0.339379905645
ACH-000263,-0.334427866151
ACH-000264,-0.276817510968
ACH-000265,-0.242946330472
ACH-000266,-0.220434202258
ACH-000272,-0.24377202503800002
ACH-000273,-0.180112888527
ACH-000274,-0.37419398385799996
ACH-000277,-0.48390131422300003
ACH-000278,-0.313983857824
ACH-000279,-0.41972632909999996
ACH-000280,-0.177194561829
ACH-000281,-0.210176371576
ACH-000288,-0.44829351506000004
ACH-000291,-0.190637534018
ACH-000293,-0.403895875331
ACH-000294,-0.289329962186
ACH-000295,-0.112094683903
ACH-000296,-0.524531295196
ACH-000302,-0.331404450555
ACH-000304,-0.288315439089
ACH-000307,-0.24433490535
ACH-000308,-0.19068118490299998
ACH-000310,-0.164195402284
ACH-000311,-0.35751819882799996
ACH-000312,-0.415312258529
ACH-000315,-0.0357058686084
ACH-000316,-0.362239539102
ACH-000317,-0.306009369496
ACH-000318,-0.290418760416
ACH-000319,-0.408922804987
ACH-000320,-0.298115760433
ACH-000322,-0.40736208275700003
ACH-000323,-0.540164218328
ACH-000324,-0.269264615413
ACH-000329,-0.298597376126
ACH-000330,-0.162255060887
ACH-000331,-0.271947077922
ACH-000332,-0.330542395717
ACH-000334,-0.310382765011
ACH-000335,-0.358793296743
ACH-000336,-0.365853718488
ACH-000337,-0.39416160722800003
ACH-000339,-0.259749505991
ACH-000341,-0.24003810765900002
ACH-000348,-0.457594671765
ACH-000350,-0.11746445474199999
ACH-000352,-0.34463916183
ACH-000356,-0.416457346989
ACH-000361,-0.42576047885799995
ACH-000362,-0.228774992114
ACH-000363,-0.35200629191200006
ACH-000364,-0.300761197513
ACH-000365,-0.310099335557
ACH-000366,-0.39122547918899997
ACH-000368,-0.34585464786700004
ACH-000374,-0.382605514411
ACH-000375,-0.34592133635300004
ACH-000376,-0.287548791171
ACH-000381,-0.521988846071
ACH-000383,-0.346191621441
ACH-000387,-0.306798274822
ACH-000389,-0.349065012306
ACH-000390,-0.21233143512000002
ACH-000393,-0.312552132212
ACH-000395,-0.267675026848
ACH-000397,-0.379148211614
ACH-000401,-0.615760101462
ACH-000402,-0.544378644198
ACH-000403,-0.302085435843
ACH-000404,-0.49946877582599997
ACH-000406,-0.271910024995
ACH-000407,-0.291194605994
ACH-000408,-0.0800794804761
ACH-000410,-0.388144226683
ACH-000411,-0.394850099789
ACH-000414,-0.24711754648899997
ACH-000415,-0.35486985293799994
ACH-000416,-0.356260254526
ACH-000420,-0.151667008824
ACH-000421,-0.348255972413
ACH-000424,-0.629650379716
ACH-000425,-0.266511130387
ACH-000426,-0.224974796842
ACH-000427,-0.18988992655
ACH-000433,-0.393982900858
ACH-000436,-0.233231104625
ACH-000444,-0.213500493702
ACH-000445,-0.456643526664
ACH-000448,-0.336906524815
ACH-000450,-0.154112586705
ACH-000452,-0.267126068136
ACH-000454,-0.249155670806
ACH-000458,-0.400489870546
ACH-000459,-0.318849233718
ACH-000460,-0.161749471489
ACH-000461,-0.395811792616
ACH-000463,-0.30667138540600003
ACH-000464,-0.268429559793
ACH-000466,-0.331323274001
ACH-000467,-0.204796100618
ACH-000468,-0.475522760346
ACH-000469,-0.33556396617600004
ACH-000470,-0.190394701373
ACH-000471,-0.160947959146
ACH-000472,-0.23995081739799998
ACH-000473,-0.41624609167599996
ACH-000475,-0.292008461231
ACH-000476,-0.433407805485
ACH-000477,-0.05278780416830001
ACH-000480,-0.180228771466
ACH-000481,-0.41181846619999996
ACH-000483,-0.0740839999528
ACH-000484,-0.281502624014
ACH-000485,-0.262660276792
ACH-000486,-0.172520157761
ACH-000487,-0.422825968677
ACH-000488,-0.429951047558
ACH-000490,-0.377052436056
ACH-000491,-0.259824886987
ACH-000495,-0.43445138593800003
ACH-000496,-0.323877817977
ACH-000499,-0.322707703845
ACH-000500,0.106279513928
ACH-000502,-0.279490570136
ACH-000503,-0.695101588222
ACH-000505,-0.25086984388300004
ACH-000507,-0.533732991783
ACH-000510,-0.314067018116
ACH-000511,-0.288546473837
ACH-000512,-0.631780730484
ACH-000516,-0.27606979238400003
ACH-000517,-0.197650567427
ACH-000518,-0.453975263518
ACH-000520,-0.40156312040700004
ACH-000521,-0.178674472989
ACH-000522,-0.367870333964
ACH-000524,-0.227228972594
ACH-000527,-0.229976858278
ACH-000528,-0.36165621929700004
ACH-000537,-0.252469022194
ACH-000541,-0.8438855621760001
ACH-000542,-0.18867191723
ACH-000544,-0.29333026187399996
ACH-000545,-0.38382837485699994
ACH-000547,0.0915496148672
ACH-000548,-0.39854698057599997
ACH-000549,-0.404219086963
ACH-000550,-0.524560953196
ACH-000552,-0.22929204055799998
ACH-000556,-0.381982611423
ACH-000557,-0.23944253810600002
ACH-000570,-0.397839525651
ACH-000571,-0.08044793105760001
ACH-000573,-0.395935884679
ACH-000576,-0.36374911064099996
ACH-000580,-0.035915730594599994
ACH-000584,-0.19651124413499999
ACH-000585,-0.33874034049
ACH-000588,-0.231992901424
ACH-000589,-0.33401813232
ACH-000591,-0.343708011536
ACH-000593,-0.46835098334499997
ACH-000600,-0.527443537518
ACH-000601,-0.28889410345100003
ACH-000604,-0.42078446238399997
ACH-000605,-0.39043478649499996
ACH-000606,-0.287986088814
ACH-000608,-0.307792130826
ACH-000614,-0.419753985631
ACH-000616,-0.105264692819
ACH-000618,-0.418791814443
ACH-000619,-0.286141122129
ACH-000620,-0.364835706152
ACH-000621,-0.48711500024300003
ACH-000622,-0.21897428232500002
ACH-000623,-0.261492680476
ACH-000624,-0.349745845133
ACH-000627,-0.455075086056
ACH-000630,-0.44878337198299995
ACH-000632,-0.257146708078
ACH-000633,-0.257678206484
ACH-000637,-0.296538297475
ACH-000638,-0.297342795124
ACH-000646,-0.061764807219900006
ACH-000647,-0.22964091587299998
ACH-000648,-0.357553241237
ACH-000649,-0.373441945089
ACH-000651,-0.368277888284
ACH-000652,-0.488201727857
ACH-000653,-0.324850759763
ACH-000657,-0.255236212061
ACH-000658,-0.18176098248199998
ACH-000661,-0.274737379055
ACH-000662,-0.260808705634
ACH-000663,-0.162812457721
ACH-000665,-0.29930487742
ACH-000671,-0.289289216696
ACH-000673,-0.326613705226
ACH-000676,-0.348516908481
ACH-000677,-0.168571277975
ACH-000681,-0.24440811716699998
ACH-000682,-0.31484301306699997
ACH-000683,-0.42643140108000005
ACH-000684,-0.42413340534599997
ACH-000688,-0.521424337623
ACH-000693,-0.271797049155
ACH-000694,-0.251009245801
ACH-000695,-0.625550117504
ACH-000696,-0.297102992692
ACH-000697,-0.591052712275
ACH-000699,-0.37794528961900004
ACH-000701,-0.457792507307
ACH-000706,-0.141437899983
ACH-000711,-0.37720257070600005
ACH-000713,-0.335532355881
ACH-000714,-0.34273657084200004
ACH-000718,-0.35420996420699996
ACH-000720,-0.42949220172499997
ACH-000721,-0.30364411962
ACH-000724,-0.322742856267
ACH-000725,-0.344304577675
ACH-000732,-0.456330562509
ACH-000734,-0.38578812877499996
ACH-000735,-0.383950036455
ACH-000736,-0.260867339419
ACH-000738,-0.119542467161
ACH-000746,-0.286782187402
ACH-000747,-0.248475933024
ACH-000748,-0.305922373559
ACH-000753,-0.346359853969
ACH-000756,-0.0957884945216
ACH-000757,-0.45806459655299997
ACH-000758,-0.424172556298
ACH-000760,-0.425783492779
ACH-000763,-0.304984713671
ACH-000764,-0.202423640904
ACH-000765,-0.402890265177
ACH-000766,-0.183569634511
ACH-000767,-0.41173578524000004
ACH-000768,-0.293115904488
ACH-000769,-0.353728953024
ACH-000770,-0.334269796179
ACH-000771,-0.440860076965
ACH-000773,-0.00410132365861
ACH-000776,-0.215220161032
ACH-000777,-0.22918402828499998
ACH-000778,-0.186349341957
ACH-000781,-0.221790362863
ACH-000782,-0.27309322621599996
ACH-000783,-0.31719027620900003
ACH-000784,-0.139940138589
ACH-000785,-0.18639577062399998
ACH-000787,-0.301236923218
ACH-000788,-0.298827944911
ACH-000791,-0.335231468898
ACH-000792,-0.16183746865499998
ACH-000794,-0.384605025859
ACH-000796,-0.130441114478
ACH-000799,-0.40249058235600005
ACH-000800,-0.21138244904599998
ACH-000802,-0.33727288420400003
ACH-000804,-0.039961246572199995
ACH-000805,-0.395110559455
ACH-000809,-0.204096691371
ACH-000810,-0.608931030868
ACH-000811,-0.40665652948200004
ACH-000817,-0.290624324257
ACH-000819,-0.232112066157
ACH-000820,-0.470611278115
ACH-000821,-0.35719931212899997
