,CD3EAP (10849)
ACH-000004,-0.500093750373
ACH-000007,-0.39554522761
ACH-000009,-0.547959777627
ACH-000011,-0.6212972416529999
ACH-000012,-0.534261221579
ACH-000013,-0.616022381845
ACH-000014,-0.080011797937
ACH-000015,-0.819140503977
ACH-000017,-0.0986921464181
ACH-000018,-0.714758251902
ACH-000019,-0.503558364347
ACH-000021,-0.50138706382
ACH-000022,-0.6807331721050001
ACH-000025,-0.48106334251000005
ACH-000028,-0.431545508371
ACH-000030,-0.43877473581999993
ACH-000035,-0.504112653606
ACH-000036,-0.49807898118199995
ACH-000037,-0.568539769443
ACH-000039,-0.282337670333
ACH-000040,-0.424688596387
ACH-000041,-0.38783532621399996
ACH-000042,-0.41579391708
ACH-000045,-0.290742003996
ACH-000047,-0.246818011336
ACH-000052,-0.475020695484
ACH-000053,-0.700492944435
ACH-000054,-0.40570394840999996
ACH-000055,-0.614824028814
ACH-000060,-0.480470754454
ACH-000067,-0.77168124934
ACH-000070,-0.591638342232
ACH-000075,-0.316131673399
ACH-000078,-0.669643388534
ACH-000082,-0.319460362027
ACH-000085,-0.08731476248369999
ACH-000086,-0.637310609644
ACH-000087,-0.486320144664
ACH-000092,-0.7960679634960001
ACH-000095,-0.7016553145479999
ACH-000097,-0.355707070806
ACH-000098,-0.519824679294
ACH-000099,-0.47405022601700003
ACH-000108,-0.45579107308300004
ACH-000113,-0.44628344974100004
ACH-000115,-0.408133833803
ACH-000116,-0.270699802425
ACH-000118,-0.655460415496
ACH-000120,-0.497630432649
ACH-000123,-0.7751051037019999
ACH-000127,-0.44102080171499997
ACH-000128,-0.594704957277
ACH-000132,-0.472566488284
ACH-000133,-0.646594914943
ACH-000137,-0.504349698656
ACH-000138,-0.512965136606
ACH-000142,-0.5336774898100001
ACH-000143,-0.281067189532
ACH-000146,-0.36064553146899997
ACH-000148,-0.39803614585600006
ACH-000150,-0.7345753220100001
ACH-000152,-0.492864144005
ACH-000153,-1.03800414287
ACH-000159,-0.495996662176
ACH-000160,-0.562478746231
ACH-000163,-0.527539744236
ACH-000167,-0.172614887744
ACH-000168,-0.471807622651
ACH-000169,-0.549479073819
ACH-000178,-0.5360066994120001
ACH-000182,-0.437575514264
ACH-000183,-0.45340956404700006
ACH-000188,-0.576669019038
ACH-000189,-0.689546899419
ACH-000190,-0.521061243934
ACH-000198,-0.355978530171
ACH-000204,-0.362589321079
ACH-000206,-0.39019973552599996
ACH-000207,-0.739217495327
ACH-000211,-0.366615946632
ACH-000215,-0.6641786636029999
ACH-000221,-0.646336811902
ACH-000222,-0.384946661671
ACH-000223,-0.35138737529200004
ACH-000226,-0.708250554747
ACH-000227,-0.36973760387599997
ACH-000228,-0.6518464724149999
ACH-000231,-0.446193945012
ACH-000232,-0.4957378312100001
ACH-000233,-0.5147008740169999
ACH-000234,-0.36669226805699995
ACH-000235,-0.447479107944
ACH-000237,-0.534356579883
ACH-000238,-0.40646324899499997
ACH-000243,-0.623245910467
ACH-000244,-0.647024789865
ACH-000246,-0.5089363695100001
ACH-000248,-0.11786084529799999
ACH-000250,-0.557448354124
ACH-000251,-0.578316147351
ACH-000253,-0.39154368327699995
ACH-000255,-0.69995326169
ACH-000256,-0.529857828112
ACH-000257,-0.307288525122
ACH-000258,-0.368032121634
ACH-000259,-0.36840161382299996
ACH-000260,-0.17296424250999998
ACH-000261,-0.507735046329
ACH-000262,-0.671527271021
ACH-000263,-0.7713820060809999
ACH-000264,-0.355218908411
ACH-000265,-0.6821183021160001
ACH-000266,-0.716711390563
ACH-000272,-0.47514242024899994
ACH-000273,-0.357193161025
ACH-000274,-0.397484865101
ACH-000277,-0.19799029219099998
ACH-000278,-0.591832237116
ACH-000279,-0.377063961258
ACH-000280,-0.5203504165030001
ACH-000281,-0.452717907338
ACH-000288,-0.44673617632
ACH-000291,-0.37217925457199996
ACH-000293,-0.620386164687
ACH-000294,-0.8173208944399999
ACH-000295,-0.31781178791700004
ACH-000296,-0.709902348118
ACH-000302,-0.422082329222
ACH-000304,-0.314218609256
ACH-000307,-0.37935672268299997
ACH-000308,-0.541107577245
ACH-000310,-0.521919860858
ACH-000311,-0.40617428287699997
ACH-000312,-0.47144135170199997
