,TRNAU1AP (54952)
ACH-000004,-0.585124766712
ACH-000007,-0.242674878211
ACH-000009,-0.8051196787279999
ACH-000011,-0.987076433765
ACH-000012,-0.377651924162
ACH-000013,-0.690702820891
ACH-000014,-0.363500044004
ACH-000015,-0.744709889725
ACH-000017,-0.365826321708
ACH-000018,-0.270292336595
ACH-000019,-0.43138490643399996
ACH-000021,-0.380541915478
ACH-000022,-0.36786717902800004
ACH-000025,-0.166766887019
ACH-000028,-0.331746331138
ACH-000030,-0.5423111501110001
ACH-000035,-0.313263642903
ACH-000036,-0.0257199495942
ACH-000037,-0.660858240371
ACH-000039,-0.43299163363999993
ACH-000040,-0.650645148658
ACH-000041,0.17321435501600002
ACH-000042,-0.930769922813
ACH-000045,-0.35142586195000003
ACH-000047,-0.144553280889
ACH-000052,-0.429722064038
ACH-000053,-0.49300653416900003
ACH-000054,-0.193866467767
ACH-000055,-0.470165361542
ACH-000060,-0.61314871517
ACH-000067,-0.621017426477
ACH-000070,-0.829450942099
ACH-000075,-0.18712198260000001
ACH-000078,-0.141901583629
ACH-000082,-0.561270651984
ACH-000085,-0.526229128118
ACH-000086,-0.144645562525
ACH-000087,-0.309482526399
ACH-000092,-0.703152632498
ACH-000095,-0.5158271212969999
ACH-000097,-0.441998684494
ACH-000098,-0.45364010133500005
ACH-000099,-0.599656674423
ACH-000108,-0.379822682503
ACH-000113,-0.5842802052939999
ACH-000115,-0.639680628879
ACH-000116,-0.33851748716799995
ACH-000118,-0.18695360494600002
ACH-000120,-0.0861273722345
ACH-000123,-0.467910117517
ACH-000127,-0.5006079951669999
ACH-000128,-0.44344257277500004
ACH-000132,-0.535104887873
ACH-000133,-0.570586265682
ACH-000137,-0.585262092512
ACH-000138,-0.643425070474
ACH-000142,-0.47353174168300005
ACH-000143,-0.430561455292
ACH-000146,-0.517676447121
ACH-000148,-0.539258308711
ACH-000150,-0.394895638563
ACH-000152,-0.130192781245
ACH-000153,-0.22867988078499998
ACH-000159,-0.103002734389
ACH-000160,-0.932965465284
ACH-000163,-0.396271644553
ACH-000167,-0.560814314577
ACH-000168,-0.6941442364839999
ACH-000169,-0.49353927037600004
ACH-000178,-0.289255058078
ACH-000182,-0.828375507325
ACH-000183,-0.502219942825
ACH-000188,-0.611538021299
