,FRG2C (100288801)
ACH-000004,-0.08762918393310001
ACH-000007,-0.672119859861
ACH-000009,-0.47789567268
ACH-000011,-0.67429708546
ACH-000012,-0.590541874755
ACH-000013,-0.0979010696888
ACH-000014,-0.500398747496
ACH-000015,-0.44309583135700004
ACH-000017,-0.457175828147
ACH-000018,-0.05297505513669999
ACH-000019,-0.697908828911
ACH-000021,-0.326090381912
ACH-000022,-0.26842262104200004
ACH-000025,-0.143286510717
ACH-000028,-0.599947790604
ACH-000030,-0.409968326994
ACH-000035,-0.42565975354999996
ACH-000036,-0.4107397926
ACH-000037,-0.279010955028
ACH-000039,-0.601322077092
ACH-000040,-0.20238408618
ACH-000041,-0.313061508019
ACH-000042,-0.39456419086800004
ACH-000045,-0.077413361946
ACH-000047,-0.38686463708999996
ACH-000052,-0.42746109199
ACH-000053,-0.37960728359800006
ACH-000054,-0.307493197536
ACH-000055,-0.44938543714699997
ACH-000060,-0.202198795914
ACH-000067,-0.601600424162
ACH-000070,-0.197367722813
ACH-000075,-0.478128255352
ACH-000078,-0.6575970992100001
ACH-000082,-0.505261959632
ACH-000085,-0.15496413237
ACH-000086,-0.292278662242
ACH-000087,-0.25414186275199996
ACH-000092,-0.5005304794609999
ACH-000095,-0.44852537610200005
ACH-000097,-0.681892143575
ACH-000098,-0.125544538314
ACH-000099,-0.36486046124899996
ACH-000108,-0.237114752838
ACH-000113,-0.16981147235999997
ACH-000115,-0.0980846884418
ACH-000116,-0.281924005874
ACH-000118,-0.30014148458900003
ACH-000120,-0.281941355781
ACH-000123,-0.5205278163170001
ACH-000127,-0.36044145826800006
ACH-000128,-0.134192434783
ACH-000132,-0.0657787555494
ACH-000133,-0.243674605897
ACH-000137,-0.364960422764
ACH-000138,-0.325624995502
ACH-000142,-0.08226673283810002
ACH-000143,-0.358570656914
ACH-000146,-0.438206211202
ACH-000148,-0.270495549315
ACH-000150,-0.567005779568
ACH-000152,-0.310774158914
ACH-000153,-0.639294899021
ACH-000159,-0.36057567487400005
ACH-000160,0.0178207344232
ACH-000163,-0.364418379258
ACH-000167,-0.0758891154665
ACH-000168,-0.278562820882
ACH-000169,-0.269682342634
ACH-000178,-0.49285424638
ACH-000182,-0.273381833295
ACH-000183,-0.401717562781
ACH-000188,-0.35652440769199994
ACH-000189,-0.283606671558
ACH-000190,-0.773295467061
ACH-000198,-0.349003232363
ACH-000204,-0.288356342243
ACH-000206,-0.541238862879
ACH-000207,-0.5617445206239999
ACH-000211,-0.321245359518
ACH-000215,-0.21524251474599998
ACH-000221,-0.37712473710699995
ACH-000222,-0.446219649833
ACH-000223,-0.315848212096
ACH-000226,-0.462773571087
ACH-000227,-0.17814955028499999
ACH-000228,-0.427938273993
ACH-000231,-0.459922310024
ACH-000232,-0.45016157504500004
ACH-000233,-0.148383006404
ACH-000234,-0.528721468387
ACH-000235,-0.407096184556
ACH-000237,-0.406151876576
ACH-000238,-0.434925080416
ACH-000243,-0.502803301618
ACH-000244,-0.39346703068000005
ACH-000246,-0.479650763481
ACH-000248,-0.391679932674
ACH-000250,-0.18446823164
ACH-000251,-0.430013648995
