,SNRPE (6635)
ACH-000004,-1.2785343222
ACH-000007,-1.3058534386299998
ACH-000009,-1.42858552955
ACH-000011,-1.45824766867
ACH-000012,-1.54871709475
ACH-000013,-1.58462411326
ACH-000014,-1.7436877651700002
ACH-000015,-1.77080377853
ACH-000017,-1.82542273949
ACH-000018,-1.44322451942
ACH-000019,-1.53964375101
ACH-000021,-1.58445254227
ACH-000022,-1.8176428849700001
ACH-000025,-1.6697528755500002
ACH-000028,-1.53709462329
ACH-000030,-1.65098045592
ACH-000035,-1.3217937176799999
ACH-000036,-1.4036308263400001
ACH-000037,-1.6591589558500002
ACH-000039,-1.50958804187
ACH-000040,-1.9514607758400002
ACH-000041,-1.51501415271
ACH-000042,-1.75593008483
ACH-000045,-1.9949281428299999
ACH-000047,-1.53993521162
ACH-000052,-1.5176861598
ACH-000053,-1.6733569577399998
ACH-000054,-1.7613975327000002
ACH-000055,-1.5142876039200002
ACH-000060,-1.4965356204799998
ACH-000067,-1.47429915657
ACH-000070,-1.5006891405200002
ACH-000075,-1.54404837075
ACH-000078,-1.33485996586
ACH-000082,-1.52626451738
ACH-000085,-1.2342011601799998
ACH-000086,-1.4731387802899998
ACH-000087,-1.8261790435499998
ACH-000092,-1.6784223802200002
ACH-000095,-1.73896108748
ACH-000097,-1.44773657162
ACH-000098,-1.6512639798100002
ACH-000099,-1.6584242113
ACH-000108,-1.60845907667
ACH-000113,-1.6767493712000001
ACH-000115,-1.9788487155400003
ACH-000116,-1.71319519269
ACH-000118,-1.6057270196899998
ACH-000120,-1.55541872291
ACH-000123,-1.72986627996
ACH-000127,-1.6938450523299997
ACH-000128,-1.7678943048299998
ACH-000132,-1.7083832293799999
ACH-000133,-1.74293159441
ACH-000137,-1.39620148222
ACH-000138,-1.6629471790900001
ACH-000142,-1.8948298001700001
ACH-000143,-1.93798816868
ACH-000146,-1.5902947098299998
ACH-000148,-1.7374136884400002
ACH-000150,-1.7441739941799999
ACH-000152,-1.2237993920299999
ACH-000153,-1.3736999672999999
ACH-000159,-1.5581586170100001
ACH-000160,-1.23854515846
ACH-000163,-1.70678772481
ACH-000167,-1.7045946765200002
ACH-000168,-1.7822287700400001
ACH-000169,-1.61711940834
ACH-000178,-1.69692650794
ACH-000182,-1.60390576398
ACH-000183,-1.49569014752
ACH-000188,-1.7536443978099998
ACH-000189,-1.6007576676800002
ACH-000190,-1.1678678114299998
ACH-000198,-1.78839363187
ACH-000204,-1.6148148482299998
ACH-000206,-2.10023142684
ACH-000207,-2.30836060095
ACH-000211,-1.6100693223500002
ACH-000215,-1.8309720008099997
ACH-000221,-1.7610531024400002
ACH-000222,-1.86550243655
ACH-000223,-1.7466058765799999
ACH-000226,-1.19027589302
ACH-000227,-1.7337782292900001
ACH-000228,-1.57068168268
ACH-000231,-1.62240595883
ACH-000232,-1.63006688261
ACH-000233,-1.7120431975900001
ACH-000234,-1.71720486068
ACH-000235,-1.60789438139
ACH-000237,-1.60169303231
ACH-000238,-1.6246264756
ACH-000243,-1.80307981458
ACH-000244,-1.2348656638
ACH-000246,-1.52039449886
ACH-000248,-1.57771543631
ACH-000250,-1.85061408458
ACH-000251,-1.61797006066
ACH-000253,-1.9635240938099998
ACH-000255,-1.49493216837
ACH-000256,-1.95632533562
ACH-000257,-1.9261057674200002
ACH-000258,-1.5548925344
ACH-000259,-1.5690025276
ACH-000260,-1.7378015157099997
ACH-000261,-1.53879931683
ACH-000262,-1.52520151496
ACH-000263,-1.8382509737000001
ACH-000264,-1.79090093789
ACH-000265,-1.61012935692
ACH-000266,-1.6031873910299999
ACH-000272,-1.5902194657700002
ACH-000273,-1.62524311845
ACH-000274,-1.85306804033
ACH-000277,-2.0562238726700004
ACH-000278,-1.44429726061
ACH-000279,-1.32966563827
ACH-000280,-1.46427708168
ACH-000281,-1.36927002273
ACH-000288,-1.5236254565600003
ACH-000291,-1.53303369144
ACH-000293,-1.7537708093900002
ACH-000294,-1.60638939355
ACH-000295,-1.6004104882700003
ACH-000296,-1.4830969288100002
ACH-000302,-1.59964818003
ACH-000304,-2.1290130742200004
ACH-000307,-1.5514041545200001
ACH-000308,-1.50511178442
ACH-000310,-1.56410265205
ACH-000311,-1.68291759882
ACH-000312,-1.41522365067
ACH-000315,-1.6155394747100003
ACH-000316,-1.45477659748
ACH-000317,-1.21086375952
ACH-000318,-1.9831525867500002
ACH-000319,-1.5011858138999998
ACH-000320,-1.39017835527
ACH-000322,-1.29736844888
ACH-000323,-1.7303157032499998
ACH-000324,-1.38567838433
ACH-000329,-2.07327012557
ACH-000330,-1.40710125145
ACH-000331,-1.5484287558
ACH-000332,-1.86831975038
ACH-000334,-2.4916509584999997
ACH-000335,-1.7372244108900001
ACH-000336,-1.25034929077
ACH-000337,-2.13326346155
ACH-000339,-1.6474937323299998
ACH-000341,-1.8986882960799998
ACH-000348,-1.7984030001499998
ACH-000350,-1.85083144333
ACH-000352,-1.5391937985100002
ACH-000356,-1.60154135097
ACH-000361,-1.75403605275
ACH-000362,-1.85379785164
ACH-000363,-1.5808557845299998
ACH-000364,-1.6607594935699999
ACH-000365,-1.7884551748800002
ACH-000366,-1.6537200603400002
ACH-000368,-1.72430484442
ACH-000374,-1.4008088381700001
ACH-000375,-1.62039097791
ACH-000376,-1.44937883595
ACH-000381,-1.81359571842
ACH-000383,-1.6237271859399998
ACH-000387,-1.68218065799
ACH-000389,-1.70903277802
ACH-000390,-1.6690681600400001
ACH-000393,-1.706067437
ACH-000395,-1.7782448088999998
ACH-000397,-1.62210102875
ACH-000401,-1.5815247540700001
ACH-000402,-0.388906892853
ACH-000403,-1.6138297319600001
ACH-000404,-1.77489917551
ACH-000406,-1.65459224562
ACH-000407,-1.291236757
ACH-000408,-1.44721200565
ACH-000410,-1.72005232595
ACH-000411,-1.66464609962
ACH-000414,-1.69093524432
ACH-000415,-1.6009042396200002
ACH-000416,-1.61867012012
ACH-000420,-1.37996863276
ACH-000421,-1.46213134813
ACH-000424,-1.8716419290400002
ACH-000425,-1.5489313338100001
ACH-000426,-2.00952455979
ACH-000427,-1.4869456542100001
ACH-000433,-1.4315790641
ACH-000436,-1.9063560441299998
