,LOH12CR1 (118426)
ACH-000004,-0.450803188662
ACH-000007,-0.5216899821509999
ACH-000009,-0.410227763886
ACH-000011,-0.42816216291500003
ACH-000012,-0.125118493549
ACH-000013,-0.321511747183
ACH-000014,-0.312044630405
ACH-000015,-0.392461029557
ACH-000017,-0.677165576715
ACH-000018,-0.23755099157900003
ACH-000019,-0.5047908378379999
ACH-000021,-0.471398968484
ACH-000022,-0.271204451591
ACH-000025,-0.4683397162100001
ACH-000028,-0.2115159415
ACH-000030,-0.311702936047
ACH-000035,-0.309794038956
ACH-000036,-0.41054830219800004
ACH-000037,-0.38151004905100006
ACH-000039,-0.396772834596
ACH-000040,-0.569833051237
ACH-000041,-0.393330819686
ACH-000042,-0.40801796556000003
ACH-000045,-0.367955264164
ACH-000047,-0.300311713252
ACH-000052,-0.43176906751500005
ACH-000053,-0.405872401386
ACH-000054,-0.58389382092
ACH-000055,-0.28211754824499996
ACH-000060,-0.494071241242
ACH-000067,-0.30600458671799996
ACH-000070,-0.386712982914
ACH-000075,-0.34991979223
ACH-000078,-0.464459570554
ACH-000082,-0.23511849741000002
ACH-000085,-0.554138951758
ACH-000086,-0.269611720567
ACH-000087,-0.167419848683
ACH-000092,-0.35149690000399997
ACH-000095,-0.298194581568
ACH-000097,-0.368421663392
ACH-000098,-0.15407829716399998
ACH-000099,-0.588564821687
ACH-000108,-0.402066613261
ACH-000113,-0.575911767251
ACH-000115,-0.312276610123
ACH-000116,-0.30224417104699997
ACH-000118,-0.39365091336999997
ACH-000120,-0.35213169962800006
ACH-000123,-0.325021694195
ACH-000127,-0.356690866848
ACH-000128,-0.53991145955
ACH-000132,-0.318285297541
ACH-000133,-0.352138385181
ACH-000137,-0.24408873638099998
ACH-000138,-0.421956215756
ACH-000142,-0.577663124822
ACH-000143,-0.547328349016
ACH-000146,-0.32324854830899996
ACH-000148,-0.34883382188199996
ACH-000150,-0.27028557590700003
ACH-000152,-0.27518640501200003
ACH-000153,-0.291737067915
ACH-000159,-0.524843595544
ACH-000160,-0.402007687418
ACH-000163,-0.269534812577
ACH-000167,-0.578115915959
ACH-000168,-0.340028051706
ACH-000169,-0.422782272244
ACH-000178,-0.44240261905100003
ACH-000182,-0.22589789355300002
ACH-000183,-0.319676756683
ACH-000188,-0.44964508456600005
ACH-000189,-0.488053570096
ACH-000190,-0.485654816126
ACH-000198,-0.468886775047
ACH-000204,-0.586174040459
ACH-000206,-0.40343827789000003
ACH-000207,-0.27948461493500004
ACH-000211,-0.472399678827
ACH-000215,-0.40829122225599995
ACH-000221,-0.31531149272799996
ACH-000222,-0.254233797243
ACH-000223,-0.44544035067800003
ACH-000226,-0.19856726298099997
ACH-000227,-0.33865549613300006
ACH-000228,-0.27966574795000004
ACH-000231,-0.45405221272
ACH-000232,-0.574596266426
ACH-000233,-0.311706920115
ACH-000234,-0.630198559186
ACH-000235,-0.384705367214
ACH-000237,-0.349025383538
