,XPNPEP1 (7511)
ACH-000004,-0.0052820890384499995
ACH-000007,-0.0510046926454
ACH-000009,-0.07758850754300001
ACH-000011,-0.029457394968500004
ACH-000012,-0.038970504078800004
ACH-000013,0.056291703510600005
ACH-000014,-0.08801389879799999
ACH-000015,-0.210058415002
ACH-000017,0.0781630015655
ACH-000018,-0.0788514160766
ACH-000019,-0.142564261713
ACH-000021,-0.09800580986580001
ACH-000022,-0.22167613483399998
ACH-000025,-0.189096848274
ACH-000028,-0.0505985776904
ACH-000030,-0.17145996093899998
ACH-000035,-0.0562555847081
ACH-000036,-0.176543856373
ACH-000037,-0.16684710935900002
ACH-000039,-0.151449913343
ACH-000040,-0.252505791933
ACH-000041,-0.05842392036230001
ACH-000042,-0.313553858717
ACH-000045,-0.08945403037869999
ACH-000047,-0.0315066995697
ACH-000052,-0.150388983627
ACH-000053,-0.0270122729104
ACH-000054,-0.35263165567599997
ACH-000055,0.18220271248599998
ACH-000060,-0.12413673062200001
ACH-000067,-0.15943085248299999
ACH-000070,0.236336817995
ACH-000075,-0.22666172520199998
ACH-000078,-0.246009123973
ACH-000082,-0.220685224747
ACH-000085,-0.06948210345210001
ACH-000086,-0.113724989304
ACH-000087,-0.0679455743567
ACH-000092,-0.0374932995359
ACH-000095,-0.024612292543200003
ACH-000097,-0.09176533628149999
ACH-000098,-0.156275478404
ACH-000099,-0.16989582447
ACH-000108,-0.232792360343
ACH-000113,0.160425458131
ACH-000115,-0.284623442982
ACH-000116,-0.0429867255224
ACH-000118,-0.313238888438
ACH-000120,-0.277591205131
ACH-000123,-0.131763919266
ACH-000127,-0.126421416327
ACH-000128,-0.050411989616800004
ACH-000132,-0.29377293435699997
ACH-000133,-0.0799592584561
ACH-000137,-0.03444402152269999
ACH-000138,-0.0132919206048
ACH-000142,-0.11529982500600001
ACH-000143,-0.282554362596
ACH-000146,-0.117638742109
ACH-000148,-0.138691982258
ACH-000150,-0.0628043031814
ACH-000152,-0.22422578419300002
ACH-000153,-0.17184002223499997
ACH-000159,-0.156164387215
ACH-000160,-0.018801393190799997
ACH-000163,-0.12288617825999999
ACH-000167,-0.36043142155
ACH-000168,0.0253612051035
ACH-000169,-0.302004609822
ACH-000178,0.000662652293162
ACH-000182,-0.246204488849
ACH-000183,0.157394641078
ACH-000188,-0.108208957328
ACH-000189,-0.107653562257
ACH-000190,-0.08614547153069999
ACH-000198,-0.235865944362
ACH-000204,-0.313342485696
ACH-000206,-0.058985592282999995
ACH-000207,-0.19040771335599999
ACH-000211,-0.134404874724
ACH-000215,-0.08604898681160002
ACH-000221,-0.0751833275474
ACH-000222,-0.156375359194
ACH-000223,-0.19406287875199998
ACH-000226,-0.10996599182
ACH-000227,0.0684545547063
ACH-000228,0.040843560217
ACH-000231,-0.11798028476
ACH-000232,-0.0678667915599
ACH-000233,0.0780024228803
ACH-000234,-0.146097107967
ACH-000235,-0.0449362869166
ACH-000237,-0.287620348182
ACH-000238,-0.218518490898
ACH-000243,-0.24164615640599998
ACH-000244,-0.08890959689860001
ACH-000246,-0.0436112473318
ACH-000248,-0.393591426996
ACH-000250,0.04961125829369999
ACH-000251,-0.267897598483
ACH-000253,-0.242125826147
ACH-000255,0.042495480010900005
ACH-000256,-0.029505998393599995
ACH-000257,-0.059121050926
ACH-000258,-0.0825296085853
ACH-000259,-0.237982141608
ACH-000260,-0.151699097474
ACH-000261,-0.184605252055
ACH-000262,-0.09276943057119999
ACH-000263,-0.00709009602649
ACH-000264,-0.125546652854
ACH-000265,-0.126510184289
ACH-000266,-0.113346944311
ACH-000272,0.0409134073888
ACH-000273,-0.00364703682004
ACH-000274,-0.114849282326
ACH-000277,-0.168844228076
ACH-000278,-0.00582304408103
ACH-000279,-0.23411791084199998
ACH-000280,0.0497222248185
ACH-000281,-0.340687006296
ACH-000288,-0.0573020400564
ACH-000291,-0.08795830295219999
ACH-000293,0.16899254235800001
ACH-000294,-0.0796795909249
ACH-000295,-0.40546742030999994
ACH-000296,-0.223127821357
ACH-000302,-0.0678744224072
ACH-000304,-0.0501233240221
ACH-000307,-0.237738569656
