,INO80B (83444)
ACH-000004,-0.486125691737
ACH-000007,-0.60097542953
ACH-000009,-0.22045779903700002
ACH-000011,-0.424707880678
ACH-000012,-0.40087324234899996
ACH-000013,-0.553010203658
ACH-000014,-0.7279078022059999
ACH-000015,-0.326959041143
ACH-000017,-0.431820997012
ACH-000018,-0.583476194282
ACH-000019,-0.6752603446430001
ACH-000021,-0.25543368003600003
ACH-000022,-0.5963169699800001
ACH-000025,-0.458793891665
ACH-000028,-0.40299546495300004
ACH-000030,-0.162982161801
ACH-000035,-0.6700655670369999
ACH-000036,-0.671840683935
ACH-000037,-0.336940242668
ACH-000039,-0.24806994554200001
ACH-000040,-0.31223147652
ACH-000041,-0.36993602888899996
ACH-000042,-0.281844162287
ACH-000045,-0.49759691169799997
ACH-000047,0.0123440882295
ACH-000052,-0.47624342748599996
ACH-000053,-0.516983059948
ACH-000054,-0.450409694525
ACH-000055,-0.205070761651
ACH-000060,-0.5656854355950001
ACH-000067,-0.39370800914399995
ACH-000070,-0.496256456112
ACH-000075,-0.24259380836599997
ACH-000078,-0.132077330508
ACH-000082,-0.489146656523
ACH-000085,-0.313373634473
ACH-000086,-0.655839691338
ACH-000087,-0.8127687086319999
ACH-000092,-0.552146681307
ACH-000095,-0.328531801475
ACH-000097,-0.560524696587
ACH-000098,-0.589416105876
ACH-000099,-0.192145160613
ACH-000108,-0.114043526047
ACH-000113,-0.566847126332
ACH-000115,-0.8742473290430001
ACH-000116,-0.384742858763
ACH-000118,-0.177933387421
ACH-000120,-0.512773099663
ACH-000123,-0.535967441749
ACH-000127,-0.472535526924
ACH-000128,-0.566767989205
ACH-000132,-0.311993369706
ACH-000133,-0.44607753325599997
ACH-000137,-0.478584760441
ACH-000138,-0.39732932349100003
ACH-000142,-0.480189044319
ACH-000143,-0.78925429419
ACH-000146,-0.35865207455700004
ACH-000148,-0.543113708782
ACH-000150,-0.225868497228
ACH-000152,-0.674411723142
ACH-000153,-0.08444284191849999
ACH-000159,-0.665822919677
ACH-000160,-0.16700563171
ACH-000163,-0.421798513355
ACH-000167,-0.019994350220299998
ACH-000168,-0.460481372044
ACH-000169,-0.547588726134
ACH-000178,-0.748771745554
ACH-000182,-0.425263549998
ACH-000183,-0.36532909445600004
ACH-000188,-0.562112333577
ACH-000189,-0.463761092576
ACH-000190,-0.350549301866
ACH-000198,-0.625560295435
ACH-000204,-0.6594453045440001
ACH-000206,-0.728157499985
ACH-000207,-0.457135185669
ACH-000211,-0.5554377305899999
ACH-000215,-0.500117592651
ACH-000221,-0.372945312925
ACH-000222,0.012976884838700001
ACH-000223,-0.679658899815
ACH-000226,-0.718332069875
ACH-000227,-0.44331818935500006
ACH-000228,-0.682472306797
ACH-000231,-0.751508809781
ACH-000232,-0.468538379264
ACH-000233,-0.41007888570600004
ACH-000234,-0.413470876288
ACH-000235,-0.327614558579
ACH-000237,-0.441297150912
ACH-000238,-0.586200089713
ACH-000243,-0.8210984320999999
ACH-000244,-0.446176661875
ACH-000246,-0.7415354932639999
ACH-000248,-0.40143088019400003
ACH-000250,-0.7645373788169999
ACH-000251,-0.649084584422
ACH-000253,-0.556735689288
ACH-000255,-0.354819718603
ACH-000256,-0.48382142253700006
ACH-000257,-0.23627252691300002
ACH-000258,-0.38771008262100004
ACH-000259,-0.2470714775
ACH-000260,-0.382207615725
ACH-000261,-0.679972992848
ACH-000262,-0.54447412139
ACH-000263,-0.6880977033619999
ACH-000264,-0.650087213471
ACH-000265,-0.629203653821
ACH-000266,-0.294177007171
ACH-000272,-0.267680955257
ACH-000273,-0.6604931657590001
ACH-000274,-0.7762643584710001
ACH-000277,-0.5992522738139999
ACH-000278,-0.28294292602800003
ACH-000279,-0.19845385257800002
ACH-000280,-0.36070823180699996
ACH-000281,-0.414545699115
ACH-000288,-0.569340885798
ACH-000291,-0.311892921243
ACH-000293,-0.8985357
ACH-000294,-0.384762314497
ACH-000295,-0.460184617605
ACH-000296,-0.46943116249399996
ACH-000302,-0.632772449905
ACH-000304,-0.6316467200320001
ACH-000307,-0.582368158774
ACH-000308,-0.26408859618
ACH-000310,-0.249841161806
ACH-000311,-0.578598784312
ACH-000312,-0.186588918253
ACH-000315,-0.304515234818
ACH-000316,-0.399009815107
ACH-000317,-0.941436438257
ACH-000318,-0.566207771635
ACH-000319,-0.59343558372
ACH-000320,-0.45803620450599997
ACH-000322,-0.38189288290299994
ACH-000323,-0.485979679604
ACH-000324,-0.44306839435
ACH-000329,-0.136940772995
ACH-000330,-0.5924154912749999
ACH-000331,-0.59561463795
ACH-000332,-0.669522014131
ACH-000334,-0.585739744545
ACH-000335,-0.44542053598700004
ACH-000336,-0.567112863192
ACH-000337,-0.41420134173900003
ACH-000339,-0.38411523722900004
ACH-000341,-0.49959249951800005
ACH-000348,-0.454156613134
ACH-000350,-0.198172259947
ACH-000352,-0.14953451760199998
ACH-000356,-0.91898599696
ACH-000361,-0.5696767701519999
ACH-000362,-0.275621125085
ACH-000363,-0.458281139793
ACH-000364,-0.407946501399
ACH-000365,-0.544236836596
ACH-000366,-0.566700502075
ACH-000368,-0.68718449748
ACH-000374,-0.24218098426600002
ACH-000375,-0.48339082566200003
ACH-000376,-0.5063053263239999
ACH-000381,-0.6363499149140001
ACH-000383,-0.240254847053
ACH-000387,-0.737461773019
ACH-000389,-0.527897099494
ACH-000390,-0.249602491758
ACH-000393,-0.601017137242
ACH-000395,-0.489194849531
ACH-000397,-0.47950654145599997
ACH-000401,-0.42461375840000004
ACH-000402,-0.704141651671
ACH-000403,-0.514570942682
ACH-000404,-0.687640203873
ACH-000406,-0.38544241154700004
ACH-000407,-0.535150603128
ACH-000408,-0.7424155086349999
ACH-000410,-0.7042894623649999
ACH-000411,-0.506693234607
ACH-000414,-0.560586704602
ACH-000415,-0.600920190303
ACH-000416,-0.417447246844
ACH-000420,-0.444131741721
ACH-000421,-0.474049472659
ACH-000424,-0.55146915542
ACH-000425,-0.6095464310540001
ACH-000426,-0.506792629473
ACH-000427,-0.539676387706
ACH-000433,-0.497292903648
ACH-000436,-0.42393289784500005
ACH-000444,-0.786511417937
ACH-000445,-0.413214272206
ACH-000448,-0.770823697088
ACH-000450,-0.288047012591
ACH-000452,-0.581909252468
ACH-000454,-0.402583928758
ACH-000458,-0.440653274813
ACH-000459,-0.858083360808
ACH-000460,-0.388552002348
