,DTHD1 (401124)
ACH-000004,-0.161648353603
ACH-000007,-0.13075471881200001
ACH-000009,-0.15768774627499998
ACH-000011,-0.189527801838
ACH-000012,-0.203385791981
ACH-000013,-0.139463251837
ACH-000014,-0.267169368005
ACH-000015,-0.419976959159
ACH-000017,-0.216373473987
ACH-000018,-0.299908035915
ACH-000019,-0.173258373587
ACH-000021,-0.400453249149
ACH-000022,-0.27664053495900004
ACH-000025,-0.294024928922
ACH-000028,-0.11120671268400001
ACH-000030,-0.29278090832
ACH-000035,0.0188879709945
ACH-000036,-0.276465284627
ACH-000037,-0.186876718162
ACH-000039,-0.106736065621
ACH-000040,-0.178917273976
ACH-000041,-0.34760941427500003
ACH-000042,-0.13207191783
ACH-000045,-0.11804230322100001
ACH-000047,-0.0921111165883
ACH-000052,-0.10135261031300001
ACH-000053,-0.262512967926
ACH-000054,-0.24941109460000002
ACH-000055,-0.094553393373
ACH-000060,-0.358289943841
ACH-000067,-0.185508603174
ACH-000070,-0.0864353517257
ACH-000075,-0.307875268812
ACH-000078,-0.383417366696
ACH-000082,-0.17334427013599998
ACH-000085,-0.055949016889999995
ACH-000086,-0.30723910739300003
ACH-000087,-0.433924336906
ACH-000092,-0.20581101673399999
ACH-000095,-0.371732920068
ACH-000097,-0.23738273866
ACH-000098,-0.162731058347
ACH-000099,-0.39841649641500004
ACH-000108,-0.209465333931
ACH-000113,-0.16206539945
ACH-000115,0.012796212072000001
ACH-000116,-0.32591518714400003
ACH-000118,-0.245134325238
ACH-000120,-0.392097664033
ACH-000123,-0.363897852019
ACH-000127,-0.267178762974
ACH-000128,-0.0686171136934
ACH-000132,-0.301532976445
ACH-000133,-0.47546420760499997
ACH-000137,-0.0419586953486
ACH-000138,-0.103829625415
ACH-000142,-0.301184379681
ACH-000143,-0.0279277488384
ACH-000146,-0.236208282108
ACH-000148,-0.347485694745
ACH-000150,-0.291877860433
ACH-000152,-0.218067470904
ACH-000153,-0.45041083122000003
ACH-000159,-0.403772662701
ACH-000160,-0.42224588245
ACH-000163,0.00236897517893
ACH-000167,-0.635118741093
ACH-000168,-0.14754048868699998
ACH-000169,-0.285274653458
ACH-000178,-0.27172652997900004
ACH-000182,-0.290943361439
ACH-000183,-0.214284522524
ACH-000188,-0.19402933192299998
ACH-000189,0.113081399691
ACH-000190,0.0194029403895
ACH-000198,-0.292237044495
ACH-000204,-0.40401166973700003
ACH-000206,-0.157932718398
ACH-000207,0.026179532795000002
ACH-000211,-0.34208227413000003
ACH-000215,-0.36909325611
ACH-000221,-0.455530143122
ACH-000222,-0.5089291012899999
ACH-000223,-0.510273363094
ACH-000226,-0.23255017095199998
ACH-000227,-0.05723769596969999
ACH-000228,-0.13648304872199998
ACH-000231,-0.30147685557
ACH-000232,-0.423338040216
ACH-000233,-0.0504518733824
ACH-000234,-0.264665527635
ACH-000235,-0.15519075245
ACH-000237,-0.134414251377
ACH-000238,-0.12679956755400001
ACH-000243,-0.23621755048
ACH-000244,-0.275970001138
ACH-000246,-0.331032238949
ACH-000248,-0.317479383074
ACH-000250,-0.279186261199
ACH-000251,-0.253645507333
ACH-000253,-0.204706958188
ACH-000255,-0.16336936929999998
ACH-000256,-0.20849329074200001
ACH-000257,-0.255263721871
ACH-000258,-0.825303558108
ACH-000259,-0.237212712929
ACH-000260,-0.273453593191
ACH-000261,-0.402974955625
ACH-000262,-0.242727300805
ACH-000263,-0.469333786339
ACH-000264,-0.371310828914
ACH-000265,-0.345034881683
ACH-000266,-0.30198289428
ACH-000272,-0.362512407852
ACH-000273,-0.31933411638099995
ACH-000274,-0.5051543935589999
ACH-000277,-0.110139651789
ACH-000278,-0.257368711307
ACH-000279,-0.309091588757
ACH-000280,-0.351150439887
ACH-000281,-0.285190942353
ACH-000288,-0.227009930715
ACH-000291,-0.08343859349810001
ACH-000293,-0.430205511166
ACH-000294,-0.25052878622499997
ACH-000295,-0.287904146614
ACH-000296,-0.345150570164
ACH-000302,-0.31253232169
ACH-000304,-0.405086341192
ACH-000307,-0.221516979598
ACH-000308,-0.240317062191
ACH-000310,-0.47894669124600003
ACH-000311,-0.404883422659
ACH-000312,-0.19446165770399998
ACH-000315,-0.146966022124
ACH-000316,-0.323022948363
ACH-000317,-0.108827944957
ACH-000318,-0.20265569075999998
ACH-000319,-0.507876053518
ACH-000320,-0.0688127140316
ACH-000322,0.175377629161
ACH-000323,-0.122780963423
ACH-000324,-0.274473385349
ACH-000329,-0.185304690396
ACH-000330,-0.335430608709
ACH-000331,-0.267804715139
ACH-000332,-0.302726826522
ACH-000334,-0.38561501542800003
ACH-000335,-0.07614089379530001
ACH-000336,-0.334811407632
ACH-000337,-0.13678845461
ACH-000339,-0.309825349137
ACH-000341,-0.225293010805
ACH-000348,-0.14598888704600002
ACH-000350,-0.508565932371
ACH-000352,-0.316392106859
