,VAT1 (10493)
ACH-000004,-0.0354338511265
ACH-000007,-0.0388892953066
ACH-000009,-0.296188754093
ACH-000011,-0.40074536329099997
ACH-000012,-0.374312856505
ACH-000013,-0.0740089092975
ACH-000014,-0.159118567335
ACH-000015,-0.166949365296
ACH-000017,-0.290166945189
ACH-000018,-0.183771963259
ACH-000019,-0.205042469664
ACH-000021,-0.09048437714549999
ACH-000022,-0.140239288262
ACH-000025,-0.179102916209
ACH-000028,-0.19628672754
ACH-000030,-0.165974903795
ACH-000035,-0.462914285228
ACH-000036,-0.18317360524999998
ACH-000037,-0.0856424644235
ACH-000039,0.05063796112919999
ACH-000040,-0.465251698157
ACH-000041,-0.230267832744
ACH-000042,-0.0754646239985
ACH-000045,-0.32630425312
ACH-000047,-0.277021113482
ACH-000052,-0.173694194374
ACH-000053,-0.173055089937
ACH-000054,-0.212633623878
ACH-000055,-0.298226242909
ACH-000060,-0.31813112327799997
ACH-000067,-0.454761819797
ACH-000070,-0.29754879367
ACH-000075,-0.22321394284
ACH-000078,-0.13821454154
ACH-000082,-0.328403885406
ACH-000085,-0.275505188996
ACH-000086,-0.354456298838
ACH-000087,-0.020160778132299998
ACH-000092,-0.155337882401
ACH-000095,-0.158715738748
ACH-000097,-0.19073567318100001
ACH-000098,-0.305204489628
ACH-000099,-0.0798635697131
ACH-000108,-0.0312525741173
ACH-000113,-0.21037019244600003
ACH-000115,-0.127090592432
ACH-000116,-0.233289100311
ACH-000118,-0.152073602797
ACH-000120,-0.138217521085
ACH-000123,-0.215833910836
ACH-000127,-0.187845341496
ACH-000128,-0.126919520361
ACH-000132,-0.508327899218
ACH-000133,-0.20953362370200002
ACH-000137,-0.228855879045
ACH-000138,-0.194194524651
ACH-000142,-0.292543757937
ACH-000143,-0.312312943893
ACH-000146,-0.0073000430304300005
ACH-000148,-0.186597496541
ACH-000150,-0.166101520709
ACH-000152,-0.21154205461300002
ACH-000153,-0.363848860101
ACH-000159,-0.223205096132
ACH-000160,-0.356807851547
ACH-000163,-0.458485940019
ACH-000167,-0.0624108023728
ACH-000168,-0.125894041715
ACH-000169,-0.167450417539
ACH-000178,-0.15858733343599998
ACH-000182,-0.182031464925
ACH-000183,-0.164952392995
ACH-000188,-0.253931076042
ACH-000189,-0.44219499086499997
ACH-000190,-0.199797831549
ACH-000198,-0.16799781347800002
ACH-000204,-0.309594336862
ACH-000206,-0.5591207078830001
ACH-000207,-0.046211134703400006
ACH-000211,-0.112810202867
ACH-000215,-0.174110356426
ACH-000221,-0.11557306310999998
ACH-000222,0.199294405792
ACH-000223,-0.203012742649
ACH-000226,-0.331281437398
ACH-000227,-0.219367146316
ACH-000228,-0.300831412696
ACH-000231,-0.220542878133
ACH-000232,-0.103720088964
ACH-000233,-0.00199029530317
ACH-000234,-0.569897925892
ACH-000235,-0.0498991006269
ACH-000237,-0.257449685961
ACH-000238,-0.193283525209
ACH-000243,-0.183776695145
ACH-000244,-0.122205877206
ACH-000246,-0.29742075397
ACH-000248,-0.325377837137
ACH-000250,-0.311814755595
ACH-000251,-0.293104269524
ACH-000253,-0.257832559383
ACH-000255,-0.334090118999
ACH-000256,-0.137711143842
ACH-000257,0.0027821172199599996
ACH-000258,0.24494530998599998
ACH-000259,-0.30760790533300003
ACH-000260,-0.163490526607
ACH-000261,-0.10344212675100001
ACH-000262,-0.188648359485
ACH-000263,-0.214303357781
ACH-000264,-0.328499966238
ACH-000265,-0.259511950227
ACH-000266,-0.115095215889
ACH-000272,-0.217694317366
ACH-000273,-0.167746686265
ACH-000274,-0.23901454689800003
ACH-000277,-0.08786152008829999
ACH-000278,-0.150981703046
ACH-000279,-0.075997785511
ACH-000280,-0.06066162143630001
ACH-000281,0.040775739798800004
ACH-000288,-0.37816345985600003
ACH-000291,-0.10898167022199999
ACH-000293,-0.228033749774
ACH-000294,-0.30164798183
ACH-000295,-0.151205202025
ACH-000296,-0.0177694862815
ACH-000302,-0.193625441639
ACH-000304,0.0213478627948
ACH-000307,-0.271899444723
ACH-000308,-0.23308912677700003
ACH-000310,-0.309013298641
ACH-000311,-0.013541287342600001
ACH-000312,-0.23955795262899998
ACH-000315,0.04285790495519999
ACH-000316,-0.214875868039
ACH-000317,0.08016030304760001
ACH-000318,-0.311605165329
ACH-000319,-0.295365545365
ACH-000320,0.0869600255126
ACH-000322,-0.18427709706700002
ACH-000323,-0.25072184944200004
ACH-000324,-0.5066969263350001
ACH-000329,-0.291724177361
ACH-000330,-0.21963920556999997
ACH-000331,-0.300329157725
ACH-000332,-0.17860494848900002
ACH-000334,-0.36035280761699995
ACH-000335,-0.28362380527
ACH-000336,-0.236279430802
ACH-000337,-0.199301138466
ACH-000339,-0.10842532872999999
ACH-000341,0.00608963291434
ACH-000348,-0.09941432985189999
ACH-000350,-0.270109984113
ACH-000352,-0.191030352528
ACH-000356,-0.411464399587
ACH-000361,-0.0870026180259
ACH-000362,0.0194507074255
ACH-000363,-0.320925297591
ACH-000364,-0.308626873362
ACH-000365,-0.184056797131
ACH-000366,-0.167896528141
ACH-000368,-0.0421104984916
ACH-000374,-0.023605044685800002
ACH-000375,-0.204779139675
ACH-000376,-0.0210309012836
ACH-000381,-0.15362193428200002
ACH-000383,-0.296780495909
ACH-000387,0.0197702576085
ACH-000389,-0.19834145971900002
ACH-000390,-0.37507087086499996
ACH-000393,0.102624030571
ACH-000395,0.0712317928589
ACH-000397,-0.41635826711499996
ACH-000401,-0.248952922742
