,LRRC75A (388341)
ACH-000004,-0.0321767314214
ACH-000007,-0.199391487546
ACH-000009,-0.56583974646
ACH-000011,-0.361242360099
ACH-000012,-0.200233611955
ACH-000013,-0.409075673016
ACH-000014,0.212686682846
ACH-000015,-0.31771001235
ACH-000017,-0.305640571998
ACH-000018,-0.394878289262
ACH-000019,-0.04283900337450001
ACH-000021,-0.08710472105839999
ACH-000022,-0.42951056785400005
ACH-000025,-0.0635438775023
ACH-000028,-0.252425295078
ACH-000030,-0.191843293545
ACH-000035,-0.39091802540299997
ACH-000036,-0.466119958077
ACH-000037,-0.249113809164
ACH-000039,-0.042829971972900005
ACH-000040,-0.533422733244
ACH-000041,-0.498154561744
ACH-000042,-0.420005232696
ACH-000045,-0.534373919414
ACH-000047,-0.261402319062
ACH-000052,-0.504095946953
ACH-000053,-0.254739999309
ACH-000054,-0.17781060734200002
ACH-000055,-0.336801743624
ACH-000060,-0.342056168117
ACH-000067,-0.529519075903
ACH-000070,-0.32013447757
ACH-000075,-0.280693734892
ACH-000078,-0.319363857215
ACH-000082,-0.584398073262
ACH-000085,-0.709391976775
ACH-000086,-0.121492987927
ACH-000087,-0.309037702456
ACH-000092,-0.451657779375
ACH-000095,-0.287681773204
ACH-000097,-0.47018879203599995
ACH-000098,-0.3440142632
ACH-000099,-0.148766498017
ACH-000108,0.08891602230260001
ACH-000113,-0.256694376538
ACH-000115,-0.257243530386
ACH-000116,-0.337397173081
ACH-000118,-0.062133929515800004
ACH-000120,-0.270449425969
ACH-000123,-0.0697468114728
ACH-000127,-0.214001533133
ACH-000128,-0.159349325824
ACH-000132,-0.302065907093
ACH-000133,-0.503432717915
ACH-000137,-0.390915698842
ACH-000138,-0.0785084324038
ACH-000142,-0.291746922398
ACH-000143,-0.479130786803
ACH-000146,-0.10614707696100001
ACH-000148,-0.39578408320200004
ACH-000150,-0.420295116531
ACH-000152,-0.351327428895
ACH-000153,-0.579362455226
ACH-000159,-0.11889497873
ACH-000160,-0.264666735442
ACH-000163,-0.463788192726
ACH-000167,-0.211448505272
ACH-000168,-0.168337881719
ACH-000169,-0.419425763089
ACH-000178,-0.183186679421
ACH-000182,-0.372351480444
ACH-000183,-0.0775062320252
ACH-000188,-0.516850441442
ACH-000189,-0.105912238205
ACH-000190,-0.232041641542
ACH-000198,-0.10854773170999998
ACH-000204,-0.301332622707
ACH-000206,-0.282716360475
ACH-000207,-0.351976752057
ACH-000211,-0.181812417005
ACH-000215,-0.210587635873
ACH-000221,-0.226378406861
ACH-000222,-0.282562192515
ACH-000223,-0.0107725708528
ACH-000226,-0.48389554262199996
ACH-000227,-0.354204847354
ACH-000228,-0.37011147864699995
ACH-000231,-0.3082564413
ACH-000232,-0.220591860165
ACH-000233,-0.1157120531
ACH-000234,-0.176627181872
ACH-000235,-0.238154332907
ACH-000237,-0.311658173783
ACH-000238,-0.9160972429350001
ACH-000243,-0.284187561679
ACH-000244,-0.177039483668
ACH-000246,-0.334791400922
ACH-000248,-0.117381429815
ACH-000250,-0.316150690778
ACH-000251,-0.22849903667
ACH-000253,-0.172222496374
ACH-000255,-0.42593749162100003
ACH-000256,-0.34066255179399996
ACH-000257,0.057168120463300005
ACH-000258,-0.373572377402
ACH-000259,-0.270001932559
ACH-000260,-0.35199344085999995
ACH-000261,-0.09965756466060001
ACH-000262,-0.535963616365
ACH-000263,0.0220731300446
ACH-000264,-0.348240091832
ACH-000265,-0.319287730264
ACH-000266,-0.289591521504
ACH-000272,-0.287513264288
ACH-000273,-0.316539021801
ACH-000274,-0.36482379200000004
ACH-000277,-0.364120916822
ACH-000278,-0.450418129173
ACH-000279,-0.362649589947
ACH-000280,-0.154472530031
ACH-000281,-0.105789198862
ACH-000288,-0.401645315609
ACH-000291,-0.294381589318
ACH-000293,-0.163152784464
ACH-000294,-0.04693004525259999
ACH-000295,0.0256082877392
ACH-000296,-0.44222838951000004
ACH-000302,-0.301943818641
ACH-000304,-0.45953739902400004
ACH-000307,-0.262739596463
ACH-000308,-0.198859461219
ACH-000310,-0.09757471210930001
ACH-000311,-0.14661247931399998
ACH-000312,-0.24937060821999996
ACH-000315,-0.129355374874
ACH-000316,-0.273709942823
ACH-000317,0.0320700935345
ACH-000318,-0.396648458786
ACH-000319,-0.589883478034
ACH-000320,-0.15701474409399999
ACH-000322,-0.409630052438
ACH-000323,-0.573154303269
ACH-000324,-0.320147694081
ACH-000329,-0.35957896157499997
ACH-000330,-0.137361458106
ACH-000331,-0.5790819240199999
ACH-000332,-0.19090462192699997
ACH-000334,-0.269124842138
ACH-000335,-0.38683552072800004
ACH-000336,-0.28882285605
ACH-000337,-0.459469282468
ACH-000339,-0.166056985036
ACH-000341,-0.674979521238
ACH-000348,-0.42398815539499995
ACH-000350,-0.48799925918700005
ACH-000352,-0.302168413161
ACH-000356,-0.748410563248
ACH-000361,-0.299792925073
ACH-000362,0.0272290696777
ACH-000363,-0.209725899125
ACH-000364,-0.44445282921499996
ACH-000365,-0.0838086552573
ACH-000366,-0.164661558622
ACH-000368,-0.151435635148
ACH-000374,-0.34949771335900004
ACH-000375,-0.450465120901
ACH-000376,-0.304131749791
ACH-000381,-0.0655213405038
ACH-000383,-0.20842830151299999
ACH-000387,-0.281404416725
ACH-000389,-0.28929386193100004
ACH-000390,-0.107079741802
ACH-000393,-0.19617794416700002
ACH-000395,0.00530350446047
ACH-000397,-0.35879764601499997
ACH-000401,-0.145996768576
ACH-000402,-0.300180388668
ACH-000403,-0.360700385571
ACH-000404,0.11379538841499999
ACH-000406,-0.126436030728
ACH-000407,-0.526407216407
ACH-000408,-0.296188685362
ACH-000410,-0.36948475671400005
ACH-000411,-0.206073297286
ACH-000414,-0.140645326966
ACH-000415,-0.501521896738
ACH-000416,-0.331668072373
ACH-000420,-0.25378457517299996
ACH-000421,-0.32704858246
ACH-000424,-0.404449044355
ACH-000425,-0.293766949881
ACH-000426,-0.0926863676385
ACH-000427,-0.21991386347
ACH-000433,-0.287066017541
ACH-000436,-0.129660324688
ACH-000444,-0.229626285248
ACH-000445,-0.297012537811
ACH-000448,-0.383423938353
ACH-000450,-0.11394926523499999
ACH-000452,-0.331771531289
ACH-000454,-0.476565866603
ACH-000458,-0.28308470511399997
ACH-000459,-0.6249445111249999
ACH-000460,-0.21489271386300002
ACH-000461,-0.19057210124600002
ACH-000463,-0.391074564944
ACH-000464,-0.285843154455
ACH-000466,-0.476660656657
ACH-000467,-0.33636627551299997
ACH-000468,-0.133167948158
ACH-000469,-0.350244307002
ACH-000470,-0.21093030210299998
ACH-000471,-0.323051586263
ACH-000472,-0.297762972632
ACH-000473,-0.427172795035
ACH-000475,-0.29908810641100003
ACH-000476,-0.24238111050299999
ACH-000477,-0.137626125292
ACH-000480,-0.258984232727
ACH-000481,-0.38208421530000003
ACH-000483,-0.696624243338
ACH-000484,-0.431613136027
ACH-000485,-0.038215150884300005
ACH-000486,-0.19053151476500002
ACH-000487,-0.252886287391
ACH-000488,-0.31313760406
ACH-000490,-0.0388492958407
ACH-000491,-0.583200534584
ACH-000495,0.060428259661999995
ACH-000496,-0.479540059933
ACH-000499,-0.290891424849
ACH-000500,-0.65607813343
ACH-000502,-0.324439579842
ACH-000503,-0.310761745033
ACH-000505,-0.262896268584
ACH-000507,-0.0848605052584
ACH-000510,-0.197306059798
ACH-000511,-0.457860009523
ACH-000512,-0.08771510298560001
ACH-000516,-0.531558746578
ACH-000517,-0.324085720013
ACH-000518,-0.347893938078
ACH-000520,-0.5255330647209999
ACH-000521,-0.41602592252400006
ACH-000522,-0.23370302503600002
ACH-000524,-0.42739430235
ACH-000527,-0.369215889327
ACH-000528,-0.30645744988400003
ACH-000537,-0.164554101469
ACH-000541,-0.257076747291
ACH-000542,-0.287342604847
ACH-000544,-0.349690487118
ACH-000545,-0.169805410444
ACH-000547,-0.129696945517
ACH-000548,-0.513040088356
ACH-000549,-0.17527118293299998
ACH-000550,-0.29481905089
ACH-000552,-0.207370783004
ACH-000556,-0.309455575052
ACH-000557,-0.0420289758851
ACH-000570,-0.541302984073
ACH-000571,-0.439202145696
ACH-000573,-0.14108563929600001
ACH-000576,-0.427354581166
ACH-000580,-0.0503581183075
ACH-000584,-0.23546819977699998
ACH-000585,-0.41491120066200005
ACH-000588,-0.713549405254
ACH-000589,-0.496292510391
ACH-000591,-0.266571677954
ACH-000593,-0.44931827770599997
ACH-000600,-0.248658408145
ACH-000601,-0.11987223590700001
ACH-000604,-0.450334210422
ACH-000605,-0.37094263789000004
ACH-000606,-0.246024648041
ACH-000608,-0.253354629874
ACH-000614,0.101551948799
