,PPM1F (9647)
ACH-000004,-0.241587212854
ACH-000007,0.22419710556400002
ACH-000009,0.392445807355
ACH-000011,0.46143347986100003
ACH-000012,-0.39001191356799997
ACH-000013,-0.125650556535
ACH-000014,0.113536355437
ACH-000015,0.0654833718075
ACH-000017,-0.223034956847
ACH-000018,0.37771031437700003
ACH-000019,0.0014055846363699998
ACH-000021,-0.036405155517
ACH-000022,0.09988171691980001
ACH-000025,0.288736394374
ACH-000028,0.117422272993
ACH-000030,-0.015700022212399998
ACH-000035,0.016346453012399998
ACH-000036,0.22895620761399998
ACH-000037,-0.0414969484227
ACH-000039,-0.11170485370699999
ACH-000040,0.39130052673
ACH-000041,-0.0304945849753
ACH-000042,0.0816841679773
ACH-000045,-0.048794203603099995
ACH-000047,0.05138575378219999
ACH-000052,0.0779926131058
ACH-000053,-0.0643475641259
ACH-000054,0.148694630913
ACH-000055,0.215402808289
ACH-000060,0.362885308634
ACH-000067,0.161199681087
ACH-000070,0.04166160585380001
ACH-000075,-0.128091859735
ACH-000078,-0.0172165721643
ACH-000082,0.229376310685
ACH-000085,-0.231388123836
ACH-000086,0.12580950406
ACH-000087,-0.051961367911099995
ACH-000092,-0.13366768572
ACH-000095,0.0950547580475
ACH-000097,0.0410138729554
ACH-000098,-0.11671436137499999
ACH-000099,0.0329885856866
ACH-000108,-0.0240256047692
ACH-000113,-0.0019478802781199998
ACH-000115,0.0258559937795
ACH-000116,0.130338379457
ACH-000118,-0.05172066223619999
ACH-000120,0.0503867867315
ACH-000123,-0.032694084192400004
ACH-000127,0.11981769104800001
ACH-000128,0.00105411561697
ACH-000132,0.433764956202
ACH-000133,-0.175063351952
ACH-000137,0.117377349378
ACH-000138,0.28190949800299997
ACH-000142,0.416111960154
ACH-000143,0.09554421894889999
ACH-000146,-0.032317457835300004
ACH-000148,0.33878725319200004
ACH-000150,-0.216052863931
ACH-000152,0.185687905981
ACH-000153,0.5043814416800001
ACH-000159,0.163727876567
ACH-000160,-0.15938198204
ACH-000163,0.0806992694582
ACH-000167,0.208939512269
ACH-000168,0.317370931635
ACH-000169,0.0418034558991
ACH-000178,0.331498258051
ACH-000182,0.13696724296499999
ACH-000183,-0.31412511243
ACH-000188,-0.107649746554
ACH-000189,0.426836673456
ACH-000190,-0.162211562634
ACH-000198,0.040617753308699996
ACH-000204,0.104457318472
