,LONP1 (9361)
ACH-000004,-1.69738490997
ACH-000007,-1.5795512502899998
ACH-000009,-1.5199592906600001
ACH-000011,-1.8358951474599998
ACH-000012,-1.27445458326
ACH-000013,-1.6606418324899999
ACH-000014,-1.4113752684099998
ACH-000015,-1.72269152875
ACH-000017,-1.75523856781
ACH-000018,-1.8584460163699998
ACH-000019,-1.3796779587099999
ACH-000021,-1.26933448579
ACH-000022,-1.21956944481
ACH-000025,-1.27494975597
ACH-000028,-1.7325291747799998
ACH-000030,-1.44654021104
ACH-000035,-1.94123479335
ACH-000036,-1.48312903998
ACH-000037,-1.02583432963
ACH-000039,-1.4503532724000001
ACH-000040,-1.6068862284299998
ACH-000041,-1.52511144325
ACH-000042,-1.19198629867
ACH-000045,-1.1173532240200001
ACH-000047,-1.3513510138
ACH-000052,-1.52649222421
ACH-000053,-1.21735761673
ACH-000054,-1.2828670916299998
ACH-000055,-1.5736860984799999
ACH-000060,-1.28292618985
ACH-000067,-1.51043265717
ACH-000070,-1.26936455919
ACH-000075,-1.0837574429
ACH-000078,-1.4047498766
ACH-000082,-1.5149968582100002
ACH-000085,-1.43011413241
ACH-000086,-1.32536978516
ACH-000087,-1.48355742549
ACH-000092,-0.9548668130769999
ACH-000095,-1.1697897068
ACH-000097,-1.4666863831499999
ACH-000098,-1.64699432288
ACH-000099,-1.41458038887
ACH-000108,-1.51588197309
ACH-000113,-1.44620740625
ACH-000115,-0.6979147759469999
ACH-000116,-1.52901084044
ACH-000118,-1.44768629204
ACH-000120,-1.2178823298299999
ACH-000123,-1.26809096334
ACH-000127,-1.43720463995
ACH-000128,-1.87111298145
ACH-000132,-1.29946409202
ACH-000133,-1.31282280875
ACH-000137,-1.32127308878
ACH-000138,-1.4804714552399998
ACH-000142,-1.74101573032
ACH-000143,-1.6288397449599998
ACH-000146,-0.8561280393459999
ACH-000148,-1.8119037152900002
ACH-000150,-1.4887947578100003
ACH-000152,-1.53411426946
ACH-000153,-1.26823008877
ACH-000159,-1.28708165352
ACH-000160,-1.96222308042
ACH-000163,-1.75778613622
ACH-000167,-1.2690021406999998
ACH-000168,-1.37430497468
ACH-000169,-1.55658609808
ACH-000178,-1.3360959764899998
ACH-000182,-1.4119245483399998
ACH-000183,-1.21225316904
ACH-000188,-1.70838787171
ACH-000189,-1.5677479386500002
ACH-000190,-1.44384422484
ACH-000198,-1.23058503698
ACH-000204,-1.65057630162
ACH-000206,-1.21142526134
ACH-000207,-0.863801262273
ACH-000211,-1.62300326539
ACH-000215,-1.48944585913
ACH-000221,-1.60167221451
ACH-000222,-1.48956858465
ACH-000223,-1.4470863909399998
ACH-000226,-1.24427205396
ACH-000227,-0.9582167100660001
ACH-000228,-1.4971619475600002
ACH-000231,-1.4042397193599998
ACH-000232,-1.46176118495
ACH-000233,-1.6178525337799998
ACH-000234,-0.9608157879070001
ACH-000235,-1.34542814099
ACH-000237,-1.47043912447
ACH-000238,-1.7960126214400003
ACH-000243,-1.47015833037
ACH-000244,-1.18693985742
ACH-000246,-1.44770314698
ACH-000248,-1.66539239399
