,C2orf27B (408029)
ACH-000004,-0.409707600243
ACH-000007,-0.570060995447
ACH-000009,-0.375018509007
ACH-000011,-0.177972712984
ACH-000012,-0.250424608008
ACH-000013,-0.41914523855400004
ACH-000014,-0.428807253901
ACH-000015,-0.44680639519500004
ACH-000017,-0.158443077476
ACH-000018,-0.604037392684
ACH-000019,-0.258686611956
ACH-000021,-0.32154588674400003
ACH-000022,-0.561248525377
ACH-000025,-0.328998999494
ACH-000028,-0.24071850006200002
ACH-000030,-0.312699740282
ACH-000035,-0.44144770095200003
ACH-000036,-0.283277996196
ACH-000037,-0.463516911146
ACH-000039,-0.40577176190700004
ACH-000040,-0.527613187637
ACH-000041,-0.569609558197
ACH-000042,-0.490476814545
ACH-000045,-0.16783269778299997
ACH-000047,-0.383859120078
ACH-000052,-0.193839739629
ACH-000053,-0.27303728007100003
ACH-000054,-0.409801968587
ACH-000055,-0.195940481711
ACH-000060,-0.4382449051899999
ACH-000067,-0.521075328745
ACH-000070,-0.30195387249
ACH-000075,-0.396103187347
ACH-000078,-0.471062568754
ACH-000082,-0.520790313669
ACH-000085,-0.6592643600020001
ACH-000086,-0.32753740465799996
ACH-000087,-0.117846857566
ACH-000092,-0.6972613710169999
ACH-000095,-0.43655854131399996
ACH-000097,-0.548010426173
ACH-000098,-0.300084151891
ACH-000099,-0.372636856884
ACH-000108,-0.468913106526
ACH-000113,-0.326099447763
ACH-000115,-0.450466071881
ACH-000116,-0.543522570282
ACH-000118,-0.43620212113300005
ACH-000120,-0.372476069161
ACH-000123,-0.411575018231
ACH-000127,-0.468688965776
ACH-000128,-0.487017993312
ACH-000132,-0.524840731242
ACH-000133,-0.32759643469599997
ACH-000137,-0.154969065486
ACH-000138,-0.301177651236
ACH-000142,-0.5089346433609999
ACH-000143,-0.18696353298300003
ACH-000146,-0.426061983619
ACH-000148,-0.431592998077
ACH-000150,-0.507229879169
ACH-000152,-0.36891414894900004
ACH-000153,-0.22944457155099998
ACH-000159,-0.431770840203
ACH-000160,-0.0529239508271
ACH-000163,-0.422561791272
ACH-000167,0.08990756537939999
ACH-000168,-0.239926042699
ACH-000169,-0.412511171211
ACH-000178,-0.290402280812
ACH-000182,-0.243000173097
ACH-000183,-0.53495303228
ACH-000188,-0.513715168359
ACH-000189,-0.521359356034
ACH-000190,-0.452776934519
ACH-000198,-0.42791787972199996
ACH-000204,-0.0975656274206
ACH-000206,-0.5501360661270001
ACH-000207,-0.515572860802
ACH-000211,-0.366471884049
ACH-000215,-0.41433855728600005
ACH-000221,-0.332258237847
ACH-000222,-0.442929118201
ACH-000223,-0.45009343508
ACH-000226,-0.531933932856
ACH-000227,-0.607968537086
ACH-000228,-0.510451247235
ACH-000231,-0.155292590764
ACH-000232,-0.49547426786000004
ACH-000233,-0.341432504263
ACH-000234,-0.535082269803
ACH-000235,-0.35970094825000004
ACH-000237,-0.495637794441
ACH-000238,-0.377837683396
