,PODN (127435)
ACH-000004,0.0525898761169
ACH-000007,0.0329229002979
ACH-000009,-0.332735360719
ACH-000011,-0.111808270118
ACH-000012,-0.19068408304
ACH-000013,-0.22653490405699997
ACH-000014,-0.19305489988299998
ACH-000015,-0.0964914305036
ACH-000017,-0.122240728681
ACH-000018,-0.0024677956395900004
ACH-000019,-0.09883173728869998
ACH-000021,-0.165536381771
ACH-000022,0.00795417739531
ACH-000025,-0.222620382486
ACH-000028,-0.122009357175
ACH-000030,0.010243391330299998
ACH-000035,-0.17622164660700002
ACH-000036,-0.0913502666986
ACH-000037,-0.020641194280700003
ACH-000039,-0.0558797939045
ACH-000040,0.040814673968599995
ACH-000041,-0.22818370683000003
ACH-000042,-0.023319846204400002
ACH-000045,-0.137800606227
ACH-000047,-0.218387961732
ACH-000052,-0.103044490517
ACH-000053,-0.0442718453015
ACH-000054,0.10838089882200001
ACH-000055,-0.119560048493
ACH-000060,-0.37546326148599996
ACH-000067,0.125063603163
ACH-000070,-0.149827826873
ACH-000075,-0.114279827577
ACH-000078,-0.112147137352
ACH-000082,-0.08432970964360001
ACH-000085,-0.094938608497
ACH-000086,-0.25932397904800003
ACH-000087,0.0395054461646
ACH-000092,-0.362895756905
ACH-000095,-0.152084245109
ACH-000097,-0.0438376489397
ACH-000098,-0.0352191173924
ACH-000099,-0.0663669973221
ACH-000108,-0.013322319911700001
ACH-000113,-0.0982342201891
ACH-000115,0.0572514554229
ACH-000116,-0.014859511179200001
ACH-000118,-0.0498256866371
ACH-000120,-0.172619317993
ACH-000123,-0.138104703298
ACH-000127,-0.00613697825099
ACH-000128,-0.09933625834460001
ACH-000132,-0.142050336671
ACH-000133,0.0500304853809
ACH-000137,-0.0690826436878
ACH-000138,0.022352688488599996
ACH-000142,-0.362913417306
ACH-000143,-0.270444697568
ACH-000146,-0.0926031409189
ACH-000148,-0.0789032576809
ACH-000150,-0.351907465277
ACH-000152,-0.19936461707800002
ACH-000153,-0.14381266617
ACH-000159,-0.107416991985
ACH-000160,-0.0959070358282
ACH-000163,0.0210069055119
ACH-000167,0.146021761924
ACH-000168,0.0177016198202
ACH-000169,-0.150916887519
ACH-000178,-0.0471992402471
ACH-000182,0.0315461535132
