,LAIR1 (3903)
ACH-000004,-0.220822279276
ACH-000007,-0.22218506005999997
ACH-000009,-0.235794196347
ACH-000011,-0.229236692784
ACH-000012,-0.19232791613400002
ACH-000013,-0.7225114247419999
ACH-000014,-0.158615799041
ACH-000015,-0.43072987805299995
ACH-000017,-0.106330951358
ACH-000018,-0.261581363414
ACH-000019,-0.514262486008
ACH-000021,-0.35739205376500005
ACH-000022,-0.36804324739200006
ACH-000025,-0.190376908984
ACH-000028,-0.26638885522
ACH-000030,-0.539123445671
ACH-000035,-0.0055007378754399995
ACH-000036,-0.288614954955
ACH-000037,-0.21570616860999997
ACH-000039,-0.38271726193899996
ACH-000040,-0.262433722374
ACH-000041,-0.358808184182
ACH-000042,-0.168422405107
ACH-000045,-0.383442429179
ACH-000047,-0.176877437944
ACH-000052,-0.326824901686
ACH-000053,-0.220474485194
ACH-000054,-0.285131274532
ACH-000055,-0.206255474196
ACH-000060,-0.179818679412
ACH-000067,-0.28126028510699996
ACH-000070,-0.0201073927671
ACH-000075,-0.160347579128
ACH-000078,-0.291598305737
ACH-000082,-0.270649306137
ACH-000085,-0.0904157741947
ACH-000086,-0.348499747077
ACH-000087,0.0213859016023
ACH-000092,-0.317828846497
ACH-000095,-0.377217851054
ACH-000097,-0.494295777341
ACH-000098,-0.395710894561
ACH-000099,-0.224728305846
ACH-000108,-0.11187961345000001
ACH-000113,-0.250060556363
ACH-000115,-0.39125539415700006
ACH-000116,-0.25502039301
ACH-000118,-0.0997236814632
ACH-000120,-0.14031008290400002
ACH-000123,-0.292293576039
ACH-000127,-0.249804870507
ACH-000128,-0.204531629009
ACH-000132,-0.20317136711199998
ACH-000133,-0.310535662392
ACH-000137,-0.265727530868
ACH-000138,-0.312399128385
ACH-000142,-0.418810188233
ACH-000143,-0.30835157452100004
ACH-000146,-0.334808158538
ACH-000148,-0.23475192953000001
ACH-000150,-0.16918992821400003
ACH-000152,-0.207458604081
ACH-000153,-0.379589620532
ACH-000159,-0.385383149556
ACH-000160,-0.341421399108
ACH-000163,-0.13579084324899998
ACH-000167,-0.539141513453
ACH-000168,-0.343620021542
ACH-000169,-0.35662808556599995
ACH-000178,-0.33361240628899996
ACH-000182,-0.337975135436
ACH-000183,-0.118911687206
ACH-000188,-0.366800318799
ACH-000189,-0.20350889837000002
ACH-000190,-0.00454494250076
ACH-000198,-0.356015361485
ACH-000204,-0.420518090866
ACH-000206,-0.264115055733
ACH-000207,-0.255620252037
ACH-000211,-0.39927557289099996
ACH-000215,-0.230049396282
ACH-000221,-0.33022706051600004
ACH-000222,-0.181441930211
ACH-000223,-0.215106547045
ACH-000226,-0.0418160648379
ACH-000227,-0.16237631555600002
ACH-000228,-0.0012167961470599998
ACH-000231,-0.07673065902639999
ACH-000232,-0.38099306127099997
ACH-000233,-0.41178654471000004
ACH-000234,-0.12563024264
ACH-000235,-0.257485173113
ACH-000237,-0.37790882682800003
ACH-000238,-0.259689528208
ACH-000243,-0.0987595596177
ACH-000244,-0.13333457171
ACH-000246,-0.28257986552700004
ACH-000248,-0.220860174833
ACH-000250,-0.289402828043
ACH-000251,-0.148906140698
ACH-000253,-0.36336678252099996
ACH-000255,-0.23965554535100003
ACH-000256,-0.41683534770999997
ACH-000257,-0.014847536814299999
ACH-000258,-0.389382957694
ACH-000259,-0.0702254061485
ACH-000260,-0.265312155674
ACH-000261,-0.296773801324
ACH-000262,-0.4863301380100001
ACH-000263,-0.187625861384
ACH-000264,-0.26218308428000003
ACH-000265,-0.12904666974
ACH-000266,-0.202854067783
ACH-000272,-0.304827080942
ACH-000273,-0.272862958728
ACH-000274,-0.125771558835
ACH-000277,-0.18061470363899998
ACH-000278,-0.200661854507
ACH-000279,-0.09020694665710001
ACH-000280,-0.397053071172
ACH-000281,-0.172557967419
ACH-000288,-0.16817641071199999
ACH-000291,-0.36406293958700003
ACH-000293,-0.41106347078
ACH-000294,-0.326976443026
ACH-000295,-0.654865721197
ACH-000296,-0.169258221397
ACH-000302,-0.505943845974
ACH-000304,-0.20192538738899998
ACH-000307,-0.141932433648
ACH-000308,-0.217627024336
ACH-000310,-0.30253064405499996
ACH-000311,-0.0574929016022
ACH-000312,-0.125687109651
ACH-000315,0.0026215690681799996
ACH-000316,-0.150466073733
ACH-000317,-0.100821438878
ACH-000318,-0.28599989736
ACH-000319,-0.299441107012
ACH-000320,0.0568947392362
ACH-000322,0.005834401081939999
ACH-000323,-0.400944222526
ACH-000324,-0.341772659549
ACH-000329,-0.18130546392299998
ACH-000330,-0.180961729426
ACH-000331,-0.144699295034
ACH-000332,-0.28872836513300004
ACH-000334,-0.554454052452
ACH-000335,0.258628278706
ACH-000336,-0.371698615492
ACH-000337,-0.321076711129
ACH-000339,-0.24301506258400002
ACH-000341,-0.374530244793
ACH-000348,-0.103972948742
ACH-000350,-0.312244955494
ACH-000352,-0.21675523295000002
ACH-000356,-0.328714262134
ACH-000361,-0.3957741073800001
ACH-000362,-0.359447529553
ACH-000363,-0.179266392425
ACH-000364,-0.249928758367
ACH-000365,-0.197148395104
ACH-000366,-0.337776708657
ACH-000368,-0.253498315328
ACH-000374,-0.122501413734
ACH-000375,-0.258777039424
ACH-000376,-0.28368975496800003
ACH-000381,-0.15930966087
ACH-000383,-0.299621729954
ACH-000387,-0.23752908134300002
ACH-000389,-0.326077238845
ACH-000390,-0.383661137521
ACH-000393,-0.241319764737
ACH-000395,-0.512150033944
ACH-000397,-0.264791471419
ACH-000401,-0.28143782219
ACH-000402,-0.203762552244
ACH-000403,-0.407495540224
ACH-000404,-0.0926690671823
ACH-000406,-0.155619272098
ACH-000407,-0.271407651315
