,DIP2B (57609)
ACH-000004,-0.44023334287
ACH-000007,-0.15813003381500002
ACH-000009,-0.167241019579
ACH-000011,-0.187532464249
ACH-000012,-0.397660737201
ACH-000013,-0.425739455313
ACH-000014,-0.0453817183404
ACH-000015,-0.35804319849
ACH-000017,-0.23625536865400001
ACH-000018,-0.10410482382200001
ACH-000019,-0.14445133377299998
ACH-000021,-0.352817219939
ACH-000022,-0.204548258951
ACH-000025,-0.19348497709600002
ACH-000028,-0.276733147575
ACH-000030,-0.18052675899300002
ACH-000035,-0.15909560954399998
ACH-000036,0.031829878905400004
ACH-000037,-0.25830921327899997
ACH-000039,-0.268731005418
ACH-000040,-0.159101639679
ACH-000041,-0.328810794008
ACH-000042,-0.159477576834
ACH-000045,-0.226222133918
ACH-000047,0.010245729452700001
ACH-000052,-0.0331925730465
ACH-000053,-0.23167810135400002
ACH-000054,-0.169633624353
ACH-000055,-0.354835631901
ACH-000060,0.2316685635
ACH-000067,-0.36771108710199996
ACH-000070,-0.254049192469
ACH-000075,-0.080119746365
ACH-000078,-0.313004698629
ACH-000082,-0.390485318578
ACH-000085,-0.11814187763499999
ACH-000086,-0.315676871649
ACH-000087,-0.394121675559
ACH-000092,-0.0444617097434
ACH-000095,0.0120255396994
ACH-000097,-0.271834888221
ACH-000098,-0.0006565755653289999
ACH-000099,-0.24690853200399998
ACH-000108,-0.18701269235800003
ACH-000113,-0.156377914708
ACH-000115,-0.181206545362
ACH-000116,-0.265732725682
ACH-000118,-0.275100855741
ACH-000120,-0.17030255685600001
ACH-000123,-0.46042984577
ACH-000127,0.018254248832900003
ACH-000128,-0.351797709002
ACH-000132,0.0448390065405
ACH-000133,-0.158722383729
ACH-000137,-0.247771568193
ACH-000138,-0.17804484671
ACH-000142,-0.398672414582
ACH-000143,-0.17553952588799998
ACH-000146,-0.25822530349399997
ACH-000148,-0.17868864082400002
ACH-000150,-0.335528348188
ACH-000152,-0.229477131449
ACH-000153,-0.317793264741
ACH-000159,-0.175126400017
ACH-000160,-0.196624805729
