,GATAD2A (54815)
ACH-000004,-0.306447707053
ACH-000007,-0.477880124295
ACH-000009,-0.635592013402
ACH-000011,-0.544796208335
ACH-000012,-0.40227494439000006
ACH-000013,-0.48905834713699997
ACH-000014,-0.78574294397
ACH-000015,-0.652553424528
ACH-000017,-0.263955814356
ACH-000018,-0.506627605914
ACH-000019,-0.6526252734260001
ACH-000021,-0.37880067453599997
ACH-000022,-0.503652937134
ACH-000025,-0.57691390698
ACH-000028,-0.8370359284810001
ACH-000030,-0.366629036494
ACH-000035,-0.23472833654
ACH-000036,-1.01734217342
ACH-000037,-0.573095465094
ACH-000039,-0.35202664181800003
ACH-000040,-0.5894565836410001
ACH-000041,-0.428079857968
ACH-000042,-0.412453104745
ACH-000045,-0.383741412949
ACH-000047,-0.420189635983
ACH-000052,-0.537654641461
ACH-000053,-0.599158951466
ACH-000054,-0.5457880835050001
ACH-000055,-0.201866985702
ACH-000060,-0.34236953842600004
ACH-000067,-0.544394691903
ACH-000070,-0.583230795016
ACH-000075,-0.7772369462559999
ACH-000078,-0.385018934355
ACH-000082,-0.525446599226
ACH-000085,-0.515023535894
ACH-000086,-0.682750178526
ACH-000087,-0.41449700457099997
ACH-000092,-0.503506421364
ACH-000095,-0.360358420465
ACH-000097,-0.70669757096
ACH-000098,-0.314577692655
ACH-000099,-0.717310225724
ACH-000108,-0.183646641069
ACH-000113,-0.8342728237100001
ACH-000115,-0.7083854225309999
ACH-000116,-0.561973661667
ACH-000118,-0.504676777215
ACH-000120,-0.338231735936
ACH-000123,-0.554674388706
ACH-000127,-0.330250389345
ACH-000128,-0.351310135915
ACH-000132,-0.340766555046
ACH-000133,-0.44495727865
ACH-000137,-0.480361511956
ACH-000138,-0.581879170483
ACH-000142,-0.870233445367
ACH-000143,-0.271740837573
ACH-000146,-0.46246006517099997
ACH-000148,-0.637522380381
ACH-000150,-0.13317815115999998
ACH-000152,-0.457740961417
ACH-000153,-0.7666484529600001
ACH-000159,-0.6186231748009999
ACH-000160,0.126017810545
ACH-000163,-0.416752672232
ACH-000167,0.085718541517
ACH-000168,-0.5586692793
ACH-000169,-0.417048373783
ACH-000178,-0.483528299144
ACH-000182,-0.40507502171
ACH-000183,-0.422145057513
ACH-000188,-0.617647070882
ACH-000189,-0.7484865764749999
ACH-000190,-0.18804642946
ACH-000198,-0.560255618862
ACH-000204,-0.31251747876499997
ACH-000206,-0.178504274011
ACH-000207,-0.54266975232
ACH-000211,-0.601524736408
ACH-000215,-0.42885600354500003
ACH-000221,-0.714192512566
ACH-000222,-0.542174389089
ACH-000223,-0.259156034741
ACH-000226,-0.43277941025100003
ACH-000227,-0.560918277686
ACH-000228,-0.609979892032
ACH-000231,-0.400479729985
ACH-000232,-0.532072092992
ACH-000233,-0.556714426396
ACH-000234,-0.845706909779
ACH-000235,-0.645533142083
ACH-000237,-0.637043568693
ACH-000238,0.0578171585346
ACH-000243,-0.817450570891
ACH-000244,-0.633341651544
ACH-000246,-0.505367176364
ACH-000248,-0.364434149531
ACH-000250,-0.626694609229
ACH-000251,-0.361310522651
ACH-000253,-0.825212359759
ACH-000255,-0.541272058495
ACH-000256,-0.392243449687
ACH-000257,-0.38934798743199994
ACH-000258,-0.334736951545
ACH-000259,-0.327075784188
ACH-000260,-0.400694076774
ACH-000261,-0.459859399959
ACH-000262,-0.537577497106
ACH-000263,-0.42956446006000004
ACH-000264,-0.48154115388400004
ACH-000265,-0.350705385498
ACH-000266,-0.28686489285100003
ACH-000272,-0.414460431064
ACH-000273,-0.670141466115
ACH-000274,-0.37041504037199996
ACH-000277,-0.354682561922
ACH-000278,-0.382028969264
ACH-000279,-0.217345536626
ACH-000280,-0.49843406816799996
ACH-000281,-0.607696225251
