,HMGCR (3156)
ACH-000004,-1.1124857237899999
ACH-000007,-0.596604324887
ACH-000009,-0.614175941264
ACH-000011,-0.8295315323729999
ACH-000012,-0.7837379069789999
ACH-000013,-0.41232141567900005
ACH-000014,-0.989226413021
ACH-000015,-1.1414943575299998
ACH-000017,-1.04642851436
ACH-000018,-0.9777336110529999
ACH-000019,-0.976923480727
ACH-000021,-0.7479310935819999
ACH-000022,-0.613848841249
ACH-000025,-0.730360825196
ACH-000028,-0.684746574949
ACH-000030,-1.15866707713
ACH-000035,-0.8898205221950001
ACH-000036,-0.792613140238
ACH-000037,-0.641401201088
ACH-000039,-0.48957611621200003
ACH-000040,-0.8803941728740001
ACH-000041,-0.509881465103
ACH-000042,-0.9994956338330001
ACH-000045,-0.908258925825
ACH-000047,-0.91174980776
ACH-000052,-0.507047905291
ACH-000053,-1.03409267787
ACH-000054,-0.8540027329800001
ACH-000055,-0.568225220568
ACH-000060,-0.537965032667
ACH-000067,-0.9207905033920001
ACH-000070,-0.8838402886700001
ACH-000075,-0.39069897923299995
ACH-000078,-0.850997693318
ACH-000082,-0.7069577444349999
ACH-000085,-0.996001344697
ACH-000086,-0.341240776117
ACH-000087,-0.891904485529
ACH-000092,-1.00561347433
ACH-000095,-0.929466685776
ACH-000097,-0.9560464314899999
ACH-000098,-0.29405480178800003
ACH-000099,-0.7021406892800001
ACH-000108,-1.18518518639
ACH-000113,-1.07751223596
ACH-000115,-1.93161057128
ACH-000116,-0.45554785758999994
ACH-000118,-0.9924893950229999
ACH-000120,-0.916968492341
ACH-000123,-1.17284504466
ACH-000127,-0.9518902098630001
ACH-000128,-0.663184964825
ACH-000132,-1.06557050328
ACH-000133,-0.731257308443
ACH-000137,-0.38360388310599997
ACH-000138,-0.8615370244859999
ACH-000142,-0.630221869653
ACH-000143,-1.0247098011
ACH-000146,-1.19594085768
ACH-000148,-0.51860973871
ACH-000150,-0.719531707079
ACH-000152,-0.791489532975
ACH-000153,-0.512064507342
ACH-000159,-0.811964223207
ACH-000160,-1.12669662531
ACH-000163,-0.320156562325
ACH-000167,-0.920723130453
ACH-000168,-0.9595059790989999
ACH-000169,-0.8631256426970001
ACH-000178,-0.904218044348
ACH-000182,-1.08078406276
ACH-000183,-0.740841626593
ACH-000188,-0.792861583869
ACH-000189,-0.912362159803
ACH-000190,-0.8085297638050001
ACH-000198,-0.719161768712
ACH-000204,-0.768384835905
ACH-000206,-0.7496167256499999
ACH-000207,-1.07664206654
ACH-000211,-0.620156855102
ACH-000215,-0.5674020070470001
ACH-000221,-0.250296207911
ACH-000222,-0.98641663116
ACH-000223,-0.898788209877
ACH-000226,-0.736455476199
ACH-000227,-0.973826463127
ACH-000228,-0.715632121422
ACH-000231,-0.377851435946
ACH-000232,-0.7016462065360001
ACH-000233,-1.0277800008
ACH-000234,-1.10877294477
ACH-000235,-1.1551211345299999
ACH-000237,-0.6055051957
ACH-000238,-0.546518768906
ACH-000243,-0.905415243222
ACH-000244,-0.21451148356199998
ACH-000246,-0.884800053188
ACH-000248,-0.649285901525
ACH-000250,-0.7432773868639999
ACH-000251,-0.6388902966560001
ACH-000253,-1.23208781354
ACH-000255,-0.782231454047
ACH-000256,-0.7205328158259999
ACH-000257,-0.901211191884
ACH-000258,-0.7434279118070001
ACH-000259,-0.982397413477
ACH-000260,-0.8900274202449999
ACH-000261,-1.0466134804
ACH-000262,-1.1760920475499999
ACH-000263,-1.17241631235
ACH-000264,-1.04247462829
ACH-000265,-0.855357832871
ACH-000266,-0.977231640612
ACH-000272,-0.743123369443
ACH-000273,-0.7953218069239999
ACH-000274,-0.940419821858
ACH-000277,-0.932908040138
ACH-000278,-1.2404057895899998
ACH-000279,-0.523357314665
ACH-000280,-0.616864926003
ACH-000281,-0.7714850688860001
ACH-000288,-0.559125162593
ACH-000291,-0.7874685588570001
ACH-000293,-0.41652049692800003
ACH-000294,-1.09291868916
ACH-000295,-0.8016297728740001
ACH-000296,-0.6955279128149999
ACH-000302,-1.16240861088
ACH-000304,-1.31754296653
ACH-000307,-0.689264914722
ACH-000308,-0.8594741389899999
ACH-000310,-0.8837739399950001
ACH-000311,-1.0384633103799998
ACH-000312,-0.792455895058
ACH-000315,-1.14573471039
ACH-000316,-0.705543261374
ACH-000317,-0.902451486022
ACH-000318,-0.966566087374
ACH-000319,-0.783191268423
ACH-000320,-0.864368919993
ACH-000322,-1.11119652964
ACH-000323,-0.281328696148
ACH-000324,-0.8219149522920001
ACH-000329,-0.692486849954
ACH-000330,-0.5758810710310001
ACH-000331,-0.787712114797
ACH-000332,-0.775479581583
ACH-000334,-1.46028942794
ACH-000335,-0.622585963601
ACH-000336,-0.621791250875
ACH-000337,-0.932946676749
ACH-000339,-0.8434364500910001
ACH-000341,-1.3046241320799998
ACH-000348,-1.19624595617
ACH-000350,-0.916309861385
ACH-000352,-0.9980603360510001
ACH-000356,-0.709191465406
ACH-000361,-0.9358418719399999
ACH-000362,-0.884504250275
ACH-000363,-1.1485541000000001
ACH-000364,-0.8270814684700001
ACH-000365,-0.984895633248
ACH-000366,-0.664020489236
ACH-000368,-0.106213743086
ACH-000374,-0.459003358139
ACH-000375,-1.00293528376
ACH-000376,-0.860706250931
ACH-000381,-0.810537306109
ACH-000383,-0.7260942935019999
ACH-000387,-0.863586417998
ACH-000389,-0.514001718601
ACH-000390,-0.898832783979
ACH-000393,-0.312708085576
ACH-000395,-1.11280175406
ACH-000397,-0.6893762099580001
ACH-000401,-1.2321988936100001
ACH-000402,-0.583894351029
ACH-000403,-0.9647788512200001
ACH-000404,-1.1145710697
ACH-000406,-0.731656590826
ACH-000407,-0.441235305715
ACH-000408,-0.869887936796
ACH-000410,-0.9484905709729999
ACH-000411,-0.93210976252
ACH-000414,-1.09972017862
ACH-000415,-0.670070009146
ACH-000416,-1.0979601881399998
ACH-000420,-0.793208166128
ACH-000421,-0.608299600208
ACH-000424,-0.7668809882590001
ACH-000425,-0.9320570603280001
ACH-000426,-1.31336039074
ACH-000427,-0.636218357034
ACH-000433,-0.6850055985310001
ACH-000436,-0.8891242082520001
ACH-000444,-0.9365549885240001
ACH-000445,-0.711307004425
ACH-000448,-0.9682438975669999
ACH-000450,-1.2451341325799998
ACH-000452,-0.644259826269
ACH-000454,-0.366848763626
ACH-000458,-0.659365662081
ACH-000459,-1.5956559131999999
ACH-000460,-0.67167421834
ACH-000461,-0.8515827807449999
ACH-000463,-0.696463096603
ACH-000464,-0.862867931091
ACH-000466,-1.07097329221
ACH-000467,-0.8826487062389999
ACH-000468,-0.688697605635
ACH-000469,-0.35397599472900004
ACH-000470,-0.589068085143
ACH-000471,-0.677804082839
ACH-000472,-0.547201088799
ACH-000473,-0.316467611284
ACH-000475,-0.564140826807
ACH-000476,-0.743704714525
ACH-000477,-1.46224924744
ACH-000480,-0.303920986415
ACH-000481,-0.6694961663210001
ACH-000483,-0.7194004097329999
ACH-000484,-0.8354297206100001
ACH-000485,-0.566000234012
ACH-000486,-1.1063011359700001
ACH-000487,-0.926753105051
ACH-000488,-0.8947603853139999
ACH-000490,-0.640291354864
ACH-000491,-1.2047865229
ACH-000495,-0.383764082965
ACH-000496,-0.820454931207
ACH-000499,-0.305824101332
ACH-000500,-0.474966168512
ACH-000502,-0.9244908975020001
ACH-000503,-0.701217762107
ACH-000505,-0.982619620742
ACH-000507,-0.970480729445
ACH-000510,-0.859917066929
ACH-000511,-1.04272612739
ACH-000512,-0.392363188182
ACH-000516,-0.5559085019969999
ACH-000517,-1.1390226282
ACH-000518,-0.842481406017
ACH-000520,-0.581759935637
ACH-000521,-0.850829402326
ACH-000522,-0.741251013248
ACH-000524,-0.946451615702
ACH-000527,-0.961294201048
ACH-000528,-1.06574375479
ACH-000537,-1.17831646479
ACH-000541,-0.281563852768
ACH-000542,-0.782929356657
ACH-000544,-0.606949444996
ACH-000545,-0.613077614185
ACH-000547,-0.6875420344930001
ACH-000548,-1.07582302444
ACH-000549,-0.798695958068
ACH-000550,-0.622127218182
ACH-000552,-0.5347330861990001
ACH-000556,-0.919769679295
ACH-000557,-0.7181737950229999
ACH-000570,-0.934462103295
ACH-000571,-0.9891923259759999
ACH-000573,-1.2008717935700002
ACH-000576,-1.16300605813
ACH-000580,-0.929208037614
ACH-000584,-0.8399477845290001
ACH-000585,-1.0231885645999999
ACH-000588,-0.54247910842
ACH-000589,-0.9444460438879999
ACH-000591,-0.23003436017200002
ACH-000593,-0.730277635983
