,UACA (55075)
ACH-000004,0.0241922980551
ACH-000007,-0.227395555306
ACH-000009,-0.278248451172
ACH-000011,0.013053808287700001
ACH-000012,-0.260267485678
ACH-000013,-0.0406903950633
ACH-000014,-0.055221332967499995
ACH-000015,-0.0551643975771
ACH-000017,0.0008910711183310001
ACH-000018,-0.053040013079000005
ACH-000019,-0.120241388068
ACH-000021,-0.00527276535299
ACH-000022,-0.11701295838400001
ACH-000025,-0.086993842156
ACH-000028,0.0564351787595
ACH-000030,-0.23728793855799998
ACH-000035,-0.0489404564463
ACH-000036,-0.151844154443
ACH-000037,-0.232684792625
ACH-000039,-0.17649884252599998
ACH-000040,-0.0103823189502
ACH-000041,-0.0691661874675
ACH-000042,-0.114400893447
ACH-000045,0.0644478683614
ACH-000047,-0.0429712956993
ACH-000052,-0.411505194452
ACH-000053,-0.028766430133500002
ACH-000054,-0.260020346855
ACH-000055,0.08135864245010001
ACH-000060,0.0264086327929
ACH-000067,-0.141613398122
ACH-000070,0.152248427233
ACH-000075,-0.217902736983
ACH-000078,-0.248703354297
ACH-000082,-0.00122515855071
ACH-000085,0.0915590628307
ACH-000086,-0.303598076893
ACH-000087,-0.08827926588410001
ACH-000092,-0.0831209603468
ACH-000095,-0.130710477124
ACH-000097,0.0452077391733
ACH-000098,0.0438221582267
ACH-000099,-0.16081745978700002
ACH-000108,-0.1252626752
ACH-000113,-0.19506327069
ACH-000115,-0.13047110188
ACH-000116,-0.169671303706
ACH-000118,0.07034823521189999
ACH-000120,-0.128841266314
ACH-000123,0.027387388320900003
ACH-000127,-0.03578500477669999
ACH-000128,-0.017347126789799997
ACH-000132,-0.41147087451700004
ACH-000133,-0.115865454301
ACH-000137,-0.033806242727700005
ACH-000138,0.0700155389225
ACH-000142,-0.137839919627
ACH-000143,0.0576495387947
ACH-000146,-0.182562980383
ACH-000148,-0.127052866815
ACH-000150,-0.102099780243
ACH-000152,0.0640511861663
ACH-000153,-0.292178021518
ACH-000159,-0.09739753404269999
ACH-000160,-0.027694849578999998
ACH-000163,-0.10479966099
ACH-000167,-0.329715812342
ACH-000168,0.12350506176899999
ACH-000169,-0.09467825667860001
ACH-000178,-0.0640002273297
ACH-000182,-0.165000857507
ACH-000183,0.023017169149700003
ACH-000188,0.018869463484400002
ACH-000189,-0.610163220271
ACH-000190,0.231226777045
ACH-000198,-0.130649356969
ACH-000204,-0.109107645472
ACH-000206,-0.0425115624798
ACH-000207,-0.0789088243955
ACH-000211,-0.0943155477465
ACH-000215,-0.122915697992
ACH-000221,-0.197848958661
ACH-000222,-0.131638072192
ACH-000223,-0.263526302996
ACH-000226,-0.0103957107714
ACH-000227,-0.433075911307
ACH-000228,0.109985298265
