,EIF3J (8669)
ACH-000004,-0.234268822493
ACH-000007,-0.494134175669
ACH-000009,-0.5336686881539999
ACH-000011,-0.8292469408409999
ACH-000012,-0.425892699089
ACH-000013,-0.330355333757
ACH-000014,-0.347123870564
ACH-000015,-0.554108920312
ACH-000017,-0.195585868218
ACH-000018,-0.42962248888899995
ACH-000019,-0.342008097471
ACH-000021,-0.45283339237099995
ACH-000022,-0.38145112330200004
ACH-000025,-0.7127357335340001
ACH-000028,-0.488013969737
ACH-000030,-0.56032871098
ACH-000035,-0.5042659544770001
ACH-000036,-0.136183373014
ACH-000037,-0.649037062858
ACH-000039,-0.520701341742
ACH-000040,-0.474899741928
ACH-000041,-0.593728246901
ACH-000042,-0.38785032367399996
ACH-000045,-0.134553541829
ACH-000047,-0.45800550763899994
ACH-000052,-0.742058460389
ACH-000053,-0.578980984994
ACH-000054,-0.612195583239
ACH-000055,-0.558881321623
ACH-000060,-0.290515299474
ACH-000067,-0.5450108777179999
ACH-000070,-0.46431109950599997
ACH-000075,-0.543119682927
ACH-000078,-0.398192829039
ACH-000082,-0.461907229957
ACH-000085,-0.428835310269
ACH-000086,-0.563794938331
ACH-000087,-0.637022034507
ACH-000092,-0.521131946554
ACH-000095,-0.431144476171
ACH-000097,-0.51776309228
ACH-000098,-0.373358159244
ACH-000099,-0.430474981416
ACH-000108,-0.329583458995
ACH-000113,-0.5881816863889999
ACH-000115,-0.580175679833
ACH-000116,-0.311157074773
ACH-000118,-0.649121541245
ACH-000120,-0.482684470855
ACH-000123,-0.41807864293499997
ACH-000127,-0.33033623007199997
ACH-000128,-0.510117781514
ACH-000132,-0.712566299645
ACH-000133,-0.433036498876
ACH-000137,-0.638100582952
ACH-000138,-0.455641200475
ACH-000142,-0.387298229171
ACH-000143,-0.503344992884
ACH-000146,-0.26724386381
ACH-000148,-0.686540403329
ACH-000150,-0.457039983969
ACH-000152,-0.395565132271
ACH-000153,-0.870178886109
ACH-000159,-0.46922870296700003
ACH-000160,-0.45107784172700005
ACH-000163,-0.592493544769
ACH-000167,-0.772813779303
ACH-000168,-0.252863493021
ACH-000169,-0.384015348484
ACH-000178,-0.845550930949
ACH-000182,-0.459621030308
ACH-000183,-0.413667807624
ACH-000188,-0.431891510533
ACH-000189,-0.337357345953
ACH-000190,-0.603973924561
ACH-000198,-0.29918995449499997
