,H1FOO (132243)
ACH-000004,-0.16715874970699998
ACH-000007,-0.0764147729701
ACH-000009,-0.11533381679400001
ACH-000011,-0.303117311071
ACH-000012,-0.09591767123610001
ACH-000013,-0.07779060268299999
ACH-000014,-0.35536861402500003
ACH-000015,-0.158892712141
ACH-000017,-0.035583252901800005
ACH-000018,-0.30075394683699996
ACH-000019,-0.17357041369399998
ACH-000021,-0.249399989507
ACH-000022,-0.12231123394000001
ACH-000025,-0.22563656531999998
ACH-000028,-0.249507866817
ACH-000030,-0.0645039703812
ACH-000035,-0.351849556908
ACH-000036,-0.182140841085
ACH-000037,-0.0851371906897
ACH-000039,-0.245652321327
ACH-000040,-0.022491226787099996
ACH-000041,-0.288747307882
ACH-000042,-0.21253107139400002
ACH-000045,-0.333855278221
ACH-000047,-0.0650618096926
ACH-000052,-0.122315200491
ACH-000053,-0.158344096661
ACH-000054,-0.446392522741
ACH-000055,-0.307791867937
ACH-000060,-0.209178493065
ACH-000067,-0.374954490082
ACH-000070,-0.310395012295
ACH-000075,-0.35315666976
ACH-000078,-0.41323172912100004
ACH-000082,-0.251756524677
ACH-000085,-0.38044484314000004
ACH-000086,-0.215933935491
ACH-000087,0.0159461390099
ACH-000092,-0.19458738559
ACH-000095,-0.428701140427
ACH-000097,-0.162883403679
ACH-000098,-0.11450776179099999
ACH-000099,-0.09816527044639999
ACH-000108,-0.150253215033
ACH-000113,-0.20696798313200002
ACH-000115,-0.351213514841
ACH-000116,-0.298553972093
ACH-000118,-0.246549226847
ACH-000120,-0.122324656383
ACH-000123,-0.24623611795400002
ACH-000127,-0.16711398224500001
ACH-000128,-0.24881889339899999
ACH-000132,-0.12664135457
ACH-000133,-0.30837661052299997
ACH-000137,-0.458681120568
ACH-000138,-0.291148794217
ACH-000142,-0.21389258458799998
ACH-000143,0.027531109552700002
ACH-000146,-0.147871193391
ACH-000148,-0.19535267508
ACH-000150,-0.20795538994100002
ACH-000152,-0.24260284508299998
ACH-000153,-0.19115885414099998
ACH-000159,-0.09754294703060001
ACH-000160,-0.0170660160418
ACH-000163,-0.108862995262
ACH-000167,0.30555959866
ACH-000168,-0.351033129326
ACH-000169,-0.182247325802
ACH-000178,-0.178476701399
ACH-000182,-0.145465572261
ACH-000183,-0.33160543774900003
ACH-000188,-0.18652268773400002
ACH-000189,-0.531918637832
ACH-000190,0.019662737897599997
ACH-000198,-0.180003395905
ACH-000204,-0.12720780116
ACH-000206,-0.034197283064900004
ACH-000207,-0.389521486216
ACH-000211,-0.188638442432
ACH-000215,-0.165184311467
ACH-000221,-0.35600125257
ACH-000222,-0.008767164703790001
ACH-000223,-0.0934650982003
ACH-000226,-0.00922952728461
ACH-000227,-0.204943892322
ACH-000228,-0.189396797086
ACH-000231,-0.170626296723
ACH-000232,-0.116668859884
ACH-000233,-0.287376656096
ACH-000234,-0.394026753941
ACH-000235,-0.1630444063
ACH-000237,-0.00130287541565
ACH-000238,-0.0807772088935
ACH-000243,-0.0656985499465
ACH-000244,-0.34519846480599997
