,ARRDC5 (645432)
ACH-000004,-0.068224326809
ACH-000007,-0.152790631614
ACH-000009,-0.139771377162
ACH-000011,-0.028240410607400002
ACH-000012,-0.20687024998599998
ACH-000013,-0.27195672233
ACH-000014,-0.12524007342399998
ACH-000015,-0.126066674279
ACH-000017,-0.119302988991
ACH-000018,-0.12257260881200001
ACH-000019,0.0722511638962
ACH-000021,-0.103867993539
ACH-000022,-0.105692335905
ACH-000025,-0.219710466243
ACH-000028,-0.212214740758
ACH-000030,-0.10144896671
ACH-000035,-0.242690462505
ACH-000036,0.00821700250797
ACH-000037,-0.109708305361
ACH-000039,-0.00505968404051
ACH-000040,-0.08001193118700001
ACH-000041,-0.264201273359
ACH-000042,-0.00225188532202
ACH-000045,-0.292801986098
ACH-000047,-0.0335084065564
ACH-000052,0.03642642344119999
ACH-000053,-0.101007425123
ACH-000054,-0.149488255282
ACH-000055,-0.16269604862099998
ACH-000060,-0.144844040122
ACH-000067,-0.17494944478500002
ACH-000070,-0.370952247679
ACH-000075,-0.04324538617530001
ACH-000078,-0.0679499806528
ACH-000082,-0.322484383025
ACH-000085,-0.0857551125782
ACH-000086,0.0241881832447
ACH-000087,-0.10705601631200001
ACH-000092,-0.261467369424
ACH-000095,-0.207277295506
ACH-000097,-0.0175081126449
ACH-000098,-0.283745609796
ACH-000099,-0.18626335280099998
ACH-000108,-0.0102297624321
ACH-000113,-0.19073146697700002
ACH-000115,-0.054666259926899996
ACH-000116,-0.218328955165
ACH-000118,0.000320214847093
ACH-000120,-0.000140788620883
ACH-000123,-0.201882586024
ACH-000127,-0.20463754310600002
ACH-000128,-0.12796995897500002
ACH-000132,-0.140560582209
ACH-000133,-0.11933193537100001
ACH-000137,-0.284693407655
ACH-000138,0.0512732672379
ACH-000142,-0.31278415508699997
ACH-000143,-0.208569119981
ACH-000146,-0.221375615856
ACH-000148,0.035934523825500005
ACH-000150,-0.138341054623
ACH-000152,-0.268607416184
ACH-000153,-0.183760180163
ACH-000159,-0.32561722669
ACH-000160,-0.378926235
ACH-000163,-0.167194703263
