,SDSL (113675)
ACH-000004,-0.162764240881
ACH-000007,0.189243591913
ACH-000009,-0.07355129049319999
ACH-000011,-0.15389784162999998
ACH-000012,-0.00223547185706
ACH-000013,-0.076230347189
ACH-000014,-0.202240503841
ACH-000015,-0.0620927248654
ACH-000017,-0.11391740800999998
ACH-000018,-0.106079155547
ACH-000019,-0.22761289398200002
ACH-000021,-0.10356780740900001
ACH-000022,-0.011821608716799999
ACH-000025,-0.09813760437079999
ACH-000028,0.138632353907
ACH-000030,0.0782758723101
ACH-000035,-0.00585038095096
ACH-000036,-0.0463945628613
ACH-000037,-0.266247674079
ACH-000039,-0.0606052415203
ACH-000040,-0.101866738512
ACH-000041,-0.210900261978
ACH-000042,-0.304492505885
ACH-000045,-0.0462827348536
ACH-000047,-0.19781661474800002
ACH-000052,-0.22999357066599999
ACH-000053,0.0320009293659
ACH-000054,-0.201256270595
ACH-000055,-0.13434795915300002
ACH-000060,-0.107223912995
ACH-000067,-0.353630124013
ACH-000070,0.018393763294299998
ACH-000075,0.09209922387839999
ACH-000078,0.16595035801400002
ACH-000082,-0.153322186669
ACH-000085,-0.162993920458
ACH-000086,-0.12491398569399999
ACH-000087,0.09126100763890001
ACH-000092,-0.19635308224
ACH-000095,-0.0300717667517
ACH-000097,-0.0571762086428
ACH-000098,-0.132018672931
ACH-000099,0.181607693354
ACH-000108,-0.0914548281705
ACH-000113,0.0005159137060769999
ACH-000115,-0.0231436642576
ACH-000116,-0.0215227511092
ACH-000118,-0.136842307958
ACH-000120,-0.0251278646041
ACH-000123,0.0050822448902799995
ACH-000127,0.009468182317799998
ACH-000128,-0.206525548832
ACH-000132,0.0771605460597
ACH-000133,-0.126020771028
ACH-000137,0.059404374211
ACH-000138,-0.033484537781
ACH-000142,0.09014860544530001
ACH-000143,0.0064265443427099994
ACH-000146,0.15158096860200002
ACH-000148,-0.0949842223583
ACH-000150,-0.31917930953699997
ACH-000152,-0.19091098227400002
ACH-000153,-0.154066296012
ACH-000159,-0.08077752770289999
ACH-000160,-0.175479554452
ACH-000163,-0.156283203991
ACH-000167,0.22061980668900003
ACH-000168,-0.047138361746500004
ACH-000169,0.161060643937
ACH-000178,-0.048113899951300006
ACH-000182,-0.10214217978800001
ACH-000183,0.0331835709202
ACH-000188,-0.059214603968000004
ACH-000189,0.0659653107111
ACH-000190,-0.0460780042036
ACH-000198,-0.10381186761
ACH-000204,-0.0558073672224
ACH-000206,-0.076061551224
ACH-000207,-0.134338764809
ACH-000211,-0.0608633688875
ACH-000215,-0.106871487669
ACH-000221,0.18194419166200002
ACH-000222,-0.0451482536756
ACH-000223,-0.039262274896
ACH-000226,0.00401677058947
ACH-000227,-0.143581197599
ACH-000228,-0.164361600311
ACH-000231,-0.152853969245
ACH-000232,-0.0756417875842
ACH-000233,-0.013584937338000001
ACH-000234,0.010246670394700001
ACH-000235,-0.128839466462
ACH-000237,-0.210856398853
ACH-000238,-0.327358201292
ACH-000243,-0.0519728250001
ACH-000244,-0.114798990482
ACH-000246,0.0846191488137
ACH-000248,-0.04791049944180001
ACH-000250,-0.06843612330559999
ACH-000251,-0.115952576659
ACH-000253,-0.061068976322099996
ACH-000255,0.117278262093
ACH-000256,-0.019411761287
ACH-000257,0.057022805477200005
ACH-000258,0.0801561107627
ACH-000259,0.00823905537303
ACH-000260,-0.0055127515319899996
ACH-000261,-0.120418676068
ACH-000262,-0.18400623929200002
ACH-000263,-0.22005777984900002
ACH-000264,-0.24510007919500001
ACH-000265,0.00112068906831
ACH-000266,-0.106957719178
ACH-000272,0.0342420002219
ACH-000273,-0.0250927516005
ACH-000274,-0.109868688479
ACH-000277,-0.10665194086799999
ACH-000278,-0.311124994492
