,SYNCRIP (10492)
ACH-000004,-0.247928145309
ACH-000007,-0.188361745708
ACH-000009,-0.34824062782799997
ACH-000011,-0.319839856665
ACH-000012,-0.280743246891
ACH-000013,-0.13766149777
ACH-000014,-0.434167390995
ACH-000015,-0.243983014122
ACH-000017,-0.313899595702
ACH-000018,-0.418543729716
ACH-000019,0.04412677163380001
ACH-000021,-0.331135345378
ACH-000022,-0.219876515581
ACH-000025,-0.7314906481579999
ACH-000028,-0.197880191039
ACH-000030,-0.406048084516
ACH-000035,-0.246306728963
ACH-000036,-0.31551981554200004
ACH-000037,-0.0709494590658
ACH-000039,-0.36426015814
ACH-000040,-0.450083992699
ACH-000041,-0.412760220628
ACH-000042,-0.412183867013
ACH-000045,-0.0481971725091
ACH-000047,-0.28316595932599997
ACH-000052,-0.630372863521
ACH-000053,-0.0467371728367
ACH-000054,-0.53683859996
ACH-000055,-0.8108886187119999
ACH-000060,-0.323823718763
ACH-000067,-0.54244092494
ACH-000070,-0.13935981373
ACH-000075,-0.268667748815
ACH-000078,-0.446208833861
ACH-000082,-0.635849050789
ACH-000085,-0.076610522032
ACH-000086,-0.353762975936
ACH-000087,-0.6493210978
ACH-000092,-0.563209274907
ACH-000095,-0.230362881988
ACH-000097,-0.205353738889
ACH-000098,-0.34384407887900004
ACH-000099,-0.510702136127
ACH-000108,-0.0360692493321
ACH-000113,-0.750944939901
ACH-000115,0.386292558068
ACH-000116,-0.219316106967
ACH-000118,-0.174118455541
ACH-000120,-1.01504408721
ACH-000123,-0.501550998492
ACH-000127,-0.417872333536
ACH-000128,-0.283476079427
ACH-000132,-0.183659943673
ACH-000133,-0.233021001528
ACH-000137,-0.364161117988
ACH-000138,-0.298761146426
ACH-000142,-0.5973788503949999
ACH-000143,-0.738503721099
ACH-000146,-0.185546318503
ACH-000148,-0.0755213190415
ACH-000150,-0.519277600024
ACH-000152,-0.18074521831
ACH-000153,-0.613103486852
ACH-000159,-0.35379012447999997
ACH-000160,-0.523102127577
ACH-000163,-0.528788583327
ACH-000167,-0.10367570356799999
ACH-000168,-0.534305000692
ACH-000169,-0.413943891817
ACH-000178,-0.6126462242140001
ACH-000182,-0.119885550474
ACH-000183,-0.135301369988
ACH-000188,-0.162706932367
ACH-000189,-0.591520038773
ACH-000190,-0.21831827298700002
ACH-000198,-0.979442567564
ACH-000204,-0.386134766253
ACH-000206,-0.746075271825
ACH-000207,-0.6293227640969999
ACH-000211,0.048062541443400005
ACH-000215,-0.159569580206
ACH-000221,-0.582585000507
ACH-000222,-0.30212020075199997
ACH-000223,-0.322568057254
ACH-000226,-0.163932908578
ACH-000227,-0.525650407388
ACH-000228,-0.384092989552
ACH-000231,-0.176607689153
ACH-000232,-0.629937882535
ACH-000233,-0.12127217788799999
ACH-000234,-0.289291696565
ACH-000235,-0.476207566934
ACH-000237,-0.359279980184
ACH-000238,-0.403620200989
ACH-000243,-0.48608401307800003
ACH-000244,-0.144706252258
ACH-000246,-0.115769195744
ACH-000248,-0.1968353943
ACH-000250,0.0052066565796400005
ACH-000251,-0.886068781605
ACH-000253,0.297634065619
ACH-000255,-0.33018648775
ACH-000256,-0.15391770868
ACH-000257,-0.0608498253627
ACH-000258,-0.446254940126
ACH-000259,-0.50166442981
ACH-000260,-0.469533609402
ACH-000261,-0.184778195432
ACH-000262,-0.0140952792691
ACH-000263,-0.605089783304
ACH-000264,-0.256850868796
ACH-000265,-0.11628900135600001
ACH-000266,-0.513305408803
ACH-000272,-0.369839340248
ACH-000273,-0.587513726487
ACH-000274,-0.6098926660180001
ACH-000277,0.152968391753
ACH-000278,-0.256245143424
ACH-000279,-0.497381476285
ACH-000280,-0.520956632861
ACH-000281,-0.44142024686399994
ACH-000288,-0.206384825366
ACH-000291,-0.23196023433899998
ACH-000293,-0.148622352713
ACH-000294,-0.221613535244
ACH-000295,-0.479723851077
ACH-000296,0.0932732095496
ACH-000302,0.12094800217
ACH-000304,-0.566709382416
ACH-000307,-0.699229416092
ACH-000308,-0.332182212623
ACH-000310,-0.420181060271
ACH-000311,-0.802878109431
ACH-000312,-0.327613326888
ACH-000315,-0.7397990560709999
ACH-000316,-0.74333430963
ACH-000317,-0.8678248514129999
ACH-000318,-0.33558105137500005
ACH-000319,-0.646419377778
ACH-000320,-0.572580625556
ACH-000322,-0.7144937005040001
ACH-000323,-0.134718238761
ACH-000324,-0.30928851782
ACH-000329,0.0144248325376
ACH-000330,-0.123772285355
ACH-000331,-0.395436119247
ACH-000332,-0.343524102615
ACH-000334,0.0386724339494
ACH-000335,-0.528339075792
ACH-000336,-1.07495614025
ACH-000337,-0.126362382832
ACH-000339,-0.346238496003
ACH-000341,-0.465760721537
ACH-000348,-0.345626505129
ACH-000350,-0.257476036795
ACH-000352,-0.19586494287999998
ACH-000356,-0.270165905107
ACH-000361,-0.666651433764
ACH-000362,-1.2198766273200001
ACH-000363,-0.799007924934
ACH-000364,-0.515908601328
ACH-000365,-0.570749374238
ACH-000366,-0.299774943189
ACH-000368,-0.510933562244
ACH-000374,-0.7415390429800001
ACH-000375,-1.0109133037
ACH-000376,-0.332131023608
ACH-000381,-0.9007536628309999
ACH-000383,-0.273352982516
ACH-000387,-0.8385189669059999
ACH-000389,-0.04752629713380001
ACH-000390,-0.370924597064
ACH-000393,-0.242773239534
ACH-000395,-0.295644979435
ACH-000397,-0.0516178698725
ACH-000401,-0.742204973273
ACH-000402,0.115974701962
