,TANK (10010)
ACH-000004,-0.0602207280939
ACH-000007,-0.18912530957899998
ACH-000009,-0.36885704953000004
ACH-000011,-0.16973071223900002
ACH-000012,-0.34896388231
ACH-000013,-0.127600510508
ACH-000014,-0.0816713238167
ACH-000015,-0.230572231045
ACH-000017,-0.124834883295
ACH-000018,-0.373221165074
ACH-000019,-0.192263406114
ACH-000021,-0.247380300059
ACH-000022,-0.27224828585099997
ACH-000025,0.057623832787
ACH-000028,-0.25288397380600003
ACH-000030,-0.167558302096
ACH-000035,-0.24349448153499997
ACH-000036,-0.283833027226
ACH-000037,-0.3192028888
ACH-000039,-0.206125616294
ACH-000040,-0.251942540444
ACH-000041,-0.129684111894
ACH-000042,-0.308031251732
ACH-000045,-0.257031815555
ACH-000047,-0.012893952262200001
ACH-000052,-0.415277536778
ACH-000053,-0.322392703833
ACH-000054,-0.25028189867
ACH-000055,-0.00844071284605
ACH-000060,-0.30208851417800003
ACH-000067,-0.288593251629
ACH-000070,-0.384241214555
ACH-000075,-0.0971021637559
ACH-000078,-0.319540466249
ACH-000082,-0.208023470381
ACH-000085,-0.49660592948
ACH-000086,-0.222950522051
ACH-000087,-0.27330564894000003
ACH-000092,-0.593290600536
ACH-000095,-0.341094232087
ACH-000097,-0.265755631305
ACH-000098,-0.225835054859
ACH-000099,-0.18259693888099998
ACH-000108,-0.337081369557
ACH-000113,-0.20357723837000002
ACH-000115,-0.165704269969
ACH-000116,-0.08501344883850001
ACH-000118,-0.290706399946
ACH-000120,-0.223542823691
ACH-000123,-0.287995992376
ACH-000127,-0.214834963459
ACH-000128,-0.320360495982
ACH-000132,-0.263387036486
ACH-000133,-0.280630392174
ACH-000137,-0.271943851142
ACH-000138,-0.293267501901
ACH-000142,-0.256252571574
ACH-000143,-0.24127822887400002
ACH-000146,-0.204725475618
ACH-000148,-0.32889963565200003
ACH-000150,-0.157638586141
ACH-000152,-0.35454596665
ACH-000153,-0.108464222482
ACH-000159,-0.304057954338
ACH-000160,-0.272955654577
ACH-000163,-0.489434059207
ACH-000167,-0.18264366293200002
ACH-000168,-0.18981856114
ACH-000169,-0.135832348122
ACH-000178,-0.232900877348
ACH-000182,-0.20478081046799998
ACH-000183,-0.279845095652
ACH-000188,-0.25286795647300003
ACH-000189,-0.12420960408
ACH-000190,-0.46387203524099996
ACH-000198,-0.235339289822
ACH-000204,-0.325785418653
ACH-000206,-0.14529046913899998
ACH-000207,-0.23692802062600002
ACH-000211,-0.292437668915
ACH-000215,-0.23435535116599998
ACH-000221,-0.09482528555099999
ACH-000222,-0.23202779620900002
ACH-000223,-0.415481768367
ACH-000226,-0.127949928784
ACH-000227,-0.333781382433
ACH-000228,-0.257333638957
ACH-000231,-0.158652566159
ACH-000232,-0.20339849192
ACH-000233,-0.290371937694
ACH-000234,-0.307895071674
ACH-000235,-0.23119172716800002
ACH-000237,-0.253856844026
ACH-000238,-0.259617342729
ACH-000243,-0.268266932535
ACH-000244,0.021849273869500002
ACH-000246,-0.324896079875
ACH-000248,-0.310512082935
ACH-000250,-0.17687281692600001
ACH-000251,-0.00796107745164
ACH-000253,-0.253538062181
ACH-000255,-0.206646794784
ACH-000256,-0.240934664461
ACH-000257,-0.32635572513
ACH-000258,-0.278420854571
ACH-000259,-0.24679104513300001
ACH-000260,-0.295800721506
ACH-000261,-0.144304688925
ACH-000262,0.26283335452
ACH-000263,-0.315072851562
ACH-000264,-0.233738436504
ACH-000265,-0.31500933083
ACH-000266,-0.189626902934
ACH-000272,-0.300280298043
ACH-000273,-0.338617074922
ACH-000274,-0.403736251239
ACH-000277,-0.193211930982
ACH-000278,-0.250772948424
ACH-000279,-0.21451741678800001
ACH-000280,-0.0816290537813
ACH-000281,-0.306482675481
ACH-000288,-0.157071860064
ACH-000291,-0.40191130678099996
ACH-000293,-0.47103510741899995
ACH-000294,-0.106199993696
ACH-000295,-0.274589910724
ACH-000296,0.0702575313392
ACH-000302,-0.297541733209
ACH-000304,-0.206055740435
ACH-000307,-0.333365768954
ACH-000308,-0.421985862093
ACH-000310,-0.350898892919
ACH-000311,-0.49854284890699996
ACH-000312,-0.4556032857399999
ACH-000315,-0.174494582432
ACH-000316,-0.162443700833
ACH-000317,-0.209271361852
ACH-000318,-0.327889430067
ACH-000319,-0.04897881248219999
ACH-000320,-0.459665531071
ACH-000322,-0.302439790216
ACH-000323,-0.166706533496
ACH-000324,-0.282513988738
ACH-000329,-0.414766050505
ACH-000330,-0.0949813113483
ACH-000331,-0.312732961811
ACH-000332,-0.354345572091
ACH-000334,0.132604977127
ACH-000335,-0.12407505695900001
ACH-000336,-0.244500926385
ACH-000337,-0.201291390768
ACH-000339,-0.21291998592300002
ACH-000341,-0.459231669006
ACH-000348,-0.293122910012
ACH-000350,-0.21465292990600002
ACH-000352,-0.323072147984
ACH-000356,-0.39626605873599996
ACH-000361,-0.260141379224
ACH-000362,-0.192895223648
ACH-000363,-0.214365790689
ACH-000364,-0.511039715453
ACH-000365,-0.36626030956699995
ACH-000366,-0.262415019265
ACH-000368,-0.16982361869600002
ACH-000374,-0.449085215815
ACH-000375,-0.13764696457
ACH-000376,-0.22190046297
ACH-000381,-0.158883858126
ACH-000383,-0.27813018949
ACH-000387,-0.22175190856199997
ACH-000389,-0.339416441721
ACH-000390,-0.34577896659999996
ACH-000393,-0.356781362792
ACH-000395,-0.0008592272883220001
ACH-000397,-0.351149682641
ACH-000401,-0.164588453737
ACH-000402,0.12872040060599999
ACH-000403,-0.321007181835
ACH-000404,-0.10875829873500001
ACH-000406,-0.278446428052
ACH-000407,-0.302164686127
ACH-000408,-0.14491181229800001
ACH-000410,-0.41026940088200003
ACH-000411,-0.293155425321
ACH-000414,-0.462059722965
ACH-000415,-0.429855671198
ACH-000416,-0.364023243645
ACH-000420,-0.193113624723
ACH-000421,-0.220763853394
ACH-000424,-0.33560843463
ACH-000425,-0.441923661669
ACH-000426,-0.22935668767099998
ACH-000427,-0.15814252328700001
ACH-000433,-0.264218743602
ACH-000436,-0.24910556945999998
ACH-000444,-0.173100097331
ACH-000445,-0.041581304468699995
ACH-000448,-0.330395568191
ACH-000450,-0.259751773217
ACH-000452,-0.15799626177200002
ACH-000454,0.0022440741121999997
ACH-000458,-0.233432634957
ACH-000459,-0.243851879439
ACH-000460,-0.334288907298
ACH-000461,-0.150883807475
ACH-000463,-0.331492744986
ACH-000464,-0.13607219068600002
ACH-000466,-0.327102568649
ACH-000467,-0.139274025191
ACH-000468,-0.141921025919
ACH-000469,-0.209651671823
ACH-000470,-0.341761365136
ACH-000471,-0.308452954606
ACH-000472,-0.22870321635699997
ACH-000473,-0.343935825095
ACH-000475,-0.36815686893
ACH-000476,-0.147639112966
ACH-000477,-0.260679277516
ACH-000480,-0.43384546513899996
ACH-000481,-0.145571824242
ACH-000483,-0.484703838637
ACH-000484,-0.27255568364300004
ACH-000485,-0.23741960186099997
ACH-000486,-0.286304530366
ACH-000487,-0.262625825222
ACH-000488,-0.299868756871
ACH-000490,-0.24667136986299998
ACH-000491,-0.39146945482100004
ACH-000495,-0.544132153355
ACH-000496,-0.352445817437
ACH-000499,-0.265054364503
ACH-000500,-0.282131105343
ACH-000502,-0.283903692507
ACH-000503,-0.000781216112091
ACH-000505,-0.37931492372299996
ACH-000507,-0.25239779350499997
ACH-000510,-0.546851741555
ACH-000511,-0.310721753429
ACH-000512,-0.234814706677
ACH-000516,-0.29761223820099997
ACH-000517,-0.126583700178
ACH-000518,-0.260702494829
ACH-000520,-0.21138694701900002
ACH-000521,-0.437455600796
ACH-000522,-0.23835861377099998
ACH-000524,-0.147197330132
ACH-000527,-0.22501579086100001
ACH-000528,-0.223209281173
ACH-000537,-0.306652848304
ACH-000541,-0.0353953180563
ACH-000542,-0.25664518029100003
ACH-000544,-0.367144323728
ACH-000545,-0.317536691489
ACH-000547,-0.308003658575
ACH-000548,-0.22931456831900002
ACH-000549,-0.190331927018
