,RTF1 (23168)
ACH-000004,-0.463669011579
ACH-000007,-0.487684413667
ACH-000009,-0.804647038143
ACH-000011,-0.698485745781
ACH-000012,-0.708320639771
ACH-000013,-0.702847572841
ACH-000014,-0.651224709362
ACH-000015,-0.634222372014
ACH-000017,-0.9393793719910001
ACH-000018,-0.62459734683
ACH-000019,-0.5560579208850001
ACH-000021,-0.883364908371
ACH-000022,-0.704820503037
ACH-000025,-0.8476101938249999
ACH-000028,-0.534187634659
ACH-000030,-0.810055149554
ACH-000035,-0.717337207716
ACH-000036,-0.644177513301
ACH-000037,-0.737841453789
ACH-000039,-0.73843267103
ACH-000040,-0.44952089537900003
ACH-000041,-0.709382564471
ACH-000042,-0.665473734352
ACH-000045,-0.683694652536
ACH-000047,-0.749123343895
ACH-000052,-0.591416774451
ACH-000053,-0.8045285818260001
ACH-000054,-0.62313882785
ACH-000055,-0.766775314193
ACH-000060,-0.7375295682549999
ACH-000067,-0.553961251554
ACH-000070,-0.569063761139
ACH-000075,-0.7312911249869999
ACH-000078,-0.470817301755
ACH-000082,-0.864975107633
ACH-000085,-0.45930969709299996
ACH-000086,-0.6545716763480001
ACH-000087,-0.758927527766
ACH-000092,-0.65353747187
ACH-000095,-0.67980684286
ACH-000097,-0.5912199616780001
ACH-000098,-0.371920416466
ACH-000099,-0.49529395939
ACH-000108,-0.696455569514
ACH-000113,-0.532281204679
ACH-000115,-0.7444211914669999
ACH-000116,-0.785382648074
ACH-000118,-0.753347309958
ACH-000120,-0.85679380574
ACH-000123,-0.71489181662
ACH-000127,-0.656767808588
ACH-000128,-0.836562510148
ACH-000132,-1.05666391142
ACH-000133,-0.782103274208
ACH-000137,-0.5489873336209999
ACH-000138,-0.6564412094609999
ACH-000142,-0.5741444190330001
ACH-000143,-0.8727248618539999
ACH-000146,-0.8889070454200001
ACH-000148,-0.745088640702
ACH-000150,-0.608980674853
ACH-000152,-0.8348620087909999
ACH-000153,-0.596130175066
ACH-000159,-0.7386114858120001
ACH-000160,-0.833057651207
ACH-000163,-0.822204919354
ACH-000167,-0.677604420528
ACH-000168,-0.8159344685969999
ACH-000169,-0.750176191503
ACH-000178,-0.531009374898
ACH-000182,-0.636402451739
ACH-000183,-0.658287046179
ACH-000188,-0.605930039156
ACH-000189,-0.5352908999379999
ACH-000190,-0.8324471734990001
ACH-000198,-0.8370973480399999
ACH-000204,-0.72428533741
ACH-000206,-0.8279440403689999
ACH-000207,-0.659891257202
ACH-000211,-0.561788929886
ACH-000215,-0.511864680132
ACH-000221,-0.636491037676
ACH-000222,-0.940264134279
ACH-000223,-1.0019132828100001
ACH-000226,-0.6777009423620001
ACH-000227,-0.7575782488439999
ACH-000228,-0.64080601678
ACH-000231,-0.68436266676
ACH-000232,-0.622434338154
ACH-000233,-1.04787776279
ACH-000234,-0.9663272867039999
ACH-000235,-0.7229769055130001
ACH-000237,-0.565260598067
ACH-000238,-0.8539485186820001
ACH-000243,-0.7002792580149999
ACH-000244,-0.28322644838399996
ACH-000246,-0.664476854529
ACH-000248,-0.501969331081
ACH-000250,-0.740907676183
ACH-000251,-0.989658638444
ACH-000253,-0.808116501944
ACH-000255,-0.7865960220039999
ACH-000256,-0.8073495785079999
ACH-000257,-0.6657537576210001
ACH-000258,-0.506510742934
ACH-000259,-0.79783545016
ACH-000260,-0.674788375971
ACH-000261,-0.8497424294529999
ACH-000262,-0.580253426078
ACH-000263,-0.545808559161
ACH-000264,-0.610400936721
ACH-000265,-0.637839341844
ACH-000266,-0.886970149972
ACH-000272,-0.764458960205
ACH-000273,-0.511362459058
ACH-000274,-0.723809973098
ACH-000277,-0.788075437225
ACH-000278,-0.721052309426
ACH-000279,-0.570034831811
ACH-000280,-0.492491707985
ACH-000281,-0.39464414343599996
ACH-000288,-0.591231753625
ACH-000291,-0.809826218378
ACH-000293,-1.05700265265
ACH-000294,-0.8943952641949999
ACH-000295,-0.406179968616
ACH-000296,-0.671250848249
ACH-000302,-0.8675509087309999
ACH-000304,-0.302192939176
ACH-000307,-0.7505807289659999
ACH-000308,-0.684601629499
ACH-000310,-0.7037105133820001
ACH-000311,-0.670172831341
ACH-000312,-0.646587755773
ACH-000315,-0.9391152555
ACH-000316,-0.205060336305
ACH-000317,-0.32172885519600003
ACH-000318,-0.559349694909
ACH-000319,-0.921020728638
ACH-000320,-0.41792850393799996
ACH-000322,-0.53653663321
ACH-000323,-0.588796715811
ACH-000324,-0.658528991669
ACH-000329,-0.51394683756
ACH-000330,-0.249118303506
ACH-000331,-0.66134366837
ACH-000332,-0.630471349442
ACH-000334,-0.670678229836
ACH-000335,-0.6413132739140001
ACH-000336,-0.390274471607
ACH-000337,-0.47731061978100003
ACH-000339,-0.708735359516
ACH-000341,-0.6116707648399999
ACH-000348,-0.726023218427
ACH-000350,-0.8065203694490001
ACH-000352,-0.947703856655
ACH-000356,-0.651392980689
ACH-000361,-0.659892544566
ACH-000362,-0.9161193583700001
ACH-000363,-0.811342345211
ACH-000364,-0.727752685813
ACH-000365,-0.691004398177
ACH-000366,-0.519702865499
ACH-000368,-0.82823406745
ACH-000374,-0.664427889503
ACH-000375,-0.8166664932690001
ACH-000376,-0.7067307896330001
ACH-000381,-0.7344827560189999
ACH-000383,-0.697341041726
ACH-000387,-0.762727944466
ACH-000389,-0.66388327145
ACH-000390,-0.508250677377
ACH-000393,-0.8433019124760001
ACH-000395,-0.323678243315
ACH-000397,-0.7917476162970001
