,APCDD1L (164284)
ACH-000004,0.141270631778
ACH-000007,0.360106352543
ACH-000009,0.163835504712
ACH-000011,0.264520877368
ACH-000012,0.219584451501
ACH-000013,0.3210609907
ACH-000014,0.211415995623
ACH-000015,0.263319388866
ACH-000017,0.00611152354829
ACH-000018,0.14728906869
ACH-000019,-0.18553396371599998
ACH-000021,0.352583612201
ACH-000022,0.19189513128
ACH-000025,0.103115151384
ACH-000028,-0.343925846643
ACH-000030,0.157519834836
ACH-000035,0.272297709853
ACH-000036,0.06856741710419999
ACH-000037,0.38404618280999997
ACH-000039,0.042351764005300004
ACH-000040,0.24832501869600002
ACH-000041,0.317842043533
ACH-000042,0.00402709992535
ACH-000045,0.266554897755
ACH-000047,0.124975818105
ACH-000052,0.122841659611
ACH-000053,0.121392968768
ACH-000054,0.17345331366099997
ACH-000055,0.136334796161
ACH-000060,0.343762383288
ACH-000067,0.178908703726
ACH-000070,0.15639524986300002
ACH-000075,-0.0844442933817
ACH-000078,0.155679459124
ACH-000082,0.12360897091499999
ACH-000085,0.167365693091
ACH-000086,0.0778114261965
ACH-000087,0.10517713773199999
ACH-000092,0.159007818368
ACH-000095,0.195122735755
ACH-000097,0.207221877614
ACH-000098,0.350915201496
ACH-000099,0.147179516307
ACH-000108,0.118534570598
ACH-000113,0.15527585697899998
ACH-000115,0.197784381234
ACH-000116,0.18546430974800002
ACH-000118,0.240722480783
ACH-000120,0.17128456675200002
ACH-000123,0.24422734659200002
ACH-000127,0.19048142375500002
ACH-000128,0.19828234299800002
ACH-000132,0.21990412756900002
ACH-000133,0.0313132981813
ACH-000137,0.211417334027
ACH-000138,0.16056382455999998
ACH-000142,0.310124711664
ACH-000143,0.0485980019149
ACH-000146,0.121613884184
ACH-000148,0.26087714423700004
ACH-000150,0.0824813046873
ACH-000152,0.297543419806
ACH-000153,0.236340336915
ACH-000159,0.153182831283
ACH-000160,0.259110745536
ACH-000163,0.192956743547
ACH-000167,0.38919691250200006
ACH-000168,0.133598325332
ACH-000169,0.12542631580900002
ACH-000178,-0.015213288082299999
ACH-000182,0.24633808730099999
ACH-000183,0.10627779344900001
ACH-000188,0.235617178067
ACH-000189,0.10492806002
ACH-000190,0.226544191543
ACH-000198,0.165497925204
ACH-000204,0.284104281484
ACH-000206,0.0490911277073
ACH-000207,0.0553612471244
