,MVB12A (93343)
ACH-000004,-0.17481266213500002
ACH-000007,-0.014395491079799998
ACH-000009,0.178992288601
ACH-000011,-0.10578672559
ACH-000012,-0.09437787549809999
ACH-000013,-0.130152735911
ACH-000014,-0.159120627422
ACH-000015,-0.305185070231
ACH-000017,-0.161664866761
ACH-000018,-0.296830896052
ACH-000019,-0.200038028578
ACH-000021,-0.303255318721
ACH-000022,-0.308950673468
ACH-000025,-0.0437906376009
ACH-000028,-0.11381915891
ACH-000030,-0.126102062563
ACH-000035,-0.332955578614
ACH-000036,-0.061829534484
ACH-000037,-0.0552803862045
ACH-000039,-0.278186195377
ACH-000040,-0.09163761903439999
ACH-000041,-0.0976211553023
ACH-000042,-0.0646502888313
ACH-000045,0.08987017540060001
ACH-000047,-0.10821925771
ACH-000052,0.0164812558601
ACH-000053,-0.08333439271080001
ACH-000054,-0.09266711007470001
ACH-000055,0.0580527520297
ACH-000060,-0.156708116501
ACH-000067,-0.17975868218
ACH-000070,-0.379427260093
ACH-000075,0.0636626028317
ACH-000078,-0.0022757134572800003
ACH-000082,-0.156892430967
ACH-000085,-0.418770782742
ACH-000086,-0.137109511432
ACH-000087,0.0912867030343
ACH-000092,-0.05187210818869999
ACH-000095,-0.195967424715
ACH-000097,-0.23456399983399998
ACH-000098,-0.052850111001599996
ACH-000099,-0.11250064994999999
ACH-000108,-0.0928275785429
ACH-000113,-0.052299140961100006
ACH-000115,-0.275417779784
ACH-000116,-0.266718106819
ACH-000118,0.0154277571703
ACH-000120,0.101671409736
ACH-000123,-0.128295469812
ACH-000127,-0.22799006031100003
ACH-000128,-0.181230816177
ACH-000132,0.042257478792900004
ACH-000133,-0.152419856603
ACH-000137,-0.12146013743100001
ACH-000138,-0.288552051477
ACH-000142,-0.14101638885099999
ACH-000143,-0.256441642179
ACH-000146,-0.22659156397900002
ACH-000148,0.137418927608
ACH-000150,-0.046500839542199995
ACH-000152,-0.200614046046
ACH-000153,0.19284945853399998
ACH-000159,-0.319611004748
ACH-000160,-0.07527519187639999
ACH-000163,-0.294127328496
ACH-000167,-0.327771463188
ACH-000168,-0.267314283591
ACH-000169,-0.161501419367
ACH-000178,-0.0940660685787
ACH-000182,0.060832206642300005
ACH-000183,0.05529638113969999
ACH-000188,-0.134235153861
ACH-000189,-0.048947921151599995
ACH-000190,-0.159352741943
ACH-000198,-0.264689004696
ACH-000204,-0.202756520502
ACH-000206,-0.179846423017
ACH-000207,-0.0574119749701
ACH-000211,-0.22401078150400003
ACH-000215,-0.0861758236885
ACH-000221,-0.120193120621
ACH-000222,-0.23793714475299999
ACH-000223,-0.08070535788269999
ACH-000226,-0.287103113525
ACH-000227,-0.0007029844433680001
ACH-000228,-0.283814321466
ACH-000231,-0.00732290069944
ACH-000232,-0.020897592728900002
ACH-000233,-0.08558854501869999
ACH-000234,-0.432043090293
ACH-000235,-0.167088997481
ACH-000237,-0.0143625283892
ACH-000238,0.0048977540874
ACH-000243,-0.135748988727
ACH-000244,0.011040858689600001
ACH-000246,-0.23504594732200002
ACH-000248,-0.325037606837
ACH-000250,-0.147061568158
ACH-000251,-0.510132418789
ACH-000253,-0.167117576977
ACH-000255,-0.242962718552
ACH-000256,-0.0381637527885
ACH-000257,0.11801840111600001
ACH-000258,0.010208647410299998
ACH-000259,-0.119646143643
ACH-000260,-0.23791402420000002
ACH-000261,-0.243920964315
ACH-000262,-0.24852034388
ACH-000263,-0.195435146541
ACH-000264,-0.007551966302220001
ACH-000265,-0.09694447697419999
ACH-000266,-0.0833532420325
ACH-000272,-0.18979746747200002
ACH-000273,-0.146927627965
ACH-000274,0.0607799078199
ACH-000277,-0.08057089999419999
ACH-000278,-0.0173324432847
ACH-000279,-0.0535175870589
ACH-000280,-0.265285437721
ACH-000281,0.004870929134449999
ACH-000288,0.00196926269908
ACH-000291,-0.03628158191
ACH-000293,-0.202277408962
ACH-000294,-0.159990883467
ACH-000295,0.347849706893
ACH-000296,0.0913841341097
ACH-000302,-0.305664561539
ACH-000304,-0.456859040626
ACH-000307,-0.110745269859
ACH-000308,-0.0738793842724
ACH-000310,0.0394133212265
ACH-000311,-0.023085490059700002
ACH-000312,-0.04650689939119999
ACH-000315,-0.188140680752
ACH-000316,0.04940030628830001
ACH-000317,-0.0165294802625
ACH-000318,-0.34161574761200003
ACH-000319,0.06251002331910001
ACH-000320,0.219484536301
ACH-000322,-0.0206780743706
ACH-000323,-0.09021221499849999
ACH-000324,-0.029968491998299998
ACH-000329,0.0615416133348
ACH-000330,0.125270880918
ACH-000331,-0.045123416549800004
ACH-000332,-0.114967858263
ACH-000334,0.00333301255337
ACH-000335,-0.055621953921800006
ACH-000336,-0.0518892839719
ACH-000337,-0.029493075748999998
ACH-000339,-0.140601809672
ACH-000341,-0.207511327296
ACH-000348,-0.163550724421
ACH-000350,-0.29192702755600003
ACH-000352,-0.27967892397
