,TNNI3K (51086)
ACH-000004,0.128327191924
ACH-000007,0.0361631690031
ACH-000009,0.035079536202300005
ACH-000011,0.10350919450400001
ACH-000012,-0.00508179279619
ACH-000013,0.08978252839430001
ACH-000014,-0.19480953432999998
ACH-000015,0.0765958399544
ACH-000017,0.0395549597134
ACH-000018,0.101057503316
ACH-000019,-0.033307970002900006
ACH-000021,-0.14311342929999998
ACH-000022,0.0356546993342
ACH-000025,-0.009177126502510001
ACH-000028,-0.017374768181900004
ACH-000030,-0.0865499541746
ACH-000035,-0.039284913301
ACH-000036,-0.0296315334852
ACH-000037,0.153124062141
ACH-000039,-0.11736145833900001
ACH-000040,0.19306117523
ACH-000041,0.017335347528
ACH-000042,0.00422410412994
ACH-000045,0.0286519096552
ACH-000047,-0.030168258849999997
ACH-000052,0.044221000753699995
ACH-000053,0.016360826251
ACH-000054,-0.010992840177
ACH-000055,-0.162027136216
ACH-000060,-0.00761827438907
ACH-000067,0.09975994135800001
ACH-000070,0.085038841416
ACH-000075,-0.0175895988464
ACH-000078,0.078389723403
ACH-000082,0.0813130433474
ACH-000085,-0.012505302765500001
ACH-000086,0.018796625993400002
ACH-000087,-0.0361266191435
ACH-000092,0.128743747422
ACH-000095,-0.17483268568799998
ACH-000097,-0.06435592195180001
ACH-000098,0.064288483621
ACH-000099,-0.0467680042885
ACH-000108,0.008701116365839999
ACH-000113,0.010982400189499999
ACH-000115,-0.021232543474499998
ACH-000116,-0.000799205110488
ACH-000118,-0.0422645873831
ACH-000120,0.0027525030036799998
ACH-000123,-0.111650054539
ACH-000127,0.00213006816651
ACH-000128,-0.0361192438004
ACH-000132,-0.125314803293
ACH-000133,0.008028066393050001
ACH-000137,-0.0735369555364
ACH-000138,-0.00867036158142
ACH-000142,0.0346712708553
ACH-000143,0.0033379347483899996
ACH-000146,0.10719146002499999
ACH-000148,0.0147325110233
ACH-000150,-0.0132457491885
ACH-000152,0.0760664030584
ACH-000153,-0.017224399771
ACH-000159,-0.0434588740555
ACH-000160,-0.08834831898569999
ACH-000163,0.08387202419419999
ACH-000167,-0.041117307044900006
ACH-000168,-0.0919040388976
ACH-000169,0.0671314278482
ACH-000178,0.0173400120009
ACH-000182,0.0714348186052
ACH-000183,0.0256982345292
ACH-000188,-0.080958982651
ACH-000189,-0.138176295691
ACH-000190,0.07856352395930001
ACH-000198,-0.061992281125800006
ACH-000204,0.014291221041000002
ACH-000206,-0.0620337206444
ACH-000207,0.035609322013500005
ACH-000211,-0.0169064465649
ACH-000215,-0.0378150139474
ACH-000221,0.0926389826286
ACH-000222,0.0159019150122
ACH-000223,0.0656762654851
ACH-000226,-0.188674980832
ACH-000227,-0.0468139520103
ACH-000228,0.07298101480260001
ACH-000231,-0.0603561514184
ACH-000232,-0.051389767982099994
ACH-000233,0.0130134056625
ACH-000234,0.09133653539629999
ACH-000235,-0.00907455343279
ACH-000237,-0.100990311284
ACH-000238,0.009372520835709998
ACH-000243,-0.0348627604222
ACH-000244,0.021284837563099995
ACH-000246,0.018620129644
ACH-000248,0.0992662668761
ACH-000250,-0.0411349074171
ACH-000251,-0.0973012029423
ACH-000253,0.011397934430499999
ACH-000255,0.0798399143374
ACH-000256,0.011269950703200003
ACH-000257,0.09791948571100001
ACH-000258,-0.0208056989327
ACH-000259,0.0631384775657
ACH-000260,-0.0742230665812
ACH-000261,-0.00900643320316
