,CD2BP2 (10421)
ACH-000004,-0.811788822333
ACH-000007,-0.414872406311
ACH-000009,-0.253376913519
ACH-000011,-0.21830962747699997
ACH-000012,-0.613562153803
ACH-000013,-0.533585988724
ACH-000014,-0.44085585459700005
ACH-000015,-0.43062227959399996
ACH-000017,-0.6844870005310001
ACH-000018,-0.762062300245
ACH-000019,-0.266221837696
ACH-000021,-0.329062482495
ACH-000022,-0.21722332156399998
ACH-000025,-0.8949971257200001
ACH-000028,-0.33517793413
ACH-000030,-0.243115920296
ACH-000035,-0.42164317577
ACH-000036,-0.7843676030169999
ACH-000037,-1.5986069698199998
ACH-000039,-0.5522532772259999
ACH-000040,-0.460885671011
ACH-000041,-0.47888578476099997
ACH-000042,-0.7131039829979999
ACH-000045,-0.5688869480919999
ACH-000047,-0.820412052507
ACH-000052,-0.42239581748800004
ACH-000053,-0.779600249101
ACH-000054,-0.557915005996
ACH-000055,-0.706662569101
ACH-000060,-0.389822268109
ACH-000067,-0.6313449433120001
ACH-000070,-0.553542396443
ACH-000075,-0.537947515471
ACH-000078,-0.48145415494599997
ACH-000082,-1.05121700904
ACH-000085,-0.381635562127
ACH-000086,-0.311031660775
ACH-000087,-0.490614660154
ACH-000092,-0.33730738650700004
ACH-000095,-0.659828733431
ACH-000097,-0.65803895711
ACH-000098,-0.34733429869599997
ACH-000099,-0.288973317066
ACH-000108,-0.48511616130900004
ACH-000113,-0.5166988768699999
ACH-000115,-0.23289603709399997
ACH-000116,-0.371318822632
ACH-000118,-0.7679348291920001
ACH-000120,-0.607975316309
ACH-000123,-0.6380236776789999
ACH-000127,-0.313774265975
ACH-000128,-0.30610894257599996
ACH-000132,-0.424678064164
ACH-000133,-0.7899247284819999
ACH-000137,-0.34227765329599996
ACH-000138,-0.309006884542
ACH-000142,-0.271475448055
ACH-000143,-0.7889824342209999
ACH-000146,-0.675072329993
ACH-000148,-0.930028549893
ACH-000150,-0.257759964098
ACH-000152,-0.563480433736
ACH-000153,-0.706420398973
ACH-000159,-0.6395374430799999
ACH-000160,-0.256919907209
ACH-000163,-0.635372939366
ACH-000167,-0.649290908042
ACH-000168,-0.458569371254
ACH-000169,-0.5599235919600001
ACH-000178,-0.6146129012579999
ACH-000182,-0.46322205908999997
ACH-000183,-0.789279148991
ACH-000188,-0.5728053473470001
ACH-000189,-0.37027572190200003
ACH-000190,-0.580518112462
ACH-000198,-0.519146836942
ACH-000204,-0.5172392830870001
ACH-000206,-0.515319083142
ACH-000207,-0.47573795349
ACH-000211,-0.498928039778
ACH-000215,-0.673738159428
ACH-000221,-0.4570492749
ACH-000222,-0.29553417540300003
ACH-000223,-0.716192661912
ACH-000226,-0.7181672887
ACH-000227,-0.442142623377
ACH-000228,-0.462685783819
ACH-000231,-1.06007956894
ACH-000232,-0.460451008815
ACH-000233,-0.578087692114
ACH-000234,-0.468439113676
ACH-000235,-0.39561903698
ACH-000237,-0.393967571106
ACH-000238,-0.346564855055
ACH-000243,-0.498143937167
ACH-000244,-1.20861755066
ACH-000246,-0.710922292665
ACH-000248,-0.429691844807
ACH-000250,-0.973494336088
ACH-000251,-0.62087712157
ACH-000253,-0.370316192456
ACH-000255,-0.461913114539
ACH-000256,-0.36426913020199997
ACH-000257,-0.346440997088
ACH-000258,-0.554649942475
ACH-000259,-0.23409511353100002
ACH-000260,-0.7990992280179999
ACH-000261,-0.430072863196
ACH-000262,-0.518215986984
ACH-000263,-0.262035226393
ACH-000264,-0.304739535401
ACH-000265,-0.597158549983
ACH-000266,-0.840789701323
ACH-000272,-0.476429278083
ACH-000273,-0.8780883088760001
ACH-000274,-0.5916402614590001
ACH-000277,-0.51251584712
ACH-000278,-0.292473644572
ACH-000279,-0.330284110566
ACH-000280,-0.904467279727
ACH-000281,-0.477321034943
ACH-000288,-0.7183285828389999
ACH-000291,-0.49850280256499996
ACH-000293,-0.443450011611
ACH-000294,0.0528542090997
ACH-000295,-0.478422740612
ACH-000296,-0.444024225849
ACH-000302,-0.321596094492
ACH-000304,-0.582112249447
ACH-000307,-0.535384734687
ACH-000308,-0.34427526869900005
ACH-000310,-0.481176991423
ACH-000311,-0.636392958896
ACH-000312,-0.694729170137
ACH-000315,-0.528298472892
ACH-000316,-0.573645516322
ACH-000317,-0.335255251019
ACH-000318,-0.296079804347
ACH-000319,-0.173552149378
ACH-000320,-0.48825561169299997
ACH-000322,-0.581810668182
ACH-000323,-0.34058637484
ACH-000324,-0.397489059139
ACH-000329,-0.9109607510079999
ACH-000330,-0.622410689886
ACH-000331,-0.589467107375
ACH-000332,-0.36580370933
ACH-000334,-0.9399493942370001
ACH-000335,-0.7098724242290001
ACH-000336,-0.139993157327
ACH-000337,-0.591451415126
ACH-000339,-0.8549179657260001
ACH-000341,-0.498348961837
ACH-000348,-0.641334962223
ACH-000350,-0.591017149164
ACH-000352,-0.295159659225
ACH-000356,-0.602734352464
ACH-000361,-0.34309291693800004
ACH-000362,-0.343586568209
ACH-000363,-0.232643009123
ACH-000364,-0.835225599991
ACH-000365,-0.426336412431
ACH-000366,-0.41736480210199994
ACH-000368,-0.897174054976
ACH-000374,-0.8082221602099999
ACH-000375,-0.5270058211199999
ACH-000376,-0.279669102401
ACH-000381,-0.47701381681599997
ACH-000383,-0.154680350355
ACH-000387,-0.333487281724
ACH-000389,-0.45858197940300005
ACH-000390,-0.32814255950800003
ACH-000393,-0.356127357425
ACH-000395,-0.38909588538900003
ACH-000397,-0.573269656964
ACH-000401,-0.774820575904
ACH-000402,-0.10336425124700001
ACH-000403,-0.45514163122199996
ACH-000404,-0.24537911491099998
ACH-000406,-0.363847183913
ACH-000407,-0.657337258395
ACH-000408,-0.35933606464400003
ACH-000410,-0.381084522482
ACH-000411,-0.47739544030500003
ACH-000414,-0.469308284957
ACH-000415,-0.645042229708
ACH-000416,-0.42330764741899995
ACH-000420,-0.489214204045
ACH-000421,-0.377112606818
ACH-000424,-0.34706289993100004
ACH-000425,-0.521297641911
ACH-000426,-0.421074188125
ACH-000427,-0.7374625144370001
ACH-000433,-0.471414477287
ACH-000436,-0.7693702848280001
ACH-000444,-0.585167521404
ACH-000445,-0.598866552524
ACH-000448,-0.762914872995
ACH-000450,-0.457279093856
ACH-000452,-0.6738571049330001
ACH-000454,-0.307024069743
ACH-000458,-0.562557216588
ACH-000459,-0.6870691767460001
ACH-000460,-0.800770667932
ACH-000461,-0.23718461423300002
ACH-000463,-0.49437235700000004
ACH-000464,-0.625674995577
ACH-000466,-0.721403139302
ACH-000467,-0.4642502804
ACH-000468,-0.654558353424
ACH-000469,-0.430967538914
ACH-000470,-0.5367650029300001
ACH-000471,-0.564664765735
ACH-000472,-0.348525361611
ACH-000473,-0.320043589078
ACH-000475,-0.393835025162
ACH-000476,-0.634595386833
ACH-000477,-0.45479017915200004
ACH-000480,-0.359177023618
ACH-000481,-0.503658048032
ACH-000483,-0.7700599336220001
ACH-000484,-0.629083069828
ACH-000485,-0.515243370331
ACH-000486,-0.419947816983
ACH-000487,-0.8397308486220001
ACH-000488,-0.8632675040369999
ACH-000490,-0.591031314435
ACH-000491,-0.268885887267
ACH-000495,-0.219773268303
ACH-000496,-0.7616392427040001
ACH-000499,-0.604279980555
ACH-000500,-0.495059039748
ACH-000502,-0.722623163558
ACH-000503,-0.231791792293
ACH-000505,-0.871379427337
ACH-000507,-0.19071463844500003
ACH-000510,-0.44904138483999995
ACH-000511,-0.262562478432
ACH-000512,-0.658136531503
ACH-000516,-0.447779769823
ACH-000517,-0.595438831317
ACH-000518,-0.360765850737
ACH-000520,-0.632177701007
ACH-000521,-0.6873317729999999
ACH-000522,-0.257201011021
ACH-000524,-0.41896428055600005
ACH-000527,-0.607694045085
ACH-000528,-0.231777077809
ACH-000537,-0.525791446731
ACH-000541,-0.390707594595
ACH-000542,-0.673875927027
ACH-000544,-0.814427735346
ACH-000545,-0.39278872649999996
ACH-000547,-0.47143640904
ACH-000548,-0.725851416996
ACH-000549,-0.552069868884
ACH-000550,-0.50448960736
ACH-000552,-0.52328870174
ACH-000556,-0.23401102064100002
ACH-000557,-0.639972338196
ACH-000570,-0.23134503312600002
ACH-000571,-0.46844222287500004
ACH-000573,-0.319451719151
ACH-000576,-0.361142518885
