,GTF2A1L (11036)
ACH-000004,-0.21081090540999997
ACH-000007,-0.31244353153
ACH-000009,-0.13525992738700002
ACH-000011,-0.142801796726
ACH-000012,-0.17390431587000002
ACH-000013,-0.0686395248894
ACH-000014,0.035094086556699995
ACH-000015,-0.07113799630789999
ACH-000017,-0.0963457700805
ACH-000018,-0.282703937272
ACH-000019,-0.139509039607
ACH-000021,-0.13981168030899999
ACH-000022,-0.122524491599
ACH-000025,-0.30735289498199997
ACH-000028,-0.217356278052
ACH-000030,-0.212977760289
ACH-000035,-0.42799668957099996
ACH-000036,-0.288760813534
ACH-000037,-0.34149540483199997
ACH-000039,-0.183880664276
ACH-000040,-0.235293360164
ACH-000041,-0.0603811372002
ACH-000042,-0.309917577161
ACH-000045,-0.021730138185
ACH-000047,-0.20324302258299998
ACH-000052,-0.0433949407594
ACH-000053,-0.1580548497
ACH-000054,-0.169930025796
ACH-000055,-0.08688543255680001
ACH-000060,-0.176424588801
ACH-000067,-0.180021993038
ACH-000070,-0.28632742513099996
ACH-000075,-0.154491387702
ACH-000078,-0.0758086983336
ACH-000082,-0.055826309605400005
ACH-000085,-0.0965357800923
ACH-000086,-0.11178521358599999
ACH-000087,-0.307220837347
ACH-000092,-0.280721717613
ACH-000095,-0.24089511784899997
ACH-000097,-0.27823558223
ACH-000098,-0.137271151957
ACH-000099,-0.18573977079100001
ACH-000108,-0.171433734335
ACH-000113,0.019415781046500002
ACH-000115,-0.046090179261900004
ACH-000116,-0.272494247082
ACH-000118,-0.37663238401
ACH-000120,-0.250947250249
ACH-000123,-0.243968685261
ACH-000127,-0.10777903214199999
ACH-000128,-0.15237308124399998
ACH-000132,-0.259077273992
ACH-000133,-0.054800612688300006
ACH-000137,-0.058167540574900006
ACH-000138,-0.157326156547
ACH-000142,-0.233328899342
ACH-000143,-0.21612630691
ACH-000146,-0.109534721415
ACH-000148,-0.0414790600707
ACH-000150,-0.33700892979
ACH-000152,-0.295762622688
ACH-000153,-0.09362858157449999
ACH-000159,-0.182243955782
ACH-000160,0.241577093646
ACH-000163,-0.14243104624800002
ACH-000167,0.5801893639760001
ACH-000168,-0.164839629732
ACH-000169,-0.15143547744799998
ACH-000178,-0.229278123738
ACH-000182,-0.09914739869110001
ACH-000183,-0.0410937330507
ACH-000188,-0.138376268369
ACH-000189,-0.0320266749635
ACH-000190,0.187832167923
ACH-000198,-0.288638164017
ACH-000204,-0.692534300582
ACH-000206,-0.184872744404
ACH-000207,-0.353273808633
ACH-000211,-0.029016133729300002
ACH-000215,-0.165927592481
ACH-000221,-0.23255483755999998
ACH-000222,-0.0195467612219
ACH-000223,-0.237649707846
ACH-000226,-0.328234357486
ACH-000227,-0.370607640347
ACH-000228,-0.263013545194
ACH-000231,-0.175172660113
ACH-000232,-0.11662696493899999
ACH-000233,-0.15375715344000002
ACH-000234,-0.061935234189300005
ACH-000235,-0.185050734342
ACH-000237,-0.233018361823
ACH-000238,-0.276671542536
ACH-000243,-0.224499030193
ACH-000244,-0.16288637189000002
ACH-000246,-0.17410816617400002
ACH-000248,-0.0709884301012
ACH-000250,-0.207159624194
ACH-000251,-0.18867634035300002
ACH-000253,-0.101116734595
ACH-000255,-0.06514976419560001
ACH-000256,-0.172322597566
ACH-000257,-0.354460470827
ACH-000258,-0.174740055005
ACH-000259,-0.207545082095
ACH-000260,-0.181489874911
ACH-000261,-0.152094928404
ACH-000262,-0.256806462651
ACH-000263,-0.453476740663
ACH-000264,-0.17546218365400001
ACH-000265,-0.13362556562
ACH-000266,-0.209460043414
ACH-000272,-0.217832999503
ACH-000273,-0.15637645001199998
ACH-000274,-0.19614785706799998
ACH-000277,-0.0686420601261
ACH-000278,-0.271053249802
ACH-000279,0.0644766845917
ACH-000280,-0.0496886367585
ACH-000281,-0.142244467493
ACH-000288,-0.102047012992
ACH-000291,-0.208585967713
ACH-000293,-0.354877010317
ACH-000294,-0.316944982101
ACH-000295,-0.313199164561
ACH-000296,-0.111086933811
ACH-000302,-0.0635984772421
ACH-000304,-0.135769572237
ACH-000307,-0.23961524831099998
ACH-000308,-0.21046320733399998
ACH-000310,-0.259724053915
ACH-000311,-0.16822748816799998
ACH-000312,-0.199732143937
ACH-000315,-0.329054708657
ACH-000316,-0.164363115218
ACH-000317,-0.310524251812
ACH-000318,-0.303720140221
ACH-000319,-0.41851102226400005
ACH-000320,-0.225135369503
ACH-000322,-0.130590121784
ACH-000323,-0.42093571854199996
ACH-000324,-0.16421646808
ACH-000329,-0.0627278105248
ACH-000330,-0.043460784952999994
ACH-000331,-0.162905917456
ACH-000332,-0.19101104789
ACH-000334,-0.201224318855
ACH-000335,-0.314597176064
ACH-000336,-0.19056934278999998
ACH-000337,-0.16904127693
ACH-000339,-0.067729517515
ACH-000341,0.00863657682131
ACH-000348,-0.138947133487
ACH-000350,-0.116196340873
ACH-000352,-0.20297213295299998
ACH-000356,-0.14585053462300002
ACH-000361,-0.196895996593
ACH-000362,-0.292957899673
ACH-000363,-0.21658822720100002
ACH-000364,-0.139076700721
ACH-000365,-0.183069844638
ACH-000366,-0.226826926095
ACH-000368,-0.289825332503
ACH-000374,-0.241116811923
ACH-000375,-0.157273821801
ACH-000376,-0.2537948217
ACH-000381,-0.268166198678
ACH-000383,-0.0676641982772
ACH-000387,-0.10701771691800001
ACH-000389,-0.192871081952
ACH-000390,-0.266716749781
ACH-000393,-0.176896880531
ACH-000395,0.027883867214900004
ACH-000397,-0.0977072069774
ACH-000401,-0.0699465576985
ACH-000402,-0.373465537904
ACH-000403,-0.14731856446799999
ACH-000404,-0.580831949243
ACH-000406,-0.157367611324
ACH-000407,-0.163046601021
ACH-000408,-0.351283416819
ACH-000410,-0.173872664728
ACH-000411,-0.1084798673
ACH-000414,-0.10647168513000001
ACH-000415,-0.166630297798
ACH-000416,-0.12862459585
ACH-000420,-0.276919524116
ACH-000421,-0.0943825514515
ACH-000424,-0.21875110006700002
ACH-000425,-0.135796106669
ACH-000426,-0.249532717095
ACH-000427,-0.08560975735410001
ACH-000433,-0.13149850335000002
ACH-000436,-0.0665953998403
ACH-000444,-0.29905096741
ACH-000445,0.0676523482393
ACH-000448,-0.34680710611500004
ACH-000450,-0.263506670861
ACH-000452,-0.13124449025499998
ACH-000454,-0.57344518875
ACH-000458,-0.210122207537
ACH-000459,-0.16778877068
ACH-000460,-0.223513993002
ACH-000461,0.057417531259900005
ACH-000463,-0.24379064467300002
ACH-000464,-0.209975260764
ACH-000466,-0.040936502873800004
ACH-000467,-0.117748345576
ACH-000468,-0.20452788608
ACH-000469,-0.0522583407757
ACH-000470,-0.0614377430999
ACH-000471,-0.266957429967
ACH-000472,-0.1796698607
ACH-000473,-0.0132300878841
ACH-000475,-0.139799462135
ACH-000476,-0.160039046647
ACH-000477,-0.201040118976
ACH-000480,-0.251989620663
ACH-000481,0.0227200730401
ACH-000483,-0.25851939022
ACH-000484,-0.24384571178800002
ACH-000485,-0.236253512104
ACH-000486,-0.252182041676
ACH-000487,-0.271937986959
ACH-000488,-0.20881740762499998
ACH-000490,-0.26645827134399996
ACH-000491,-0.183838261023
ACH-000495,-0.17666994443700001
ACH-000496,-0.0355217976691
ACH-000499,0.0326199562072
ACH-000500,-0.237322668294
ACH-000502,-0.07822478733049999
ACH-000503,-0.289007520944
ACH-000505,-0.164761633928
ACH-000507,-0.273915898045
ACH-000510,-0.0969151556395
ACH-000511,-0.257989348541
ACH-000512,-0.122075177732
ACH-000516,-0.302888935861
ACH-000517,-0.0665741581204
ACH-000518,-0.21706395721000002
ACH-000520,-0.143224512578
ACH-000521,-0.123573678593
ACH-000522,-0.38288884131300005
ACH-000524,-0.0313117685865
ACH-000527,-0.16903625997000002
ACH-000528,-0.204691605981
ACH-000537,-0.20445745665399997
ACH-000541,-0.290650647985
ACH-000542,-0.17949968335900002
ACH-000544,-0.261519551622
ACH-000545,-0.183681122374
ACH-000547,0.06634846205099999
ACH-000548,-0.195759926564
ACH-000549,-0.482690684426
ACH-000550,-0.006248418109590001
ACH-000552,-0.26413242190200004
ACH-000556,-0.04788417280590001
ACH-000557,-0.283793538785
ACH-000570,0.00976357270788
ACH-000571,-0.114762235167
ACH-000573,-0.154912140774
ACH-000576,-0.168091180726
ACH-000580,-0.257993798076
ACH-000584,-0.172493384393
ACH-000585,-0.0961207031783
ACH-000588,-0.326420755958
ACH-000589,-0.111405123949
ACH-000591,-0.238455470283
ACH-000593,-0.18749180866300003
ACH-000600,-0.24533807894200002
ACH-000601,-0.133224823964
ACH-000604,0.05248981027369999
ACH-000605,-0.22704834001999996
ACH-000606,-0.161240815682
ACH-000608,-0.209178380319
ACH-000614,-0.280486549683
ACH-000616,-0.111700328651
ACH-000618,-0.262100066269
ACH-000619,-0.31557709634500003
ACH-000620,-0.22226044929000002
ACH-000621,0.00168258885158
ACH-000622,-0.115476869146
ACH-000623,-0.12376591475500001
ACH-000624,-0.25667338515
ACH-000627,-0.12423538903300001
ACH-000630,-0.0998898171792
ACH-000632,-0.170000034219
ACH-000633,-0.0991351153338
ACH-000637,-0.401012831807
ACH-000638,-0.0888701930773
ACH-000646,-0.137221893366
ACH-000647,-0.155814783647
ACH-000648,0.05472730480819999
ACH-000649,-0.14209477939200002
ACH-000651,-0.249735893343
ACH-000652,-0.114910898466
ACH-000653,-0.0710177723348
ACH-000657,-0.15028957314400002
ACH-000658,0.0024138842320200003
ACH-000661,-0.138662556209
ACH-000662,-0.0833374211307
ACH-000663,-0.177795803008
ACH-000665,-0.16833373430799997
ACH-000671,-0.15812149589299998
ACH-000673,-0.140830552454
ACH-000676,-0.176714513778
ACH-000677,-0.06565349431590001
ACH-000681,-0.18991842218
ACH-000682,-0.145585191889
ACH-000683,-0.153342025144
ACH-000684,-0.269573620282
ACH-000688,0.16958533455400002
ACH-000693,-0.260174618393
ACH-000694,-0.257893495581
ACH-000695,-0.0163946009846
ACH-000696,-0.149167625867
ACH-000697,-0.27754048277800003
ACH-000699,-0.12779960254699999
ACH-000701,-0.149236321467
ACH-000706,-0.153383603529
ACH-000711,-0.163158681642
ACH-000713,-0.338905398308
ACH-000714,-0.14912808518600001
ACH-000718,-0.266006882389
ACH-000720,-0.14098850994200002
ACH-000721,-0.288714507475
ACH-000724,-0.21895311347100002
ACH-000725,-0.214094612291
ACH-000732,-0.115401821362
ACH-000734,-0.0324772660887
ACH-000735,-0.08455782884299999
ACH-000736,-0.0863941065967
ACH-000738,-0.11562855908299999
ACH-000746,-0.278281380185
ACH-000747,-0.24371932292800003
ACH-000748,-0.0432403789453
ACH-000753,-0.24820528924199997
ACH-000756,-0.146518238
ACH-000757,-0.057943230587900005
ACH-000758,-0.036376296107300005
ACH-000760,-0.177238056521
ACH-000763,-0.276778966388
ACH-000764,-0.28136504590100003
ACH-000765,-0.05613911278
ACH-000766,-0.20591108150100002
ACH-000767,-0.148082302634
ACH-000768,-0.22159967157
ACH-000769,-0.303925758354
ACH-000770,-0.177488616483
ACH-000771,-0.057301988778999995
ACH-000773,-0.0310959891865
ACH-000776,-0.070397051685
ACH-000777,-0.335334942329
ACH-000778,-0.146533875603
ACH-000781,-0.130229338628
ACH-000782,-0.0518881235812
ACH-000783,-0.0863638391547
ACH-000784,-0.206998989625
ACH-000785,0.0457987485351
ACH-000787,-0.285058718752
ACH-000788,-0.213026654661
ACH-000791,-0.10539973402200001
ACH-000792,-0.134066124033
ACH-000794,-0.28655165725299997
ACH-000796,-0.283136698774
ACH-000799,-0.5202402574589999
ACH-000800,-0.11025969460999999
ACH-000802,-0.112363806231
ACH-000804,-0.5271978428540001
ACH-000805,-0.32540429644200003
ACH-000809,-0.139699096711
ACH-000810,-0.300577268814
ACH-000811,-0.224132855695
ACH-000817,-0.262760551749
ACH-000819,-0.106996325834
ACH-000820,-0.116376922157
ACH-000821,-0.159152236777
ACH-000822,-0.144957095469
ACH-000823,-0.159491073633
ACH-000824,-0.122407214779
ACH-000827,-0.196754277244
ACH-000829,-0.32951874606
ACH-000831,-0.219865415436
ACH-000832,-0.128380566059
ACH-000833,-0.22825497054000002
ACH-000834,-0.0587726806374
ACH-000835,-0.188154776181
ACH-000836,0.168433233889
ACH-000837,-0.0822666406395
ACH-000838,-0.09036995189710001
ACH-000839,-0.114033738565
ACH-000840,-0.119491853861
ACH-000841,-0.21969521732099997
ACH-000843,-0.221364902565
ACH-000846,-0.0953676129304
ACH-000847,-0.104286574396
ACH-000848,-0.0761817518797
ACH-000849,-0.046705289972
ACH-000851,-0.12197770554000001
ACH-000855,-0.337689128746
ACH-000856,-0.223624182617
ACH-000858,-0.182067032203
ACH-000859,-0.146936125184
ACH-000861,-0.0627542277472
ACH-000862,-0.266827170329
ACH-000865,-0.129324470077
ACH-000866,-0.15667376660000001
ACH-000867,-0.178007469263
ACH-000869,-0.45774985190899997
ACH-000872,-0.214812781366
ACH-000873,-0.0622476919597
ACH-000876,-0.07338856788669999
ACH-000878,-0.12284271070399999
ACH-000880,-0.101741782859
ACH-000881,-0.148051127653
ACH-000882,-0.124499334618
ACH-000884,-0.196827789014
ACH-000885,-0.339186856733
ACH-000887,-0.11845026581599999
ACH-000888,-0.17350941295699998
ACH-000889,-0.208952918312
ACH-000890,-0.170089472254
ACH-000896,-0.36749316522799996
ACH-000898,-0.294975619498
ACH-000900,-0.438899173067
ACH-000901,-0.20662717928899998
ACH-000905,-0.212602378046
ACH-000906,-0.19565526629799998
ACH-000907,-0.109435843953
ACH-000910,-0.206295406956
ACH-000911,-0.167530926325
ACH-000912,-0.18974813796300002
ACH-000913,-0.125967627795
ACH-000915,-0.027192384655
ACH-000916,0.09001885562689999
ACH-000917,-0.12436328712400001
ACH-000921,-0.38098613895800004
ACH-000924,-0.327603781704
ACH-000926,-0.25710130066799997
ACH-000928,-0.263481259547
ACH-000929,-0.09844526475919999
ACH-000932,-0.21493831905000002
ACH-000935,-0.14424341076799999
ACH-000936,-0.113808655578
ACH-000937,-0.14499676579600002
ACH-000938,-0.114380828428
ACH-000939,0.29345188583799997
ACH-000941,-0.107913969924
ACH-000943,-0.162366523383
ACH-000946,-0.269731929807
ACH-000947,-0.145552314112
ACH-000948,-0.271748317555
ACH-000950,-0.218484367015
ACH-000953,-0.18312631763
ACH-000957,-0.10369086905
ACH-000958,-0.0761781168069
ACH-000960,-0.13380470968699998
ACH-000963,-0.137496811351
ACH-000968,-0.157594980484
ACH-000969,-0.299491235726
ACH-000973,-0.125014272367
ACH-000974,-0.22099221292
ACH-000975,-0.277211000423
ACH-000976,-0.15159851612800002
ACH-000978,0.670841644784
ACH-000980,-0.11580600326400001
ACH-000984,-0.100912405122
ACH-000986,-0.299044613041
ACH-000988,-0.223731344304
ACH-000993,-0.32718261018100003
ACH-000994,-0.230939799906
ACH-000996,-0.151913695031
ACH-001001,-0.404229901955
ACH-001020,0.159659599644
ACH-001028,-0.196698817092
ACH-001031,-0.267515442815
ACH-001038,-0.227299488834
ACH-001048,-0.17425338200999999
ACH-001050,-0.0485356054067
ACH-001053,-0.0918453152489
ACH-001054,-0.406241668819
ACH-001061,-0.19774682074900002
ACH-001067,-0.181182963329
ACH-001075,-0.209000046508
ACH-001096,-0.196308024725
ACH-001128,1.0658008300700001
ACH-001134,-0.205098561897
ACH-001151,-0.159851174332
ACH-001163,-0.149721363613
ACH-001164,-0.08675722216800001
ACH-001173,-0.125896324367
ACH-001183,-0.153409941652
ACH-001184,-0.233267364137
ACH-001190,-0.275130787117
ACH-001192,-0.233067453866
ACH-001193,-0.19870917794
ACH-001196,-0.256660503731
ACH-001197,-0.123795241625
ACH-001205,-0.220350224445
ACH-001211,0.0934397229673
ACH-001212,-0.45835676747299997
ACH-001228,-0.144392171603
ACH-001232,-0.14150194317099998
ACH-001239,-0.0897853889765
ACH-001274,-0.051064245182600006
ACH-001275,-0.103484677705
ACH-001277,-0.310883024673
ACH-001278,-0.177494811582
ACH-001280,-0.140799105471
ACH-001283,-0.17271590408799997
