,CYB5R1 (51706)
ACH-000004,0.275409862334
ACH-000007,0.00469106633012
ACH-000009,0.023562479342400005
ACH-000011,0.207354876122
ACH-000012,0.167174801513
ACH-000013,0.023862761200000002
ACH-000014,0.0483279047977
ACH-000015,0.12404550040899999
ACH-000017,0.209672564827
ACH-000018,0.212092153924
ACH-000019,0.0241548094153
ACH-000021,0.14407539738800001
ACH-000022,0.11972935786599999
ACH-000025,0.161666793134
ACH-000028,0.0658738680083
ACH-000030,0.07315007457489998
ACH-000035,-0.0201176206418
ACH-000036,0.15391877668099999
ACH-000037,-0.301769054199
ACH-000039,-0.023919282292400004
ACH-000040,0.136224855205
ACH-000041,0.0555171565533
ACH-000042,0.0802985150321
ACH-000045,0.0817551466539
ACH-000047,0.137282465793
ACH-000052,0.188217203621
ACH-000053,0.051858116503099995
ACH-000054,-0.0427604517689
ACH-000055,0.061056876325
ACH-000060,0.161129767606
ACH-000067,0.09305046949410001
ACH-000070,0.0168717323241
ACH-000075,0.0235120084547
ACH-000078,0.23139407934700001
ACH-000082,0.169431497795
ACH-000085,0.0756435239152
ACH-000086,-0.0713915751774
ACH-000087,-0.0329062014638
ACH-000092,0.162675910712
ACH-000095,0.0414747475776
ACH-000097,0.24593331239100003
ACH-000098,0.0950237932624
ACH-000099,0.0628857650182
ACH-000108,0.22851508426199998
ACH-000113,0.0863528371848
ACH-000115,0.148556472484
ACH-000116,-0.0543799548062
ACH-000118,0.132586683016
ACH-000120,-0.015500946908599999
ACH-000123,0.0814794522459
ACH-000127,0.0920979003837
ACH-000128,0.110508849676
ACH-000132,0.06045068240569999
ACH-000133,-0.13907406647099999
ACH-000137,0.0993848703081
ACH-000138,0.08697677333689999
ACH-000142,0.0681324193068
ACH-000143,0.18789283474500001
ACH-000146,0.0660402928421
ACH-000148,0.0684161133369
ACH-000150,0.22457496986900002
ACH-000152,0.199915305803
ACH-000153,-0.237588537243
ACH-000159,0.203933486288
ACH-000160,0.191054018807
ACH-000163,0.07433764331060001
ACH-000167,0.197162686028
ACH-000168,0.18137906373399998
ACH-000169,0.027898482999800002
ACH-000178,0.0741547541412
ACH-000182,0.143542458228
ACH-000183,0.0403667407463
ACH-000188,0.414524114427
ACH-000189,0.052696788493999995
ACH-000190,0.0631581436828
ACH-000198,-0.0409119093547
ACH-000204,-0.0339822715928
ACH-000206,0.13108236014900002
ACH-000207,0.183752672948
ACH-000211,0.199369394368
ACH-000215,-0.038160509818
ACH-000221,0.154338427913
ACH-000222,0.18775516942499998
ACH-000223,0.0250022880087
ACH-000226,0.07244482739210001
ACH-000227,0.203308517068
ACH-000228,0.055874711842099994
ACH-000231,0.0957297472797
ACH-000232,0.152593281759
ACH-000233,-0.00626033725709
ACH-000234,0.00471845663858
ACH-000235,0.0249946158365
ACH-000237,0.131409683969
ACH-000238,0.32317603705
ACH-000243,0.148444996259
ACH-000244,0.22881508442499998
ACH-000246,0.0432168800646
ACH-000248,0.0324231991383
