,SUCLA2 (8803)
ACH-000004,-0.18659432162599998
ACH-000007,-0.021260326872400002
ACH-000009,-0.154794280278
ACH-000011,-0.118814546103
ACH-000012,-0.40823742760399995
ACH-000013,-0.222192983808
ACH-000014,-0.10509468730799999
ACH-000015,-0.24187763492199998
ACH-000017,-0.371407775912
ACH-000018,-0.238841862651
ACH-000019,-0.41627969149300004
ACH-000021,-0.23120260653900002
ACH-000022,-0.0654862429596
ACH-000025,-0.178675768609
ACH-000028,-0.0135788055097
ACH-000030,-0.293602641218
ACH-000035,-0.235515144595
ACH-000036,-0.203447760466
ACH-000037,-0.404932285331
ACH-000039,-0.29957546624299997
ACH-000040,-0.20169157334899998
ACH-000041,-0.0562253607391
ACH-000042,-0.35342781453500005
ACH-000045,-0.287093394842
ACH-000047,-0.022075871369099997
ACH-000052,0.07223125579789999
ACH-000053,-0.161345134213
ACH-000054,-0.155505426801
ACH-000055,-0.245773824368
ACH-000060,-0.334048073345
ACH-000067,-0.300707938083
ACH-000070,-0.9955172456810001
ACH-000075,-0.40164534566200005
ACH-000078,-0.29327548827399996
ACH-000082,-0.191331600584
ACH-000085,-0.09966213701960001
ACH-000086,-0.388237260395
ACH-000087,-0.0348985205441
ACH-000092,-0.271987357265
ACH-000095,-0.241844265819
ACH-000097,-0.240237753976
ACH-000098,-0.0706725199883
ACH-000099,-0.580133204291
ACH-000108,-0.23024506996199998
ACH-000113,0.011983852110999999
ACH-000115,-0.250101623882
ACH-000116,-0.21383900996599997
ACH-000118,-0.202896142275
ACH-000120,-0.109854781461
ACH-000123,-0.195456687945
ACH-000127,-0.0618154852282
ACH-000128,-0.23722933414
ACH-000132,-0.43232795273999997
ACH-000133,-0.35496332094599997
ACH-000137,-0.21551628604000003
ACH-000138,-0.184413918784
ACH-000142,-0.209319071774
ACH-000143,0.0235964775578
ACH-000146,-0.250986368911
ACH-000148,-0.124373777853
ACH-000150,-0.23620688928199998
ACH-000152,-0.364222908116
ACH-000153,0.018232587908900002
ACH-000159,-0.186201633282
ACH-000160,-0.14455389951199998
ACH-000163,-0.103575267943
ACH-000167,-0.0494271118775
ACH-000168,-0.163023513612
ACH-000169,-0.06893663431689999
ACH-000178,-0.0376590105561
ACH-000182,-0.263713575125
ACH-000183,0.034246424456099996
ACH-000188,-0.242127961797
ACH-000189,-0.140465935649
ACH-000190,-0.028830070920799998
ACH-000198,-0.23064168585499997
ACH-000204,-0.566507146067
ACH-000206,-0.0548585994828
ACH-000207,-0.138381478861
ACH-000211,-0.20606405110999998
ACH-000215,-0.13855964078400002
ACH-000221,-0.299629169919
ACH-000222,-0.257659915744
ACH-000223,-0.261852345331
ACH-000226,-0.0646465043234
ACH-000227,0.203157205104
ACH-000228,-0.3668300353
ACH-000231,-0.16706828229100001
ACH-000232,-0.22874314057300002
ACH-000233,-0.202238113786
ACH-000234,-0.341293290933
