,SLC35D1 (23169)
ACH-000004,-0.368051895638
ACH-000007,0.0241247874152
ACH-000009,-0.100207398596
ACH-000011,-0.180755870643
ACH-000012,-0.181137708926
ACH-000013,-0.38391975061300004
ACH-000014,-0.28939138460700004
ACH-000015,-0.049510931423599996
ACH-000017,-0.262649416282
ACH-000018,-0.332967048902
ACH-000019,-0.205854956767
ACH-000021,-0.4024382645699999
ACH-000022,-0.33986705533600003
ACH-000025,-0.1835509837
ACH-000028,-0.21402764821400003
ACH-000030,-0.238435686589
ACH-000035,-0.240063661285
ACH-000036,-0.276089174049
ACH-000037,-0.258324593397
ACH-000039,-0.42728693516599997
ACH-000040,-0.23910689389400003
ACH-000041,-0.198917339391
ACH-000042,-0.232512173996
ACH-000045,-0.347746949418
ACH-000047,-0.257193511233
ACH-000052,-0.0750814350388
ACH-000053,-0.18187440562600002
ACH-000054,-0.342956104129
ACH-000055,-0.4237309381
ACH-000060,-0.369134768119
ACH-000067,-0.5752831961899999
ACH-000070,0.0732774122085
ACH-000075,-0.298018648906
ACH-000078,-0.34426326956299996
ACH-000082,-0.34451483815
ACH-000085,-0.570036513969
ACH-000086,-0.248221197225
ACH-000087,-0.126234392369
ACH-000092,-0.483730082725
ACH-000095,-0.45480191610799997
ACH-000097,-0.346284474138
ACH-000098,-0.22275257758499997
ACH-000099,-0.204967457392
ACH-000108,-0.260599597655
ACH-000113,-0.16910889355099998
ACH-000115,-0.39896192114
ACH-000116,-0.102087991953
ACH-000118,-0.38748593088
ACH-000120,-0.42025625383299997
ACH-000123,-0.150941986365
ACH-000127,-0.167374419171
ACH-000128,-0.124438957273
ACH-000132,-0.37596644310099997
ACH-000133,-0.47672997115500004
ACH-000137,-0.32251328835799997
ACH-000138,-0.246816274091
ACH-000142,-0.165303648172
ACH-000143,-0.128410714093
ACH-000146,-0.157578462315
ACH-000148,-0.011667474731299999
ACH-000150,-0.373729705084
ACH-000152,-0.42193664845299994
ACH-000153,0.0397522612786
ACH-000159,-0.30200964394
ACH-000160,-0.268995626677
ACH-000163,0.09507066426960001
ACH-000167,-0.192855783492
ACH-000168,-0.313439685167
ACH-000169,-0.28362817418499997
ACH-000178,-0.217497474741
ACH-000182,-0.333117208701
ACH-000183,-0.037818325033699994
ACH-000188,-0.244125697982
ACH-000189,-0.153052843913
ACH-000190,-0.261536389674
ACH-000198,-0.222254340918
ACH-000204,-0.1051401698
ACH-000206,-0.840541749536
ACH-000207,-0.197967400408
ACH-000211,-0.286351467709
ACH-000215,-0.3880206415
ACH-000221,0.0121661255133
ACH-000222,-0.703061180981
ACH-000223,-0.35766318663
ACH-000226,-0.33084231644699996
ACH-000227,-0.09128676127180001
ACH-000228,-0.64947867805
ACH-000231,-0.242570740211
ACH-000232,-0.235320776576
ACH-000233,-0.215971340493
ACH-000234,-0.282128651532
ACH-000235,-0.319136776523
ACH-000237,-0.286413064938
ACH-000238,-0.41888419733000004
ACH-000243,-0.340943251144
ACH-000244,-0.288139016803
ACH-000246,-0.285632138156
ACH-000248,-0.3289302609
ACH-000250,-0.333085836547
ACH-000251,-0.501818539362
ACH-000253,-0.35506036524400003
ACH-000255,-0.34289336277800003
ACH-000256,-0.17554882885099998
ACH-000257,-0.161109643286
ACH-000258,-0.175786910902
ACH-000259,-0.23720936777899998
ACH-000260,-0.233457160389
ACH-000261,-0.287086556557
ACH-000262,-0.12873907059599998
ACH-000263,-0.160074286409
ACH-000264,-0.405487070372
ACH-000265,-0.329079420548
ACH-000266,-0.328338545623
ACH-000272,-0.178411235049
ACH-000273,-0.13995384404
ACH-000274,-0.48315536116499996
ACH-000277,-0.205449476428
ACH-000278,-0.513409772493
ACH-000279,-0.474240156387
ACH-000280,-0.532943335535
