,NFE2 (4778)
ACH-000004,-0.793476568692
ACH-000007,-0.270195213791
ACH-000009,-0.294629347674
ACH-000011,-0.395776767013
ACH-000012,-0.30520646652399996
ACH-000013,-0.338536795797
ACH-000014,-0.427503703581
ACH-000015,-0.187296896729
ACH-000017,-0.36294971261299996
ACH-000018,-0.219278370944
ACH-000019,-0.302112649734
ACH-000021,-0.210813137737
ACH-000022,-0.326743350702
ACH-000025,-0.33861932329899996
ACH-000028,-0.261474484347
ACH-000030,-0.169870833822
ACH-000035,-0.295141106215
ACH-000036,-0.17718983171799998
ACH-000037,-0.73971429506
ACH-000039,-0.24704625011
ACH-000040,-0.334488545336
ACH-000041,-0.5780052723929999
ACH-000042,-0.268811925549
ACH-000045,-0.30938964886799997
ACH-000047,-0.295032696865
ACH-000052,-0.23011937245499997
ACH-000053,-0.138243840835
ACH-000054,-0.23220652239599998
ACH-000055,-0.44976721741899994
ACH-000060,-0.314035449004
ACH-000067,-0.274778307445
ACH-000070,-0.337454455909
ACH-000075,-0.46032004993500003
ACH-000078,-0.328544782022
ACH-000082,-0.323651481925
ACH-000085,-0.6687742131109999
ACH-000086,-0.206476382522
ACH-000087,-0.339175428736
ACH-000092,-0.19426628415600003
ACH-000095,-0.23630359982700003
ACH-000097,-0.27361572797
ACH-000098,-0.09362136646260001
ACH-000099,-0.182064272073
ACH-000108,-0.150282748379
ACH-000113,-0.0371948749375
ACH-000115,-0.43701686013999996
ACH-000116,-0.280021596484
ACH-000118,-0.234096658796
ACH-000120,-0.248566720217
ACH-000123,-0.285396297725
ACH-000127,-0.13523038577299998
ACH-000128,-0.33953803326399995
ACH-000132,-0.032180971570700004
ACH-000133,-0.388294987832
ACH-000137,-0.390155364907
ACH-000138,-0.264738298032
ACH-000142,-0.360850626874
ACH-000143,-0.289382381767
ACH-000146,-0.292067691912
ACH-000148,-0.28494894983
ACH-000150,-0.62414507245
ACH-000152,-0.42601293891500003
ACH-000153,-0.414754574954
ACH-000159,-0.245432487054
ACH-000160,-0.0476262378721
ACH-000163,-0.145001905401
ACH-000167,0.188697463352
ACH-000168,-0.6177076122190001
ACH-000169,-0.34049684437100003
ACH-000178,-0.19445009036400002
ACH-000182,-0.343510029934
ACH-000183,-0.36038430635799995
ACH-000188,-0.32083260897
ACH-000189,-0.12280033666899999
ACH-000190,0.20178732046599998
ACH-000198,-0.18386567305100002
ACH-000204,-0.151898646247
ACH-000206,-0.237031905806
ACH-000207,0.0719187953613
ACH-000211,-0.254847627742
ACH-000215,-0.308993285318
ACH-000221,-0.303008684807
ACH-000222,-0.254641342663
ACH-000223,-0.287513572707
ACH-000226,-0.207192214687
ACH-000227,-0.0848789274305
ACH-000228,-0.23568319951699998
ACH-000231,-0.21778730834399998
ACH-000232,-0.129534136283
ACH-000233,-0.14762616010399998
ACH-000234,-0.102406775317
ACH-000235,-0.444519462103
ACH-000237,-0.272715154243
ACH-000238,-0.49019453189900003
ACH-000243,-0.178470124484
ACH-000244,-0.203054542375
ACH-000246,-0.228112519209
ACH-000248,-0.22853731399799998
ACH-000250,-0.209454274511
ACH-000251,-0.477422286276
ACH-000253,-0.27758684666
ACH-000255,-0.274438754724
ACH-000256,-0.225676182845
ACH-000257,-0.240058573571
ACH-000258,-0.447112310166
ACH-000259,-0.326260765583
ACH-000260,-0.160954208225
ACH-000261,-0.343730657648
ACH-000262,-0.320338917265
ACH-000263,-0.440762683301
