,FEM1A (55527)
ACH-000004,-0.205361363422
ACH-000007,-0.334861283795
ACH-000009,-0.235602458952
ACH-000011,-0.38301609846
ACH-000012,-0.632504082974
ACH-000013,-0.35640434320500003
ACH-000014,-0.341988560337
ACH-000015,-0.46203559723000004
ACH-000017,-0.38918069636299996
ACH-000018,-0.725315271911
ACH-000019,-0.467501508026
ACH-000021,-0.41965816925099997
ACH-000022,-0.291798945471
ACH-000025,-0.570706806476
ACH-000028,-0.46375358576700004
ACH-000030,-0.492823648135
ACH-000035,-0.516871107658
ACH-000036,-0.626671630685
ACH-000037,-0.365163770479
ACH-000039,-0.454851897201
ACH-000040,-0.5487051008070001
ACH-000041,-0.53082513092
ACH-000042,-0.37287436717600003
ACH-000045,-0.24928193999099998
ACH-000047,-0.266215226576
ACH-000052,-0.554299890112
ACH-000053,-0.211908577492
ACH-000054,-0.335063577056
ACH-000055,-0.740956563611
ACH-000060,-0.45277533582900004
ACH-000067,-0.644830621458
ACH-000070,-0.554810845718
ACH-000075,-0.5096177670650001
ACH-000078,-0.384002560719
ACH-000082,-0.325476908904
ACH-000085,-0.518000761664
ACH-000086,-0.364810639793
ACH-000087,-0.5499245101829999
ACH-000092,-0.524964090773
ACH-000095,-0.272403005561
ACH-000097,-0.34606244190800006
ACH-000098,-0.43776335944300004
ACH-000099,-0.47920794887199997
ACH-000108,-0.328945941277
ACH-000113,-0.261084267521
ACH-000115,-0.592419381966
ACH-000116,-0.36060540250699996
ACH-000118,-0.299291973059
ACH-000120,0.0208108099932
ACH-000123,-0.343472606328
ACH-000127,-0.506250853067
ACH-000128,-0.397496060193
ACH-000132,-0.589900690896
ACH-000133,-0.614525545005
ACH-000137,-0.675790892366
ACH-000138,-0.193008833904
ACH-000142,-0.761374266025
ACH-000143,-0.523222815467
ACH-000146,-0.224597294604
ACH-000148,-0.335357873304
ACH-000150,-0.46701924791199995
ACH-000152,-0.48388657904700005
ACH-000153,-0.158967210639
ACH-000159,-0.591671331166
ACH-000160,-0.221748204705
ACH-000163,-0.34207519639300005
ACH-000167,0.0845538546463
ACH-000168,-0.425763656693
ACH-000169,-0.48288128206200004
ACH-000178,-0.27174059783000004
ACH-000182,-0.34551505419100004
ACH-000183,-0.489134976081
ACH-000188,-0.57809921005
ACH-000189,-0.0211872617727
ACH-000190,-0.5866315899019999
ACH-000198,-0.495981132311
ACH-000204,-0.35987570835999994
ACH-000206,-0.45168958337
ACH-000207,-0.43749035941299996
ACH-000211,-0.31223356428599996
ACH-000215,-0.35848780913
ACH-000221,-0.480514650756
ACH-000222,-0.27772915118
ACH-000223,-0.652302138368
ACH-000226,-0.270889842101
ACH-000227,-0.416886371889
ACH-000228,-0.551092553842
ACH-000231,-0.368111519842
ACH-000232,-0.6805277747030001
ACH-000233,-0.25004297958
ACH-000234,-0.355295737301
ACH-000235,-0.413622308672
ACH-000237,-0.49712917300399995
ACH-000238,-0.43702835641300003
ACH-000243,-0.285219445952
ACH-000244,-0.587883424187
ACH-000246,-0.3272123058
ACH-000248,-0.0825218798065
ACH-000250,-0.500510807068
ACH-000251,-0.707810588409
ACH-000253,-0.265811418479
ACH-000255,-0.5480111002179999
ACH-000256,-0.192624748347
ACH-000257,-0.648257796934
ACH-000258,-0.361304363815
ACH-000259,-0.3011999165
ACH-000260,-0.374435270527
ACH-000261,-0.27548209565000004
ACH-000262,-0.23586671543200002
ACH-000263,-0.448005411792
ACH-000264,-0.326524471697
ACH-000265,-0.459844419878
ACH-000266,-0.38762642249799995
ACH-000272,-0.320928102449
ACH-000273,-0.335760706293
ACH-000274,-0.34213025716300005
ACH-000277,-0.422230568526
ACH-000278,-0.488338932322
ACH-000279,-0.31292250329300003
ACH-000280,-0.255823293708
ACH-000281,-0.12780902916099998
ACH-000288,-0.39597038318899996
ACH-000291,-0.473648933006
ACH-000293,-0.39808237458800005
ACH-000294,-0.262900085905
ACH-000295,-0.6870990620999999
ACH-000296,-0.557291186373
ACH-000302,-0.525568536164
ACH-000304,-0.399939557848
ACH-000307,-0.41703977841300005
