,GOSR2 (9570)
ACH-000004,-0.94324321032
ACH-000007,-0.802654727966
ACH-000009,-1.01608403072
ACH-000011,-0.487146080278
ACH-000012,-1.13290946756
ACH-000013,-1.04263956634
ACH-000014,-0.616588702986
ACH-000015,-0.906501575104
ACH-000017,-0.9035253865940001
ACH-000018,-0.746209493555
ACH-000019,-1.1688848632200002
ACH-000021,-1.07607190757
ACH-000022,-1.4038271159399998
ACH-000025,-0.481142866693
ACH-000028,-1.04571327913
ACH-000030,-1.06436775824
ACH-000035,-0.790340211126
ACH-000036,-0.969627703056
ACH-000037,-1.39615019991
ACH-000039,-1.07360769025
ACH-000040,-1.07327187761
ACH-000041,-0.7293751336609999
ACH-000042,-0.50860408899
ACH-000045,-1.02068319343
ACH-000047,-0.97119357549
ACH-000052,-1.06144867745
ACH-000053,-1.0855361316
ACH-000054,-0.957206265269
ACH-000055,-0.743564705456
ACH-000060,-0.817490951484
ACH-000067,-0.9157383222200001
ACH-000070,-0.807125264595
ACH-000075,-0.8653123194110001
ACH-000078,-0.664094561401
ACH-000082,-1.10878629715
ACH-000085,-0.856730143444
ACH-000086,-0.983339045167
ACH-000087,-0.658335302321
ACH-000092,-1.1319314446100002
ACH-000095,-0.890464226394
ACH-000097,-1.06449772476
ACH-000098,-1.01161554235
ACH-000099,-0.7932378853899998
ACH-000108,-0.939228025499
ACH-000113,-0.9496121286910001
ACH-000115,-1.0258092676700001
ACH-000116,-1.20917305056
ACH-000118,-0.884261150174
ACH-000120,-0.92791317426
ACH-000123,-0.9658144733849999
ACH-000127,-0.775145984093
ACH-000128,-0.931821478239
ACH-000132,-1.09209730577
ACH-000133,-0.862877810226
ACH-000137,-0.71222624879
ACH-000138,-0.813600627594
ACH-000142,-0.9344070257279999
ACH-000143,-0.9193284906829999
ACH-000146,-0.911162319437
ACH-000148,-0.8013458081170001
ACH-000150,-1.16464525344
ACH-000152,-1.0688105733
ACH-000153,-0.885908051411
ACH-000159,-0.894061515437
ACH-000160,-1.29403454441
ACH-000163,-0.895791581259
ACH-000167,-0.915381242069
ACH-000168,-1.05168718769
ACH-000169,-0.8919792003810001
ACH-000178,-0.95423024329
ACH-000182,-0.704287450536
ACH-000183,-0.975026678168
ACH-000188,-0.7734590668379999
ACH-000189,-1.09390049443
ACH-000190,-0.978734454565
ACH-000198,-0.9737899738249999
ACH-000204,-1.5075922007299998
ACH-000206,-1.1711412906
ACH-000207,-0.750694663091
ACH-000211,-0.775479997036
ACH-000215,-0.6915572008159999
ACH-000221,-0.8732373568649999
ACH-000222,-0.665314774465
ACH-000223,-0.917446568807
ACH-000226,-0.974346879143
ACH-000227,-1.00254603615
ACH-000228,-0.964350975461
ACH-000231,-1.06685637384
ACH-000232,-0.793424938535
ACH-000233,-1.4076315870299998
ACH-000234,-0.9920952532230001
ACH-000235,-0.623503227809
ACH-000237,-0.802429099853
ACH-000238,-1.4478396926600001
ACH-000243,-0.893830806921
ACH-000244,-0.8289044249840001
ACH-000246,-1.1854399324299998
ACH-000248,-1.03595391623
ACH-000250,-1.05159614092
ACH-000251,-0.657711207406
ACH-000253,-1.00352744349
ACH-000255,-0.902812071316
ACH-000256,-1.0865485726700002
ACH-000257,-0.8569031880149999
ACH-000258,-1.08168459485
ACH-000259,-0.762448363533
ACH-000260,-0.945986184217
ACH-000261,-0.8804602348080001
ACH-000262,-0.716888356137
ACH-000263,-0.841350024154
ACH-000264,-1.28216592842
ACH-000265,-0.7231218326309999
ACH-000266,-0.6692827820130001
ACH-000272,-1.1339534599799999
ACH-000273,-1.1754480414700001
ACH-000274,-0.9955054558490001
ACH-000277,-1.0755391723799999
ACH-000278,-0.764003195793
ACH-000279,-0.981287083914
ACH-000280,-0.801087847619
ACH-000281,-0.47879896543300005
ACH-000288,-1.07339136548
ACH-000291,-0.810860688585
ACH-000293,-1.2415976608600001
ACH-000294,-0.7535141209630001
ACH-000295,-0.434170157336
ACH-000296,-0.948049283005
ACH-000302,-0.6385625014249999
ACH-000304,-0.689824444151
ACH-000307,-0.8601543281139999
ACH-000308,-0.8843535265289999
ACH-000310,-0.6641628507590001
