,SULT1A1 (6817)
ACH-000004,-0.134471834662
ACH-000007,-0.6204289491130001
ACH-000009,-0.0967649098819
ACH-000011,-0.00641797528711
ACH-000012,-0.270075379323
ACH-000013,-0.247260269335
ACH-000014,0.0375156559139
ACH-000015,-0.030255031595200002
ACH-000017,0.0362610181156
ACH-000018,-0.146661042197
ACH-000019,0.162347967069
ACH-000021,-0.220829883224
ACH-000022,-0.11476392862
ACH-000025,-0.128168245763
ACH-000028,-0.174840000967
ACH-000030,0.0847717824407
ACH-000035,-0.11735342772299999
ACH-000036,-0.194467796467
ACH-000037,-0.312981737091
ACH-000039,-0.207588175323
ACH-000040,-0.15748313750700002
ACH-000041,0.07431807350589999
ACH-000042,-0.08481435125749999
ACH-000045,-0.334000204081
ACH-000047,-0.10967368715999998
ACH-000052,-0.048373993164400005
ACH-000053,-0.12915762007200002
ACH-000054,-0.13639704818499998
ACH-000055,-0.40997598500699994
ACH-000060,0.17509330692699998
ACH-000067,-0.0451889621565
ACH-000070,0.0186424863111
ACH-000075,-0.044557647110500004
ACH-000078,-0.268514954041
ACH-000082,-0.211686685014
ACH-000085,0.0132666219904
ACH-000086,-0.089910991011
ACH-000087,0.11650239615999998
ACH-000092,-0.234363148956
ACH-000095,-0.103501069892
ACH-000097,-0.260092028314
ACH-000098,-0.285363564353
ACH-000099,-0.3219207006
ACH-000108,0.0368945877409
ACH-000113,-0.09305252427480001
ACH-000115,-0.0229973388619
ACH-000116,-0.0799477658665
ACH-000118,-0.09258633625669999
ACH-000120,-0.0688517186118
ACH-000123,-0.159863867571
ACH-000127,-0.299854979872
ACH-000128,-0.22213724407
ACH-000132,-0.1594631571
ACH-000133,-0.11383767745899999
ACH-000137,-0.286129652691
ACH-000138,0.0342998668935
ACH-000142,-0.446003820599
ACH-000143,0.051701805411199994
ACH-000146,-0.312111516307
ACH-000148,-0.305191007407
ACH-000150,0.013063325053700002
ACH-000152,-0.230772917318
ACH-000153,0.314137339161
ACH-000159,-0.204663074451
ACH-000160,-0.121453882524
ACH-000163,-0.18914942976799998
ACH-000167,0.0655973659113
ACH-000168,-0.257775588043
ACH-000169,-0.11584099399499999
ACH-000178,-0.19396081314
ACH-000182,-0.12217340134600001
ACH-000183,-0.146017190181
ACH-000188,0.027055159352099997
ACH-000189,-0.09682353539689999
ACH-000190,-0.11263820462000002
ACH-000198,-0.16760290684100002
ACH-000204,-0.113996695494
ACH-000206,0.00807090563204
ACH-000207,-0.110177750167
ACH-000211,-0.229138733017
ACH-000215,-0.129225371915
ACH-000221,-0.0900084328557
ACH-000222,-0.242134662036
ACH-000223,-0.22700825097
ACH-000226,-0.0250181090116
ACH-000227,-0.29855092796599997
ACH-000228,-0.127881014345
ACH-000231,-0.2783172761
ACH-000232,-0.06819359444919999
ACH-000233,-0.225893020457
ACH-000234,-0.320257840101
ACH-000235,-0.0704592388678
ACH-000237,-0.0713707292367
ACH-000238,0.039768811112300004
ACH-000243,-0.272378750345
ACH-000244,-0.28804559959000003
ACH-000246,-0.129613899181
ACH-000248,-0.041710810740699995
ACH-000250,-0.141097825608
ACH-000251,0.17697821783300002
ACH-000253,-0.24166184372400001
ACH-000255,-0.0309191000806
ACH-000256,-0.13330424065
ACH-000257,-0.008762420229299999
ACH-000258,-0.0927584625401
ACH-000259,-0.0745990169618
ACH-000260,-0.0981551168709
ACH-000261,-0.139824299422
ACH-000262,-0.18249682412999998
ACH-000263,-0.0984852259443
ACH-000264,-0.202048321067
ACH-000265,-0.302176499038
ACH-000266,-0.106307616469
ACH-000272,-0.0487144349268
ACH-000273,-0.24343241940299998
ACH-000274,-0.20916851283100002
ACH-000277,0.0626826617289
ACH-000278,0.059574635458899995
ACH-000279,-0.10495781624
ACH-000280,-0.0208179131142
ACH-000281,0.0742758732501
ACH-000288,-0.3809499508
ACH-000291,-0.191672137421
ACH-000293,-0.03422120456
ACH-000294,-0.177727477234
ACH-000295,-0.654516353233
ACH-000296,-0.48813590336199997
ACH-000302,-0.060726943572500004
ACH-000304,-0.373907468028
ACH-000307,0.04055991491
ACH-000308,-0.141479365658
ACH-000310,-0.13730098519300002
ACH-000311,-0.10213138813200001
ACH-000312,-0.226860549932
ACH-000315,0.0156383048401
ACH-000316,-0.35645048765500004
ACH-000317,-0.263492600724
ACH-000318,-0.0761431449102
ACH-000319,-0.021099704121699998
ACH-000320,0.0521172864758
ACH-000322,-0.30000987480999997
ACH-000323,-0.33911866514300004
ACH-000324,-0.29126746279
ACH-000329,-0.202331204572
ACH-000330,-0.355664841145
ACH-000331,0.012427713833
ACH-000332,-0.192843312823
ACH-000334,-0.293911381687
ACH-000335,0.0196631717834
ACH-000336,-0.0124061261463
ACH-000337,-0.07812508066519999
ACH-000339,-0.228482216662
ACH-000341,-0.29060567971
ACH-000348,-0.233256461369
ACH-000350,-0.20357693927999998
ACH-000352,-0.09522021247189999
