,KPTN (11133)
ACH-000004,0.00188751813584
ACH-000007,0.178066960198
ACH-000009,-0.0132656508959
ACH-000011,0.193810864794
ACH-000012,-0.0268363327145
ACH-000013,-0.241736495617
ACH-000014,0.149052818725
ACH-000015,-0.07458003631230001
ACH-000017,-0.024038552563
ACH-000018,-0.089992781997
ACH-000019,-0.038910381296300006
ACH-000021,-0.0467631283412
ACH-000022,-0.129950252254
ACH-000025,0.177378705506
ACH-000028,-0.023480970148400004
ACH-000030,-0.125603082285
ACH-000035,0.0429797940943
ACH-000036,0.321608874809
ACH-000037,0.0788816381048
ACH-000039,-0.09526759943150001
ACH-000040,-0.00825316992087
ACH-000041,-0.36030983753300005
ACH-000042,-0.120536527866
ACH-000045,0.240033340011
ACH-000047,-0.0665481843312
ACH-000052,-0.181314142876
ACH-000053,-0.394204814835
ACH-000054,-0.052660630753199995
ACH-000055,-0.0264527667064
ACH-000060,0.101114569572
ACH-000067,0.0762166352562
ACH-000070,-0.10477513502999998
ACH-000075,-0.10788743038899999
ACH-000078,-0.00711532808855
ACH-000082,-0.0676132025093
ACH-000085,-0.025893762390799997
ACH-000086,0.00423513972953
ACH-000087,-0.256991677198
ACH-000092,0.09845652068510001
ACH-000095,-0.202784699615
ACH-000097,-0.23541015344900001
ACH-000098,-0.0848504261977
ACH-000099,-0.0603388615483
ACH-000108,-0.0665613205895
ACH-000113,-0.005112093
ACH-000115,-0.00243439223787
ACH-000116,0.0731565666196
ACH-000118,-0.104123788278
ACH-000120,-0.20378453971500002
ACH-000123,-0.0396457797258
ACH-000127,-0.081112027312
ACH-000128,0.343446748759
ACH-000132,0.229406005064
ACH-000133,-0.099035984801
ACH-000137,-0.0903186403115
ACH-000138,-0.13205250392100001
ACH-000142,-0.155082504382
ACH-000143,-0.08746442120060001
ACH-000146,-0.101689122971
ACH-000148,0.21357466965799998
ACH-000150,-0.332631462203
ACH-000152,-0.017567033121
ACH-000153,0.0422486376172
ACH-000159,-0.0113791907479
ACH-000160,-0.0993300329786
ACH-000163,-0.00629451224817
ACH-000167,0.175791382262
ACH-000168,-0.0179532096186
ACH-000169,0.128613575295
ACH-000178,0.12272006955499999
ACH-000182,-0.0363229226666
ACH-000183,-0.0440920134794
ACH-000188,0.0494804164272
ACH-000189,0.0190293870675
ACH-000190,-0.237123362867
ACH-000198,-0.148295526938
ACH-000204,0.120047904743
ACH-000206,-0.141182841625
ACH-000207,-0.12135762583200001
ACH-000211,0.0504376865592
ACH-000215,0.029764006904400002
ACH-000221,-0.052520925762
