,HELZ (9931)
ACH-000004,-0.24020986994000001
ACH-000007,-0.129213743682
ACH-000009,-0.170161540215
ACH-000011,-0.11748407714199999
ACH-000012,-0.0120881380736
ACH-000013,0.017435536054099997
ACH-000014,0.0811960854952
ACH-000015,-0.186149462688
ACH-000017,-0.323179920915
ACH-000018,0.328597701958
ACH-000019,-0.167243703209
ACH-000021,-0.265245687134
ACH-000022,-0.23282688282800001
ACH-000025,-0.135721381611
ACH-000028,-0.31151826095199997
ACH-000030,-0.247732288785
ACH-000035,0.0829688967788
ACH-000036,0.135621013454
ACH-000037,-0.0977636717608
ACH-000039,0.0581891426258
ACH-000040,0.07847880887089999
ACH-000041,-0.346127505797
ACH-000042,0.186815585069
ACH-000045,-0.150176515442
ACH-000047,-0.0659940897568
ACH-000052,-0.455952204425
ACH-000053,0.00454504358942
ACH-000054,-0.319525128888
ACH-000055,0.00138868801323
ACH-000060,0.21321630511
ACH-000067,-0.293446822568
ACH-000070,-0.32651566894
ACH-000075,-0.051814210047
ACH-000078,-0.031591258057
ACH-000082,-0.25972131372699997
ACH-000085,-0.064127479755
ACH-000086,-0.30435292311
ACH-000087,0.169982462817
ACH-000092,0.040161526389599994
ACH-000095,-0.271104747506
ACH-000097,-0.460418518805
ACH-000098,-0.0173260138913
ACH-000099,0.056999301384899996
ACH-000108,0.0256677128881
ACH-000113,-0.354352045793
ACH-000115,-0.227672099351
ACH-000116,-0.0662290375419
ACH-000118,-0.0313597988024
ACH-000120,-0.43686942357299996
ACH-000123,-0.31582143053100004
ACH-000127,-0.105648489823
ACH-000128,0.146688043382
ACH-000132,-0.05540572286230001
ACH-000133,-0.244455742167
ACH-000137,0.049949743209199995
ACH-000138,-0.09290024412070001
ACH-000142,-0.319353558464
ACH-000143,-0.07105863444760001
ACH-000146,-0.165426996546
ACH-000148,0.0367410068177
ACH-000150,-0.117513329704
ACH-000152,-0.268920593676
ACH-000153,-0.5287037458199999
ACH-000159,0.0289491900903
ACH-000160,-0.21259983204100003
ACH-000163,-0.039086201507699994
ACH-000167,-0.40424901990999995
ACH-000168,-0.156517022797
